Title,Location,Company,Salary,Description
Android & IOS Programmers,"Chennai, Tamil Nadu",TablyticsMR,None,"Candidates with more than 4+ years of Hands-on experience in Android / IOS Development. Should have worked in development ofconsumer facing Apps and handled large volumes of data and concurrent userbase.

You can also send your Profile to careers@tablyticsmr.com with appropriate cover in letter clearly mentioning the role applied for."
Android & IOS Programmers,"Chennai, Tamil Nadu",TablyticsMR,None,"Candidates with more than 4+ years of Hands-on experience in Android / IOS Development. Should have worked in development ofconsumer facing Apps and handled large volumes of data and concurrent userbase.

You can also send your Profile to careers@tablyticsmr.com with appropriate cover in letter clearly mentioning the role applied for."
Android (Kotlin) Developer,"Thiruvananthapuram, Kerala",Enfin Technologies India Pvt. Ltd.,None,"Android (Kotlin) Developer
Posted on:
19/06/2020
Closing on:
15/07/2020
Contact email:
hr@enfintechnologies.com
Roles and responsibilities :
Brief description :
We are looking for Android(Kotlin) Developers 4-6 years of Experience.
No. of Openings - 4
Skills and Experience
Strong Java & Kotlin development experience with an impressive Android project in the app store
Good understanding of development methodologies, testing practices, and tools and knowing when to apply each method to achieve the desired outcomes
Strong Understanding and experience on FCM, Deep linking, Firestore, Push Notification, Database, local storage is must
Should have experience on Server Driven UI development practice
Good experience in MVVM architecture.
Strong experience and knowledge of Design and Architectural patterns and knows when to apply them
A solid understanding of mobile application design as well as Java frameworks and development
Strong communication skills and knows when to ask for help and bounce ideas and solutions off peers
Required skills
Preferred skills
Degree in Computer Science, Software Engineering, IT or related discipline
6 years' professional experience developing native Android applications
Minimum 2 years of Kotlin experience.
Extensive hands-on development experience using Java and Kotlin
Extensive experience with Android SDK, Eclipse/AndroidStudio and modern Developer Tools
Experience integrating open source or 3rd party API's and Libraries highly desirable
Ability to develop against a variety of web architectures and services (HTTP, JSON, REST, etc.)
Good understanding of mobile device variants, capabilities and constraints
Experience in other tech stacks is also beneficial (HTML/JS, Obj-C/Swift, etc.)
Exposure to Agile, Continuous Integration, Test Driven Development is a plus
Must have excellent problem solving skills and love technical challenges
Experience in Video and media based development projects (DRM, OVPs, Advertising, Analytics)
Good command of English

Please send your resumes to hr@enfintechnologies.com with “ Android(Kotlin) Developer ” as Subject. Also, please make sure to mention your Experience in years, Current Salary and Expected Salary in your email body.
Experience description
Walk in date & time
Walk in venue"
Android App Developer,"Pune, Maharashtra",Prosoftek,None,"Experience : Require full-time php programmers. Candidates should be graduate, and have at least 1-year experience
Position : Android App Developer
Location : Pune"
Android App Developer,"Nagpur, Maharashtra",Praswebart Private Limited,None,"Position Opening for Pune and Nagpur Region.
work From Home, is application .
Should have Laptop and internet Connection .
Office Work timing from Monday to alternate Saturday From 10:00 am to 6:00 pm
Who have android studio experience
should know how to upload apps on play store.
Create App From idea or scratch and upload on Play-Store.
Generate APK and Upload on Play Store
ios app knowledge should be added advantage.
Job Types: Full-time, Temporary, Walk-In
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Yes"
Android APP Developer,"Noida, Uttar Pradesh",Tekniko Global,None,"About Tekniko : Tekniko Global powers our clients’ businesses with innovative technologies—established and emerging—changing the way their people and customers experience work, life and entertainment. Join Tekniko Global and you’ll translate the operational needs of the world’s governments and leading businesses into the innovative technical solutions that will enable them to better serve their customers—your friends, family and neighbors.You’ll deliver everything from point solutions for a single business function to large, long-term outsourcing services, to complex systems integration installations spanning multiple businesses and functions. You’ll create custom-designed solutions or integrate our technology platforms with their operations.
Role Description :Design, build and configure applications to meet business process and application requirements.
Must Have Skills :Java, MySQL, Mobile App, Kotlin, Android
Job Requirements :We are looking for passionate Android developers who are excited to work with a rapidly growing company. An ideal candidate should be experienced in building simple to complex android applications.Job Responsibilities:You would be responsible for bringing the company to the Android devices. We are looking for someone who has broad experience in developing and optimizing complex Android applications using Android SDK. Ideal candidates will share applications they have built as personal or professional projects.Required Skills:Should be BCA or equivalent.Should have min. 1-year experience as Android Developer.Experience with Android Application Development, PhoneGap/Titanium and Hybrid Frameworks.Fundamentals in object-oriented design, data structures, algorithm design, problem-solving, and complexity analysis.A scrappy, entrepreneurial attitude that gets high-quality projects done in a dynamic way.Be able to write elegant, readable and well-documented code.Exceptional...
Job Type :Full-time
Experience :1 year (Preferred)
Education :Bachelor's (Preferred)
Location :Noida"
Android App Developer,"Hyderabad, Telangana",i soft technologies,"₹10,000 - ₹15,000 a week","we r looking for a freelancer android app developers
Job Types: Full-time, Part-time, Temporary, Contract
Salary: ₹10,000.00 to ₹15,000.00 /week
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)"
Android App Developer,"Vijayanagar, Bengaluru, Karnataka",PLAYMINDS TECHNOLOGIES PVT LTD,None,"Android App developer
Java, cotlin, flutter.
experience in integrating APIs
Expected Start Date: 17/7/2020
Job Types: Full-time, Part-time, Contract
Experience:
Android development: 2 years (Preferred)
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Java (Preferred)
Python (Preferred)
Work Remotely:
Yes"
Android App Developer,"Jaipur, Rajasthan",ThinkStart,None,"No. of Vacancies: 1
Experience: 3–4 Years
Looking for android developer who can work collaboratively with backend engineers to create an amazing product that our community will love to use."
Android App Developer,"Patna, Bihar",Cybonetic Technologies,"₹9,327 - ₹13,779 a month","Job Summary
Cybonetic Technologies looking good and passionate Android developer.Candidate should be responsible for.
Design and develop applications for the Android platform
Good Understanding of mobile life Cycle.
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and API's
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Responsibilities and Duties
Design and develop applications for the Android platform
Good Understanding of mobile life Cycle.
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and API's
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Key Skills
Android SDK, SQL, REST, JSON, API's, Mobile Life Cycle
Required Experience and Qualifications
Experience with Android SDK,MYSQL,SQLite,Firebase etc.
Experience working with remote data via REST and JSON
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging
Android development: 1 year (Preferred)
Job Types: Full-time, Fresher
Salary: ₹9,327.00 - ₹13,779.00 per month
Experience:
Android development: 1 year (Required)
Education:
Higher Secondary(12th Pass) (Required)
Benefits:
Provident fund (PF)
Paid leaves / Leave encashment
Education assistance
Industry:
Software Development"
Android App Developer,"Panchkula, Haryana",The Seven C Tech Labs,"₹20,000 - ₹30,000 a month",". Must have experience of writing multi-threaded server applications on Windows or Linux.
Experience of Source Code repository Systems and multi-branched development.
Must have worked on multi-tier service oriented enterprise systems using messaging for inter service communication and request/response/broadcast to the GUI.
Must have worked on one or two development projects
Excellent communication skills, able to quickly and simply explain complex technical issues and designs to stakeholders across technology and the business.
Must have knowledge Backend of E-Commerce, Google APIs & Tracking code
Expert knowledge of open-source Android ecosystem, common task libraries and concepts like data structures, threading,offline storage and performance tuning.
Excellent knowledge of RESTful APIs to connect Android applications to back-end services
Sound Knowledge of latest Architecture trends, Design Patterns and Object Oriented Programming Concepts
Excellent knowledge of Android UI design principles, patterns, and best practices along with Google’s Android design principles and interface guidelines
Excellent knowledge of cloud messaging APIs and push notification frameworks
Job Type: Full-time
Salary: ₹20,000.00 - ₹30,000.00 per month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
No"
Android Application Developer,"Mumbai, Maharashtra",QUICKDESK SOLUTIONS PVT LTD,"₹40,000 - ₹60,000 a month","Job Summary
We are looking for an Android developer responsible for the development and maintenance of our applications aimed at a vast number of diverse Android devices. Your primary focus will be the development of Android applications for the organisation and their integration with back-end services. You will be working along-side other engineers and developers working on different layers of the infrastructure. Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.
Responsibilities and Duties
Translate designs and wire-frames into high quality code
Understand the current structure of the app and build over the same code.
Design, build, and maintain high performance, reusable, and reliable Java Code
Ensure the best possible performance, quality, and responsiveness of the application
Help maintain code quality, organisation, and automation
Required Experience and Qualifications
Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes
Familiarity with RESTful APIs to connect Android applications to back-end services
Strong knowledge of Android UI design principles, patterns, and best practices
Experience with offline storage, threading, and performance tuning
Knowledge of the open-source Android ecosystem and the libraries available for common tasks
Ability to understand business requirements and translate them into technical requirements
Familiarity with cloud message APIs and push notifications
Understanding of Google’s Android design principles and interface guidelines
Proficient understanding of code versioning tools, such as Git
Familiarity with continuous integration
Knowledge about Android Auto will be preferred
Benefits
Flexible work hours
Job Types: Full-time, Contract
Salary: ₹40,000.00 to ₹60,000.00 /month
Experience:
Android development: 2 years (Preferred)
total work: 3 years (Preferred)
java: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Android Application Developer,"Trichur, Kerala",Software Developer India,None,"Job Description :
Senior Engineer’s role is to design and manage one or more components/modules of an application being developed. This individual may also manage a small team of developers who work with him for a given module. Some amount of client interaction may also be involved.
Job Responsibilities :
Designing and Programming
Mentor junior programmers
Requirements gathering, analysis and issue resolution/clarification (as part of the requirements analysis team)
Effort estimations for modules, sub-systems or use cases
Testing
Other assigned task
Position Requirements :
Essential skills: Java/J2ME,Eclipse, xml, Android API s,Android SDK
Minimum 2 years of work experience with hands-on programming
Maximum of 3 years of experience preferably on Java
Hands on experience in Java programming of at least 2 year
Worked on at least 2 Java projects. Experience in Mobile Application Development
Basic estimation experience
Self starter and quick learner
Should be able to work in a growing company environment that is very dynamic and challenging
Good oral and written communication skills
Highly self motivated and directed
Ability to work without a lot of supervision
Experience in working in a team-oriented and collaborative environment
Desired skills: KSOAP,Android SDK 1.5
Office: Thrissur or Kochi

To apply, please send your resume with a cover letter to careers@software-developer-india.com
or Call us at +91-984-6861166"
Android Application Developer,"Pune, Maharashtra",Datcone,"₹18,000 - ₹32,000 a month","Android App Developer
Job description
Develop and Manage Mobile Application for Android Platform involving Android Studio development.
Design, build, and maintain high performance, reusable, and reliable Java code.
Translate designs and wireframes into high quality code.
Design, build, and test native or hybrid mobile applications for Android.
Participate in S/W product development lifecycle from requirement gathering to feasibility study to suggesting UI//UX flow.
Implement clean architecture design principles and develop secure and scalable code structure.
Create detailed technical documentation with architecture, UI design flows and technical specifications.
Google MAP Location Tracking
Ensure the best possible performance, quality, and responsiveness of the application.
Design, build, and test embedded databases and other system data-stores.
Ensure software meets all requirements of quality, security, extensibility etc.
Facilitate application testing and closely monitor the performance for optimization.
Stay informed of upcoming OS Updates and API enhancements/deprecation to plan compatibility testing and feature enhancements.
Works collaboratively with practice leadership team to grow, develop and enhance solution best practices, tools and methods, and intellectual property
Required skills:
· Hands- on Experience in developing applications on Android platform.
· Strong knowledge of Android SDK, different versions of Android and how to deal with different screen sizes
· Strong in Java programming and OOPS concept and an understanding of Java technologies.
· Expert in Android User Interface Development and Understanding of best practices of the same.
· Familiarity with RESTful APIs and JSON
· Excellent programming and debugging skills in Mobile Java (Android/Android SDK).
· Ability to work with web services on the Android platform (consuming REST/SOAP APIs) and related underlying technologies (JSON, XML)
· Experienced with the integration of Google and other popular external APIs. Also, Google MAP Location working.
· Experience with offline storage, threading and performance tuning
· Experience using SQLite in Android
· Good designing skills based on object- oriented design patterns frameworks.
· Knowledge of Android SDK, Different versions of Android and how to deal with different screen sizes.
· Experience with third- party Libraries and APIs
Qualification: -
B.Tech/B.E. in Computers or IT, BCA in Computers, MCA in Computers
Job Types: Full-time, Part-time, Contract
Salary: ₹18,000.00 to ₹32,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
Andoid Studio: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Yes"
Android Application Developer,"Harmu Housing Colony, Bihar",Origin IT Solution,"₹15,000 - ₹25,000 a month","we are hiring experinced android application developer, min experince
Job Type: Full-time
Salary: ₹15,000.00 to ₹25,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)"
Android Application Developer,"Pune, Maharashtra",Aspire Soft solutions,"₹15,000 - ₹35,000 a month","Design, Develop, Implement, Test, Document and Maintain high quality Application .
compliant Development .
The candidate should be independent, self reliant and highly motivated to learn the new technologies on his(her) own Flexible and result oriented.
Strong Interpersonal Skills.
Should be able to handle multiple tasks at one time, with attention to detail.
Creative thinker with the ability to suggest solutions to team.
Responsibilities and Duties
We are looking for Android developer who can join immediately
Key Skills
Android applications developer
Required Experience and Qualifications
Bachelor's (Required)
Tech/B.E
MCA/MCS
Job Types: Full-time, Contract
Salary: ₹15,000.00 to ₹35,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)"
Android Application Developer,"Dwarka, Delhi, Delhi",Alliance Softech Pvt Ltd,"₹2,00,000 - ₹5,00,000 a year","Job Summary
We are looking for a Mobile Application Developer with passion for mobile technologies and having at least one year experience on Android Application Development using Java or Kotlin..
Responsibilities and Duties
He should be able to:
Design, build and maintain high performance, reusable, and reliable Java code.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Work on bug fixing and improving application performance
Design and build advanced applications for the Android platform.
Work Independently ability to deliver a project on time.
Develop Android Application to Interact with Web Service using REST API
Complete the project as Android App Front-end for a Website
Integration of Google API, Knowledge of Firebase will be an added advantage.
Key Skills
Java, Android, REST API, JSON
Required Experience and Qualifications
The Candidate should be a B.Tech graduate and should have at least one year of experience on Android Studio and Android App Development
Benefits
Mandatory Appraisal after three months of Joining.
Job Types: Full-time, Walk-In
Salary: ₹200,000.00 to ₹500,000.00 /year
Experience:
Android Development: 1 year (Preferred)
Java: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Benefits:
Paid leaves / Leave encashment
Flexible work hours
Education assistance
Other
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Android Application Developer,"Urban Estate Gurgaon, Haryana",TukTuk Eservices Pvt Ltd,"₹10,000 - ₹50,000 a month","We are looking for Android developer.
Job Types: Full-time, Part-time
Salary: ₹10,000.00 to ₹50,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Benefits:
Work from home
Flexible work hours
Phone / Internet reimbursement
Shift allowance
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Android Application Developer,"Rajkot, Gujarat",Applone Infotech,"₹10,000 - ₹24,000 a month","Job Summary
We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices.
Responsibilities and Duties
We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices. Your primary focus will be the development of Android applications and their integration with back-end services. You will be working along-side other engineers and developers working on different layers of the infrastructure.
Required Experience and Qualifications
Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes.
Familiarity with RESTful APIs to connect Android applications to back-end services
Strong knowledge of Android UI design principles, patterns, and best...
- Excellent knowledge in Java
Hands on experience in the full life cycle of Android application development
Strong knowledge in RESTful web services
Good Knowledge of Android SDK's
Push Notifications & Toast
Eclipse & ANT based build system
Android Studio
Experience in Gradle.
Job Types: Full-time, Part-time, Temporary, Internship, Contract, Fresher, ...
Salary: ₹10,000.00 to ₹24,000.00 /month
Education:
Bachelor's (Preferred)
Selection rounds:
HR Interview
Technical Interview
Industry:
Software Development"
Android Application Developer,"Surat, Gujarat",vbinfotech,"₹10,000 - ₹50,000 a month","Job Summary
we are Looking for Experienced Android Developer. Who is handled live projects with excellent communication.
Responsibilities and Duties
Experience of working with Web Services, XML, JSON, Android SDK, SQLite, Eclipse, Android Studio, Layouts.
Design and build advanced Mobile applications using the Android platform
Should be very strong in Android, Java, Android native development
Have knowledge between different versions of android
Strong knowledge of Android UI design principles, patterns, and best practices.
Experience with offline storage, threading, and performance tuning.
Strong Communication skill
problem-solving attitude
Android Native experience is added advantage
Job Type: Full-time
Salary: ₹10,000.00 to ₹50,000.00 /month
Experience:
Android development: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Surat, Gujarat (Preferred)
Industry:
Software Development
Work Remotely:
Yes"
Android Application Developer,"Jaipur, Rajasthan",VR Technologies,"₹20,000 - ₹30,000 a month","We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices. Your primary focus will be the development of Android applications and their integration with back-end services. You will be working along-side other engineers and developers working on different layers of the infrastructure. Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.
JOB SUMMARY:
Selected candidate's day-to-day task include:
Designing and developing advanced applications for the Android platform
Unit-testing code for robustness, including edge cases, usability, and general reliability
Bug fixing and improving application performance
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Professional Structural coding & providing mobile apps solution to live project.
Any hybrid development knowledge will be given priority.
Previous working experience on handling outside data sources and APIs.
Must be capable of bug-fixing and improving application performance within strict timeline.
Having knowledge on JSON and XML Parsing
EXPERIENCE:
Min. 2+ years of experience.
(Please dont apply if you are fresher or exp. is less than 2 years)
IMPORTANT:
PLEASE SHARE YOUR PORTFOLIO ALONG WITH RESUME.**
Your latest Resume
Current CTC
Notice period to join (if any)
WORK REMOTELY:
Yes. Available.
Job Type: Full-time
Salary: ₹20,000.00 to ₹30,000.00 /month
COVID-19 considerations:
All our employees are currently working remotely until the pandemic settles..
Experience:
total work: 3 years (Required)
Education:
Bachelor's (Required)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Android Application Developer,"Delhi, Delhi",Eduflier,None,"We are looking for an Android/HTML developer who is motivated to combine the art of design with the art of programming. Responsibilities will include the development of android application and translation of kids activities into html code for android application implementation.
Responsibilities
Develop kids activities into html code to be implemented in the android application
Build reusable code and libraries for future use
Ensure the technical feasibility of UI/UX designs
Optimize application for maximum speed and scalability
Assure that all user input is validated before submitting to back-end
Collaborate with other team members and stakeholders
Skills and Qualifications
Proficient understanding of web markup, including HTML5 and CSS3
Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS
Strong knowledge of web standards
Proficient understanding of cross-browser compatibility issues and ways to work around them
Familiarity with differences in other HTML5 based views, such as ones in email clients
Knack of adhering to best design practices
Fair understanding of JavaScript programming and DOM manipulation
Good understanding of SEO principles and ensuring that the application will adhere to them
Proficient understanding of code versioning tools, such as {{Git / Mercurial / SVN}}
Responsibilities also includes translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works.
Job Types: Full-time, Part-time, Contract
Experience:
Android development: 5 years (Preferred)
total work: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
HTML (Required)
CSS (Required)
JavaScript (Required)
Java (Required)
Work Remotely:
Yes"
Android Application Developer,"Bengaluru, Karnataka",Karabi Software Pvt Ltd,"₹10,000 a month","1. Android app development
2. Understanding and working on Application UI and various types of layouts
3. Knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes.
Design and build applications for the Android platform.
4. Good knowledge in OOPs Concept in Java.
5. Knowledge of Data Structures and Algorithms.
Job Types: Full-time, Fresher
Pay: ₹10,000.00 per month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Yes"
Android Application Developer,"Calicut, Kerala",Mindbridge Business Solutions Private Limited,None,"We are urgently Looking for an experienced Android Developer to join our team.
Skills Required
Strong knowledge of Android SDK, different versions of Android & how to deal with different screen sizes.
Strong knowledge of Android UI design principles, patterns & best working knowledge of the mobile landscape,architectures, trends & emerging technologies.
Experience with third-party libraries and APIs.
Experience with offline storage, threading and performance tuning ability to design applications around natural user interfaces.
Ability to understand business requirements and translate them into technical requirements.
Job Types: Full-time, Temporary
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Android Application Developer,"Jaipur, Rajasthan",Web Master Driver,None,"01 - 3+ Years Experience
If you're passionate, reliable and up for the challenge and excitement of working with us, then please get in touch with below opening positions."
Android Application Developer,"Delhi, Delhi",mayakrishnasales pvt ltd,"₹25,000 - ₹50,000 a month","We are an online startup in Delhi-ncr. We have a team of professionals to create customized and ready to use apps for our clients. To strengthen our team further we are looking for android developers who can work for us on contract basis. Their current work status does not matter.
Candidate should be smart and deadline oriented. we promise handsome income in return.
Job Type: Contract
Salary: ₹25,000.00 - ₹50,000.00 per month
Experience:
work: 2 years (Required)"
Android application developer,"Tollygunge, Kolkata, West Bengal",Bongtech Solutions,None,"- We are Looking for a 2 year experienced senior application developer, with knowledge in Android SDK and Google Material design, Google APIs and map, JAVA KOTLIN, C++, FIREBASE, ANDROID SDK, RESTFUL APIs"
Android Application Developer,"Dwarka, Delhi, Delhi",Alliance Softech Pvt Ltd,"₹2,00,000 - ₹5,00,000 a year","Job Summary
We are looking for a Mobile Application Developer with passion for mobile technologies and having at least one year experience on Android Application Development using Java or Kotlin..
Responsibilities and Duties
He should be able to:
Design, build and maintain high performance, reusable, and reliable Java code.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Work on bug fixing and improving application performance
Design and build advanced applications for the Android platform.
Work Independently ability to deliver a project on time.
Develop Android Application to Interact with Web Service using REST API
Complete the project as Android App Front-end for a Website
Integration of Google API, Knowledge of Firebase will be an added advantage.
Key Skills
Java, Android, REST API, JSON
Required Experience and Qualifications
The Candidate should be a B.Tech graduate and should have at least one year of experience on Android Studio and Android App Development
Benefits
Mandatory Appraisal after three months of Joining.
Job Types: Full-time, Walk-In
Salary: ₹200,000.00 - ₹500,000.00 per year
Experience:
Android Development: 1 year (Preferred)
Java: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Benefits:
Paid leaves / Leave encashment
Flexible work hours
Education assistance
Other
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Android Application Developer,"Delhi, Delhi",Asciitech Solution Pvt Ltd,"₹2,50,000 - ₹3,50,000 a year","Should have minimum 2 year of experience.
Designing and developing App features from prototype to full implementation.
Will be creating artwork for a mobile App for Android.
Job Types: Full-time, Contract
Salary: ₹250,000.00 - ₹350,000.00 per year
Experience:
Android development: 1 year (Preferred)
total work: 1 year (Preferred)
java: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Temporarily due to COVID-19"
