Title,Location,Company,Salary,Description
DevOps Engineer,"Pune, Maharashtra",DevCool Inc.,None,"As a Devops Engineer you will work broadly across the software development lifecycle. We are a close-knit and high performant team. Skills include deploying on AWS using Docker, ECS via CI/CD cloud frameworks and DataDog.
Required Skills:
- 3+ years working with AWS to serve live, customer-facing applications
- Demonstrable Python skills (or another high-level language)
- Excellent written and verbal communication, and a collaborative approach. This is a team-player role.
- Solid Linux system administration, troubleshooting and performance analysis skills
- Experience managing highly-available, customer-facing environments on AWS or another cloud PaaS
- Experience in Maven
- Experience in scripting languages like Bash, Powershell, Python.
- Experience in automation tools like Terraform, Ansible, Chef, Puppet.
- Deep understanding of at least one open-source distributed systems (Kafka, Redis, etc)
- Professional software development experience is a plus
Job Type: Full-time
Experience:
Kafka: 1 year (Preferred)
DevOps: 3 years (Preferred)
Kubernates: 3 years (Preferred)
Jenkins (CI/CD): 3 years (Preferred)
Industry:
Software Development"
Industrial Engineer | Operations Research | Convert Jobs Int...,"Bengaluru, Karnataka",Varal Consultancy DMCC,"₹25,000 - ₹30,000 a month","To be considered for this position upload your application to the link below by copying and pasting it into your browser to open it.
https://docs.google.com/forms/d/e/1FAIpQLSf5rfcJXiWq3urvQkwAi6hcQQwSDvzH5kMEdVzsSncvgIv7xg/viewform?usp=sf_link
Any applications left on the portal and not uploaded won’t be accepted or processed
*
The Job Title: Industrial Engineer | Operations Research | Convert Jobs Into Micro Tasks
Type of Position: Full Time, Remote Working from your home
Joining Date: Immediately
Job Description: Can you use your Industrial Engineering or OR skills to convert traditional tasks into Micro Tasks to either automate or outsource? And that too in the service sector?
With the help of your Automation, Vendor Development and Human Resource colleagues you could be managing 100s of Micro Task Outsourcees [MTOs].
Varal is setting up a business to automatically process applications to government agencies, company incorporation jurisdictions, banks, investment trading companies, licensing departments, visa authorities, insurance companies and so on.
To facilitate this automatic processing of applications, you will be required to convert all traditional tasks into the smallest possible reusable micro ones to either have them automated or to have them done manually.
These micro manual tasks must be simple enough to require less than 15 min of training. If the task is micro enough, it will cost only a few cents to do. And should be done online as far as possible.
These tasks will be generated from the assembly line designs of business processes for the processing of applications to institutions e.g. Company registration jurisdictions, banks, investment firms, visa authorities, internal business processes.
Varal already outsources micro tasks. These micro tasks are part of a sequence of tasks, meaning that the result of one may be a predecessor to the next one.
Your job will be to receive the requirements and break up the tasks into micro tasks [MT]. Even skilled jobs must be broken up into micro tasks, till they can be done easily without training the MTO.
To maintain accuracy triangular checks are to be applied to all tasks before their outputs are accepted. Compliances will be built into the process, and these must also be deconstructed into micro tasks to apply them to different fields or task stations.
The job of converting compliances into logic for automation is also a process that will require micro tasks to be outsourced and comes under your purview.
Your creativity and industrial engineering knowledge is essential to keep coming up with solutions that work. Keep trying new methods and finding new ways to make sure the micro tasks are being completed quickly and accurately.
You will interact with the assembly line, HR and automation team. Your job is critical to the launch of Varal 4.0 and will involve: creating the micro tasks, work with HR to recruit the outsourcees, work with the automation team to deliver the job, monitor how it is going, see if the people you assigned the MTs to are delivering. If not change them, or redesign the task or the pricing.
The MTO recruitment ads must be easy to understand. The instructions on how the MTOs are to do their jobs should be unambiguous so that the jobs can be done without human intervention.
You will be the 1st person to be hired to do this job independently. So far we have tested this method successfully and are now ready to scale up.
Who Should Apply?
Are you excited about applying your industrial engineering knowledge to building an unusual service sector company? And then seeing it get automated?
Do you want to be part of building something you will treasure?
Do you have a clear understanding of how to break up jobs into micro ones? Will you feel comfortable with hiring and firing outsourcees to do micro tasks that require payments of a few cents but in large quantities? Can you keep track of them in large numbers?
You will be working with a cross functional team to understand how each job is interrelated with other activities on the assembly line and deliver it.
Do you have a bias for action?
If yes, then take this opportunity and apply.
Education: Industrial Engineering, Operation Research
Experience: 2 - 5 years in any of the above areas with a willingness to apply your knowledge in a slightly different environment
Total Compensation: INR 25,000 to 30,000 / mth
What will your day-to-day look like?
You will be using specific cloud based platforms to do your assigned job.
Learning of new platforms or initiatives. Keeping databases of all Vendor documents and contact persons.
Be fully conversant with Varal’s Values and it’s strategic Thirteen Key Initiatives [TKIs]
Getting to know other team members. Keeping track of your tasks on Trello. Being visible on Slack, Trella, MyVaral. Use of G Suite.
Working with automation, operations, assembly line and micro task teams to automate data collection and work processes in your area.
Keeping close track of your tasks and implementing them instead of second guessing the tasks or procrastinating.
Requirements:
You should have an independent emotional support structure locally so you are not dependent on an office environment.
Be able to fulfill your own learning requirements through self motivation rather than wait for Varal to do everything for you.
Be organized and be able to learn new platforms quickly.
Minimum System Requirement:
Laptop or Desktop Computer: Minimum of 4 GB RAM
Operating System: Windows or Mac or Google chrome
Internet Speed: 20 Mbps download speed, 10 Mbps upload speed
Headset: Preferably with noise cancellation
Location: Your home, in your hometown, in your country.
Our Story: Varal 3.0 was a conventional, Dubai, United Arab Emirates [UAE] based, Business Registration Consultancy company between 2010 to 2020. https://www.varaluae.com/
Varal 4.0 is now transitioning to a 100% Remote Working from Home Company [RWHC] with the goal of providing customers with a flawless automated application processing platform and a document vault, while being consistently profitable. This system is being developed in house.
Currently we have 7 team members in Dubai, 4 in the Philippines and 2 in India.
Varal emphasizes working on the basis of Values and teamwork.
Varal 4.0 Values: Customer Obsessed; Humility; Power Of Compounding; Automated Assembly Lines For Business Processes; Relentless Reduction Of Costs; Documentation; Manage Risk Instead Of Avoiding It; Acquire Skills, Not People; Preserving All Forms Of Company Wealth.
Culture & Style: This is a 100% full time remote job. You will be expected to be available during the working hours of the company 8:30 am to 18:30 pm, Sunday to Thursday Dubai time [GMT+4].
You will be expected to participate in regular meetings where you have been nominated via video calls. And be available to travel if required once in a while.
Varal currently utilizes 5 different platforms e.g. Trello, Slack to communicate and keep track of work and keep ourselves glued to the company. This number is expected to increase to 12 over the coming months. Transparency is important to Varal so all Varalians can see what is happening across the company via the Trello boards.
You are encouraged to learn the ones relevant to your job and participate fully.
Weekly status reports will be required. A weekly performance appraisal is in place.
What We Offer:
You will be entitled to 20 paid personal days off per year
You will also be entitled to take 10 public holidays per year as they happen in your country.
You won’t have to relocate, saving money on rent and commuting
You will be joining a committed team which is breaking traditional moulds on how to automate business processes
There are no additional benefits offered at this time
Since you are not employed by a local company, your compensation will not be subjected to any statutory deductions
Application Process:
To be considered for this position, please upload your application to the link below by copying and pasting it into your browser to open it.
https://docs.google.com/forms/d/e/1FAIpQLSf5rfcJXiWq3urvQkwAi6hcQQwSDvzH5kMEdVzsSncvgIv7xg/viewform?usp=sf_link
Any applications left on the portal and not uploaded won’t be accepted or processed
Your application along with the others will be shortlisted as quickly as possible
Those within the 1st shortlist will be invited for preliminary interviews by an HR led panel
Check in your SPAM folder to make sure that you haven’t missed the invitation since the interviews will be held quickly
The 1st interview will be held on: July 7, 2020 via Google Meet and you will be informed on the same day whether you have been shortlisted for the next round of interviews.
Join via your computer or tablet, NOT mobile phone
If the interview panel is running late for your appointment, wait patiently. They haven’t forgotten you
Those in the 2nd shortlist will be given a project to see whether they understand the job requirements and can actually do the job. This will also give you an opportunity to see if you want to become a Varalian and work with Varal.
Those successfully completing the project will be invited to present their projects, via Google Meet, in a final interview with the CEO and MD, which will be held around 3 working days after the 1st round of interviews.
Your presentation will be around 30 min. Details will be given with the project assignment.
The selected person will be given a contract for an unlimited period and be expected to join the company at the earliest.
Job Types: Full-time, Contract
Salary: ₹25,000.00 to ₹30,000.00 /month"
Software Engineer,"Mumbai, Maharashtra","DUFF AND PHELPS, LLC",None,"Our professionals balance analytical skills, deep market insight and independence to deliver solid, defensible analysis and practical advice to our clients. As an organization, we think globally. We create transparency in an opaque world, and we encourage our people to do the same. That means when you take your place on our team, you’ll discover a supportive and collaborative work environment that empowers you to excel. If you’re ready to share your perspective with the world, then you can make a real impact here. This is the Duff & Phelps difference.

Are you looking for an exciting opportunity to challenge yourself every day and learn new development, scripting, and cloud skills? Do you enjoy both the development and operations side of a project? Are you looking for that rare opportunity to get your foot in the door with a leading-edge company that is willing to invest in you?

Duff & Phelps is looking for a skilled and experienced Software Engineer to partner closely with a USA-based lead developer to further enhance and modernize a critical line-of-business web-based application.

You’ll need to be self-motivated, a great communicator and a deeply technical frontend developer. You’ll be working with the lead developer/architect in USA, development and software QA teams in Hyderabad, and key stakeholders in USA, United Kingdom, India, Hong Kong, and elsewhere throughout the world.

As a team, we value integrity, honesty, consistency, and teamwork. We utilize modern best practices while respecting that legacy portions of the application are different.

At Duff & Phelps, your work will help protect, restore and maximize value for our clients. Join us and together we’ll maximize the value of your career.

Responsibilities:
Troubleshooting complex cloud enterprise applications
Development, troubleshooting, testing, and deployment of Microsoft Azure applications
Development, troubleshooting, testing, and deployment of PowerShell and Automation scripts
Participate in technical reviews as required
Updates to technical documentation as required
Provide excellent status and communication to customers
Continuous learning of new technologies and development techniques to support multiple business critical applications
Requirements:
3- 6 years’ experience with C#, Web Development, and SQL Server or Azure SQL Database
ASP.NET Web API
ASP.NET MVC 4+
Angular and/or React (current and recent versions)
Exposure to L3 production support
HTML, JavaScript / JQuery, CSS
Solid requirement refinement skills with attention to detail
Strong testing skills and commitment to quality
Excellent communication and team collaboration skills
Self-directed and self-motivated with ability to multi-task
Loyal and committed to learning new technologies
Exposure to product lifecycle management
Qualifications:
Bachelor's Degree
Joy of learning new skills, technologies and passionate about conveying knowledge
Excellent problem-solving skills both at the frontline and incident to problem management
Excellent communication skills and the ability to work effectively in consulting environment
Excellent documentation skills (i.e. technical writing)
Ability to work on both solo and team projects
To be considered for a position at Duff & Phelps, you must formally apply via careers.duffandphelps.jobs

Duff & Phelps is committed to equal opportunity and diversity, and recruits people based on merit."
Cloud & Containerization Engineer,"Bengaluru, Karnataka",Merck KGaA,None,"Job Description-

You will be a part of the Global Hosting Operations Team which focuses on providing dynamic and stable platforms for the company’s various scientific goals. Our group is responsible for providing a highly available and secure infrastructure for a multitude of large enterprise workloads. You will work closely with various teams to ensure efficient operations of daily activities, drive continuous improvement efforts of products and processes and provide guidance on cloud best practices to internal customers and external vendors. In this role you will also participate in exciting projects and take responsibility in reviewing and evaluating new products, features and services. Technologies include but are not limited to Google Cloud Platform, Amazon Web Services, Microsoft Azure, Kubernetes, Docker, Jenkins, Terraform & Ansible.

Experience:

You are self-motivated, always curious, and focused to deliver technology solutions and excellent customer experiences. You are a team player and you like working in an intercultural global team in a 24x7 environment. You have experience with building & managing complex, scalable and high-performance cloud environments, preferably by leveraging automated deployment tools and scripts. You have some experience with Kubernetes & Docker as well as CI/CD tools like GitLab, Jenkins and others.
Job Requisition ID: 206566
Location: Bangalore SBS
Career Level: D - Professional (4-9 years)
Working time model: full-time
US Disclosure
The Company is an Equal Employment Opportunity employer. No employee or applicant for employment will be discriminated against on the basis of race, color, religion, age, sex, sexual orientation, national origin, ancestry, disability, military or veteran status, genetic information, gender identity, transgender status, marital status, or any other classification protected by applicable federal, state, or local law. This policy of Equal Employment Opportunity applies to all policies and programs relating to recruitment and hiring, promotion, compensation, benefits, discipline, termination, and all other terms and conditions of employment. Any applicant or employee who believes they have been discriminated against by the Company or anyone acting on behalf of the Company must report any concerns to their Human Resources Business Partner, Legal, or Compliance immediately. The Company will not retaliate against any individual because they made a good faith report of discrimination.

North America Disclosure
The Company is committed to accessibility in its workplaces, including during the job application process. Applicants who may require accommodation during the application process should speak with our HR Services team at 855 444 5678 from 8:00am to 5:30pm ET Monday through Friday."
Cloud and Linux operations Engineer,"Bengaluru, Karnataka",Merck KGaA,None,"Job Description-

You will be a part of the Global Hosting Operations Team which focuses on providing dynamic and stable platforms for the company’s various scientific goals. Our group is responsible for providing a highly available and secure infrastructure for a multitude of large enterprise workloads. You will work closely with various teams to ensure efficient operations of daily activities, drive continuous improvement efforts of products and processes and provide guidance on cloud best practices to internal customers and external vendors. In this role you will also participate in exciting projects and take responsibility in reviewing and evaluating new products, features and services. Technologies include but are not limited to Amazon Web Services, Google Cloud Platform, Microsoft Azure, Kubernetes, Docker, Jenkins, Terraform & Ansible.

Experience-

You are self-motivated, always curious, and focused to deliver technology solutions and excellent customer experiences. You are a team player and you like working in an intercultural global team in a 24x7 environment. You have some experience with building & managing complex, scalable and high-performance cloud environments, preferably by leveraging automated deployment tools and scripts. You also have gained Administrator experience while working in a Linux OS administration role. You ideally have some experience with Kubernetes & Docker as well as CI/CD tools like GitLab, Jenkins and others.
Job Requisition ID: 206377
Location: Bangalore SBS
Career Level: D - Professional (4-9 years)
Working time model: full-time
US Disclosure
The Company is an Equal Employment Opportunity employer. No employee or applicant for employment will be discriminated against on the basis of race, color, religion, age, sex, sexual orientation, national origin, ancestry, disability, military or veteran status, genetic information, gender identity, transgender status, marital status, or any other classification protected by applicable federal, state, or local law. This policy of Equal Employment Opportunity applies to all policies and programs relating to recruitment and hiring, promotion, compensation, benefits, discipline, termination, and all other terms and conditions of employment. Any applicant or employee who believes they have been discriminated against by the Company or anyone acting on behalf of the Company must report any concerns to their Human Resources Business Partner, Legal, or Compliance immediately. The Company will not retaliate against any individual because they made a good faith report of discrimination.

North America Disclosure
The Company is committed to accessibility in its workplaces, including during the job application process. Applicants who may require accommodation during the application process should speak with our HR Services team at 855 444 5678 from 8:00am to 5:30pm ET Monday through Friday."
Cloud Engineer,"Bengaluru, Karnataka",Siemens AG,None,"Cloud Engineer
At our Bengaluru Hub nearly 1100 employees provide various types of services – Finance, HR, IT, Supply Chain, Customer Care - to more than 60 Siemens entities across the world, We are global business solutions, that supports Siemens companies worldwide to achieve perfection in their internal process allowing our colleagues to fully focus on their business.
Change the future with us.
You will be Crafting and maintain efficient data pipeline architecture
You should Assemble large, complex data sets that meet functional / non-functional business requirements.
You will Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
You Build the infrastructure required for efficient extraction, transformation, and loading of data from a wide variety of data sources using AWS ‘big data’ technologies.
Build data Applications in cloud based eco-systems such as Amazon, Microsoft Azure.
Build data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
You will be working with data and analytics experts to strive for greater functionality in our data systems.
We don’t need superheroes, just super minds.
You should be Experience in building and optimizing ‘big data’ data pipelines, architectures and data sets.
Should have Strong analytic skills related to working with unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
You Must have Certified in one of the cloud platforms such as Azure, AWS etc.
2- 3 years of experience in operating a critical high-available IT Infrastructure
Should have Solid understanding of message queuing, stream processing, and highly scalable ‘big data’ data stores.
Should be Experience supporting and working with cross-functional teams in a multifaceted environment.
Make your mark in our exciting world at Siemens.
This role is based in Bengaluru. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.
We’re Siemens. A collection of over 377,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us shape tomorrow.
Find out more about Siemens careers at: www.siemens.com/careers

Organization: Global Business Services
Company: Siemens Technology and Services Private Limited
Experience Level: Experienced Professional
Job Type: Full-time"
Cloud Solutions Engineer,"Bengaluru, Karnataka",McAfee,None,"Job Title:
Cloud Solutions Engineer

Location:
India, Bangalore
Role Overview:
With a global research footprint, McAfee provides the most comprehensive Global Threat Intelligence in the industry. Backed by a portfolio of more than 400 patents and a network of millions of sensors spanning the Internet, McAfee supports unparalleled protection against both known and new security threats by a complete suite of products and solutions. The Core Cloud Services Engineering Operations team manage design, implementation and end-to-end operations of the Cloud Services that protect both McAfee’s Our Customers. The services provide protection to our customers with an extendable services platform to internal partners & product teams.Our Mission is to protect all that matters through leading edge cyber security, from your workplace to your home and everywhere in between.

Company Overview
From device to cloud, McAfee provides market-leading cybersecurity solutions for both business and consumers. We help businesses orchestrate cyber environments that are truly integrated, where protection, detection, and correction of security threats happen simultaneously. For consumers, McAfee secures your devices against viruses, malware, and other threats, both at home and away. We want to continue to shape the future of cybersecurity by working together to build best in class products and solutions.
About the Role
You will be a part of a global team that manages McAfee Cloud Services that allow protection at the endpoint products.
You will support Cloud service measurement, monitoring, and reporting Improving overall operational quality through common practices and by working with engineering, QA, IaaS, and product DevOps teams.
You will manage the supporting efforts that improve operational performance and availability of McAfee Production environments.
You will provide technical support for daily operations of important Cloud Services as part of an operational support rotation. This will require participation on our On-Call rotation.
You will report to the Engineering Manager.
You will be a part of a global operations team including event response and recovery efforts Evaluate process effectiveness by tracking and reporting goals
About You:
You will deploy, test and troubleshooting systems
2+years experience working with and supporting production-level services within public cloud environments.
Production support background of in-depth troubleshooting Experience using Monitoring tools Basic Networking knowledge (Switches, VLANs, Firewalls, MPLS and Security) to assist Network team in troubleshooting
Experience building relationships with multiple customers at all levels Incident and Problem Management theories and experience.
An Agile environment through Scrum,scripted provisioning using AWS CloudFormation Big Data technologies E.g. HBase, Hadoop, MongoDB Familiarity with Containerization and associated management tools (Docker, Kubernetes) Cloud Computing experience / AWS Automation/CI/CD experience : Jenkins, Puppet, Ansible Experience with shell/scripting languages
Company Benefits and Perks:
We work hard to embrace diversity and inclusion and encourage everyone at McAfee to bring their authentic selves to work every day. We offer a variety of social programs, flexible work hours and family-friendly benefits to all of our employees.
Pension and Retirement Plans
Medical, Dental and Vision Coverage
Paid Time Off
Paid Parental Leave
Support for Community Involvement
We're serious about our commitment to diversity which is why McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.
Job Type:
Student / Intern
Primary Location:
India, Bangalore

Additional Locations:"
AWS Cloud Engineer,"Noida, Uttar Pradesh",unyscape infocom pvt. ltd.,"₹50,000 - ₹70,000 a month","*
5 - 7 years of AWS/Cloud environment architecture design, development, implementation and maintenance.
Experience with setting up infrastructure for multiple AWS Accounts under Organizational unit through continuous Delivery.
Hands on experience with CI/CD tools like AWS CodeBuild, CodeDeploy, and CodePipeline
Hands on experience in Linux OS, commands and scripting.
Expertise in setting up EC2, S3, EFS, RDS, IAM, Security groups, ELB, deployment and migration of environments.
Experience in tomcat setup and deploying web applications.
Knowledge of Java, spring framework will be an added benefit.
Regularly evaluate cloud applications, hardware, and software.
Demonstrated ability to learn new technologies.
Respond to technical issues in a professional and timely manner.
Effective communication skills (written and verbal) to properly articulate complicated cloud reports to management and other IT development partners.
Positive attitude and a strong commitment to delivering quality work.
Pro-active and flexible to understand the changing environment and propose solutions accordingly.
Collaborative to help the team with critical issues and ready to extend extra help when needed.
Job Type: Full-time
Salary: ₹50,000.00 to ₹70,000.00 /month
Experience:
aws: 5 years (Required)
total work: 5 years (Required)
Education:
Bachelor's (Required)"
Training and Support Engineer - Office 365 & Cloud Systems,Remote,Criterion Edge,None,"Criterion Edge is a regulatory writing company that provides outsourced writing services to the pharmaceutical and medical device industries. The company’s expertise in regulatory writing best practices, honed over decades, produces superior deliverables and provides budget, resource and timeline flexibility for regulatory managers. Criterion Edge empowers companies to deliver superior health care solutions. The company has offices in San Luis Obispo, CA and Hyderabad, India, but supports many remote employees in and out of the USA.

Position: As a Training and Support Engineer - Office 365 & Cloud Systems , this individual is responsible for the continuing development, introduction, and adoption of Office365 and other cloud-based and desktop software and associated components. You will be required to work closely with stakeholders to improve user experience and drive the continuing improvement of our Office 365 portfolio (Teams, OneDrive for Business, SharePoint Online, etc.) and other cloud-based solutions (e.g. Asana, 10,000ft, etc.) including the introduction of new end user services as required.
Responsibilities:
End user Support: Configure, implement, and support the Office 365 end user productivity tools. Provide subject matter expertise in assessing, discovering, integrating, and transitioning users to Office 365.
Training: Develop a framework for continuing education for all end-users, which includes self-directed and instructor-led internal training. Drive adoption through delivery of materials and through education & knowledge transfer to IT support teams and business champions. Drive overall campaigns using available corporate communications channels, providing early awareness of service changes, and increasing excitement
Business Partnership: Proactively engage with stakeholders to understand their business needs and current workflows, prepare them for change, and assist in removing obstacles for adoption.

Qualifications:
The successful candidate ideally will have a minimum of five years of relevant and progressive experience with the relevant end-user technologies.
In-depth knowledge of O365 Suite of Tools including core office products: Office, Excel, PowerPoint, Outlook, OneDrive, OneNote, Yammer, Skype for Business, Teams, SharePoint and their associated mobile applications for associate use
Experience in desktop support, including remote troubleshooting and implementing and maintaining a ticket-tracking system for user requests.
Experience in migrating file storage and desktop configurations to cloud solutions (i.e. Dropbox to OneDrive)
In-depth knowledge of integration of Office 365 with Windows and Mac OS
Understand and monitor the Microsoft O365 Roadmap; evaluate changes, upgrades and new tools: recommend implementation strategies; communicate and provide training as required.
Excellence in communicating with all roles - technical or business across the organization
Sound analytical skills, as well as strong decision-making and problem-solving aptitude.
Ability to juggle multiple high priority projects at the same time.
Strong documentation skills, including non-technical documents such as training brochures
The ideal candidate will have a Bachelor’s Degree with an emphasis in Computer Science, technology, a related field, or the equivalent education and/or experience.
Experience with the following cloud systems is a plus (Asana, 10,000ft, other time-tracking solutions, etc.)

Compensation will be based on experience. The position will be based out of the Hyderabad, India and will be expected to work US Pacific Time hours. This position can be completed, in part, remotely.
Powered by JazzHR"
Cloud Engineer,"Bengaluru, Karnataka",WPP,None,"You'll be a passionate subject matter expert in public cloud services, in particular Amazon Web Services.Experience of application development in a cloud based…"
