Title,Location,Company,Salary,Sponsored,Description
Data Scientist,"Hyderabad, Telangana",Tara Sri by Tibarumal Gems & Jewels,"₹10,000 - ₹20,000 a month",Organic,"Setup and streamline all channels for Data Collection
and then study all the data, propose and implement solutions
Digital Retargeting and Marketing would be a part of it.
Job Types: Part-time, Contract
Salary: ₹10,000.00 to ₹20,000.00 /month
Experience:
Data Science: 3 years (Required)
total work: 5 years (Required)
Business Intelligence : 3 years (Required)
Education:
Bachelor's (Required)
Language:
English (Required)
Required Documents:
Address Proof (Preferred)
Aadhar Card (Preferred)
Work Remotely:
Yes"
Data Scientist Sales & Channel,"Bengaluru, Karnataka",HP,None,Organic,"HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.
We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.
At HP, the future is yours to create!
If you are our Data Scientist in India, you will get an opportunity to work on below.

o Mines data using modern tools and programming languages.
o Defines and implements models to uncover patterns and predictions creating business value and innovation.
o Works with the business to understand the business domain perspective.
o Effectively tells stories with the data using visualization tools/methods to demonstrate insight impact and business value.
o Assures accuracy, integrity, and compliance of cleansed data.
o Maintains proficiency within the data science domain by keeping up with technology and trend shifts.
o Leads a project team of data science professionals
o Collaborates and communicates with project team regarding project progress and issue resolution.
o Represents the data science team for all phases of larger and more-complex development projects.
o Provides guidance, training and mentoring to less experienced staff members.

Are you a high-performer? We are looking for an individual with:

o Using statistics, mathematics, algorithms and programming languages.
o Understanding of how to manage disparate unstructured and structured data in a distributed environment.
o Fluent in structured and unstructured data and modern data transformation methodologies.
o Ability to create models to pull valuable insights from data.
o Create stories and visualizations to describe and communicate data insights.
o Ability to use creativity to spot trends and tease out patterns in large datasets.

#LIPOST"
Data Scientist (3 month contract position),None,Beauty Matching Engine,"₹8,00,000 - ₹12,00,000 a year",Organic,"Role:
This is a 3-6 month full-time data scientist contract position with potential to become permanent position based on the performance.
Reporting to the Project Manager, focusing on exploratory data analysis and A/B testing for a live beauty product recommendations engine.
You’ll explore the rich behaviour data collected as people shop using our recommendations and the results from our A/B tests.
You’ll work closely with our technical and product teams to come up with questions and hypotheses about what’s working or could be improved, you’ll help design and interpret future A/B tests, and so you’ll help guide our product roadmap for improving the algorithm.
Requirements:
You have expertise in exploratory data analysis and visualisation (e.g. with SQL, Python/Pandas, R, or similar).
You love using data to answer high-level questions about how people use a product.
You have 3+ years of experience.
You have experience in e-commerce.
You are interested in beauty products.
You’re self-sufficient but work well in a team.
It would be a bonus if:
You have experience with recommendations algorithms, MongoDB, A/B testing.
You can communicate technical ideas, analyses and results clearly.
You have worked in a startup or to deadlines.
Benefits:
Work remotely from any location with flexible hours.
Opportunity to grow with the company and be offered a permanent role.
Work in one of the hottest BeautyTech startups, getting hands-on experience and learning more about the beauty industry.
Really make an impact instead of making coffees and photocopies - see your ideas come to life without layers of hierarchy.
A very friendly atmosphere.
About Us:
At Beauty Matching Engine, we want to take the guessing game out of the beauty shopping experience. We have built the world’s first beauty-specific recommendations engine, and we are helping some of the biggest beauty brands and retailers worldwide to provide great product recommendations to customers like you and me.
We’ve won many awards for our technology, including “Best Customer Experience using AI 2019” and we were finalists at the Retail Week Awards for Customer Innovation. We’re continuously in the press as one of the best companies in the world for combining beauty and AI, and we’ve been selected globally to take part in L’Oreal’s prestigious accelerator. You can see our technology at work on My Beauty Matches, Douglas and By Terry.
Job Types: Full-time, Contract
Salary: ₹800,000.00 to ₹1,200,000.00 /year
Experience:
ecommerce: 1 year (Required)
total work: 3 years (Required)
Work Remotely:
Yes"
Modeling + Implementation role (Data Scientist),"Bengaluru, Karnataka",Seventh Edge,"₹13,00,000 - ₹30,00,000 a year",Organic,"Modelling, ML, Predictive Modeling, Statistical modeling, Deep learning, AI
Exp - 2 to 6 relevant experience
Building models, Modelling.
30% hike on current CTC only.
Female candidates only.
Modeling role : SAS , Python, R, CNN, KNN
Implementation : SAS/SQL/Actimize
advance analytics"" + fraud
Any institute will do
Job family : Modeling/Implementation
Job Location : Bangalore
Job Type: Full-time
Salary: ₹1,300,000.00 to ₹3,000,000.00 /year
Experience:
work: 3 years (Preferred)
total work: 5 years (Preferred)
Education:
Bachelor's (Preferred)"
Data Scientist: Freshers or 1+ Yrs of Experienced,"Pune, Maharashtra",3RI TECHNOLOGIES,None,Organic,"Responsibilities
Provide analytic support by using various tools to perform detailed quantitative analysis
Execute research and analysis, including data gathering, processing and modeling from different data sources
Process and verify integrity of data used for analysis to correct discrepancies and ensure quality
Implement data analysis/visualization and explain complex solutions to people from multiple functions and hierarchical levels
Understand business needs and objectives
Generate regular reports and insights for relevant divisions (e.g. product, marketing, gaming, AI)
Requirements
Deep knowledge of Excel, Python, SQL and at least project level experience of
analytics coding in iOS and/or android
Familiarity with business analytics and visualisation tools (e.g. Google Analytics, Mixpanel, Tableau, Graphana)
Superb communication skills and strong organizational abilities
Attention to detail and problem-solving aptitude"
Data Scientist – Machine Learning and Predictive Sciences,"Bengaluru, Karnataka",AT&T,None,Organic,"Description
Overall Purpose
Experienced data scientist position that uses highly advanced skills in the use of predictive sciences for voice virtual assistant and risk management - predictive modeling, statistical methods, multivariate analysis, decision trees, clustering/segmentation analysis, time series analysis, survival analysis, forecasting, association rules, data mining, test and control experimentation (design of experiments/DOE), sampling, trend analysis, visualization techniques, and other statistical or data analysis techniques to analyze large data files from both internal and external sources to explain or predict behavior and or solve a variety of business problems. Will perform networking and research of business unit functions and underlying processes, identify corporate data sources and uses for data, and translate results into meaningful financial impacts and operational recommendations. Implementation of statistical methods and interactive tools for analysis of client’s business challenges.
Key Roles and Responsibilities
Participate in client engagements in enhancing current statistical models and develop new models for business needs or design of experiments for test/control analysis and business process trials.
Consult with cross-functional teams on matters relating to statistics, knowledge discover, data modeling, and analytics.
Own predictive models/ML and DOE/A-B testing areas of voice virtual assistant customer interactions and negotiations
Develop business context for environment and ML uses/applications and deep knowledge of data inputs, outputs, and statistical testing/modeling
Write/Run data extraction algorithms to acquire data from primary or secondary data sources and ability to describe/direct data requests for representative data necessary for analyses
Develop statistical tests and predictive solutions to make business recommendations for decisioning
Train/develop models, run evaluation experiments, and perform statistical analysis of results and refine models
Develop understanding of data framework and how it relates to business use, specific process time points, and make recommendations for any new data needs. Coordinate with data engineers to ensure data is representative of analysis solutions.
Use of data analytics and other strategies that optimize statistical efficiency and quality
Interpret data, analyze results using statistical techniques and provide ongoing reports
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Perform Ad Hoc Data Analysis and reporting for model performance
Locate and define new process improvement opportunities for testing and predictive modeling
Partner with systems team to design, plan, execute, monitor, and evaluate DOE/A-B test experiments
Responsible for regular reports/analyses while the trials are in progress, as well as analyze the results from the completed trial
Responsible for developing presentation (i.e. PowerPoint-PPT) to share end-end storyboard for analytical initiative, including appropriate visualization
Use of NLP statistical techniques to transform natural language data into useful features via identification of patterns with voice to text data, to feed classification algorithms, select appropriate annotated datasets for Supervised Learning methods, and use effective text representations to transform natural language into useful features which can be used as attributes/predictors for other negotiation modeling components, decisioning, and in other processes.

Qualifications
Required Skills
Overall minimum experience of 9 years and above. Typically requires a Master’s or foreign equivalent degree in Statistics, Data Science or Industrial Engineering.
Minimum Relevant Experience of 3 years’ and above using ML (machine learning), statistical predictive modeling, multivariate/regression, clustering, time series/survival analysis, DOE(design of experiments), sampling, statistical analysis/testing, text mining/NLP, and visualization techniques; client engagements to solve business challenges and develop processes using data from various inputs and developing statistical solutions for business needs
Minimum Relevant Experience of 3 years’ and above utilizing analysis tools such as Base SAS, SAS/Macros, SAS/STAT, SAS Enterprise Miner, SAS Viya, R, Python and familiarity with SQL and data management/cleaning techniques to ensure data is representative of statistical analysis, predictive model, or analysis solution.
Experience in client engagements, interpreting client’s business challenges, and recommendations for statistical analysis solutions (i.e. analytical consulting and solution design)
Strong understanding of internal business segment or stakeholders and strong presentation skills including visualizations and storyboard of analysis results via PowerPoint.
Strong financial acumen and analysis experience to determine business impacts for application of statistical solution
Experience in presentation design, development, delivery, and communication skills to present analytical results and recommendations for action-oriented data driven decisions and associated operational and financial impacts."
Data Scientist,"Bengaluru, Karnataka",ABB,None,Organic,"Basic Info
Location
Bangalore, Karnataka, India
Job type
Full-Time
Contract
Regular/Permanent

Take the next step in your career at ABB, working in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
ABB (ABBN: SIX Swiss Ex) is a pioneering technology leader with a comprehensive offering for digital industries. With a history of innovation spanning more than 130 years, ABB is today a leader in digital industries with four customer-focused, globally leading businesses.

Electrification, Industrial Automation, Motion, and Robotics & Discrete Automation, supported by its common ABB Ability™ digital platform. ABB’s market-leading Power Grids business will be divested to Hitachi in 2020. ABB operates in more than 100 countries with about 147,000 employees.

ABB Industrial Automation is writing the future of safe and smart operations. With our deep industry knowledge and automation expertise, we understand the needs of our customers and enable them to lead through safer, more productive, and energy-efficient operations.

Reporting to the Head- Solution & Value Engineering, you will be supporting to strategic corporate technology direction by focusing on solving industrial problems through reliable research work.
Your responsibilities
Conceptualizing and developing prescriptive analytic algorithms for rotating machinery and industrial structures based on vibration data.
Conceptualizing and developing asset monitoring diagnostic and prognostic algorithms for industrial equipment based on advanced signal processing techniques.
Solutioning analytic algorithms and their output visualizations by packaging them as industrial business value apps.
Working closely with customers and business units (BUs) to architect and develop customer-centric solutions tailored to their requirements.
Practicing the agile development of digital solution ‘proof of concepts’ to effectively articulate the customer value proposition.
Providing industry-specific domain insights for rich proposal responses by articulating customer value proposition.
Living ABB’s core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.
Your background
Postgraduate or Doctorate in Aerospace or Mechanical or Electrical or Civil Engineering or Physics from a reputed institution.
Required 2 to 5 years of experience in vibration analytics or signal processing.
Extensive programming experience in one or more of the following languages: Python (preferred), R, matrix laboratory (MATLAB), .NET, laboratory virtual instrument engineering workbench (LabView), C and C++.
Required agile development of customer-centric prototypes/ ‘proof of concepts’ for focused digital solutions.
Understanding of fundamental theory of vibrations and modal analysis.
Good understanding of concepts of signal processing, wavelet theory, and adaptive filtering algorithms.
Experience in developing algorithms for rotating machinery health diagnostics and structural health monitoring.
More about us
Bring your very own sense of pride and purpose as you help us drive forward the Fourth Industrial Revolution – creating a sustainable future for our planet, and your career. Join ABB and harness the power of our diverse global network, as you collaborate with and learn from our world-class teams. Above all, challenge yourself every day. Let’s write the future, together.

Important, please include in your CV the following passage:

“I hereby agree for my personal data, included in my job application, to be processed in line with the needs of recruitment, in accordance with the Law on Personal Data Protection of 29th August 1997 (Law Gazette from 2002, No.101, heading 926, as amended)”
Reference Number
IN75203288_E1
Publication date
2020-07-10"
Data Scientist (Internship),"Indore, Madhya Pradesh",BugendaiTech,"₹4,00,000 - ₹7,00,000 a year",Organic,"Functional Area Other Industry Type IT-Software-Software Services Keywords Internship
Key Responsibilities

Explore and analyze large datasets

Help build models using NLP and other ML algorithms

Use analytical tools to extract and transform data

Use best practices for training, testing and validation to build more effective models Key Requirements

Comfortable manipulating, analyzing and transforming high- volume data

Experience in NLP/ML projects

Proficiency in Python

Proficiency with SQL

Expertise in statistical analysis

Excellent problem- solving and analytical skills

Excellent written and verbal communication skills

Enjoy working in a team

Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications"
Data Scientist - eCommerce,None,Bliss Vista,"₹22,000 - ₹30,000 a month",Organic,"We are looking for a strong, business savvy Data Scientist to join our startup and build in data from the ground up, developing models, proving data-driven insights, and frameworks to win customers (sales), and time better serve our customers.
Requirements:
Bachelor's degree
3+ years of relevant work experience in business analytics, data science, predictive analytics
Strong proficiency in relational databases - e.g. SQL, Redshift, Data Warehouse, etc.
Deep understanding of various algorithms and well versed with eg scikit learn, pandas, numpy, seaborn, matplotlib etc.
Strong verbal/written communication & data presentation skills, including an ability to effectively communicate with both business and technical teams
An ability to thrive in a highly ambiguous, fast-paced and rapidly-changing environment
Ability to lead large projects and drive through completion
Responsibilities include:
Setup the data environment (we’re a startup)
Model development
Testing multiple hypothesis
Hyper personalized marketing, sales, fraud detection, and risk management.
Experience with supervised learning, unsupervised learning, and reinforcement models.
Identify opportunities and key criteria to drive analytical reporting.
Conducting deep dive analyses of business problems and formulate conclusions and recommendations to be presented to senior leadership.
Producing written recommendations and insights for key stakeholders that will help shape effective metric development and reporting.
Simplifying and automating reporting, audits, and other data-driven activities; build solutions to have maximum scale and self-service ability by stakeholders.
Recognizing and adopting best practices in reporting and analysis: data integrity, analysis, and documentation.
Supporting business with time-critical tactical data analyses.
Understanding a broad range of data resources and know how, when, and which to use and which not to use.
Job Type: Full-time
Salary: ₹22,000.00 - ₹30,000.00 per month
Experience:
Analytics: 1 year (Required)
E-Commerce: 2 years (Required)
Machine Learning: 1 year (Required)
Communication Skills: 1 year (Required)
Python: 2 years (Required)
business analytics, data science, predictive analytics: 3 years (Required)
Work Remotely:
Yes"
Data Scientist / Sr. Data Scientist,"Vadodara, Gujarat",Piramal Glass Limited,None,Organic,"Did you know: Piramal Glass is a trailblazer in the use of digital technology in glassmaking and has recently been recognised as India 100 Best Companies to work for by #GreatPlaceToWork.

Click below to read more about our digital accomplishments:
https://www.piramalglass.com/digital/
https://news.microsoft.com/en-in/features/piramal-glass-real-time-manufacturing-insights-azure-iot/
https://www.expresscomputer.in/news/piramal-glass-implements-indias-first-iot-implementation-in-the-glass-manufacturing-industry/33693/

Purpose of the Job
As a Data Scientist you will work in collaboration with our business and engineering people, on creating value from data. Often the work requires solving complex problems by turning vast amounts of data into business insights through advanced analytics, modeling and machine learning. You have a strong foundation in analytics, mathematical modeling, computer science, and math - coupled with a strong business sense. You proactively fetch information from various sources and analyze it for better understanding about how the business performs. Furthermore, you model and build AI tools that automate certain processes within the company. The solutions produced will be implemented to impact business results.

The Data Scientist believes in a non-hierarchical culture of collaboration, transparency, safety, and trust. Working with a focus on value creation, growth and serving customers with full ownership and accountability. Delivering exceptional customer and business results

Responsibilities
Develop an understanding of business obstacles, create solutions based on advanced analytics and draw implications for model development
Combine, explore and draw insights from data. Often large and complex data assets from different parts of the business.
Design and build explorative, predictive- or prescriptive models, utilizing optimization, simulation and machine learning techniques
Prototype and pilot new solutions and be a part of the aim of ‘productifying’ those valuable solutions that can have impact at a global scale
Guides and coaches other chapter colleagues to help solve data/technical problems at an operational level, and in methodologies to help improve development processes
Identifies and interprets trends and patterns in complex data sets to enable the business to take data-driven decisions

Qualifications

Industry
Any (prefer – Manufacturing, Logistics); willingness to learn manufacturing systems (OT systems and data stores)

Work experience
~2+ years of industry exposure in Data Science and Analytics projects, preferably in Manufacturing / Supply chain management

Skills and competencies required
Extract and present valuable information from data
Understand business requirements and generate insights
Build mathematical models, validate and work with them
Explain complex topics tailored to the audience
Validate and follow up on results
Work with large and complex data sets
Establish priorities with clear goals and responsibilities to achieve a high level of performance.
Work in an agile and iterative manner on solving problems
Evaluate different options proactively and ability to solve problems in an innovative way. Develop new solutions or combine existing methods to create new approaches
Good understanding of Digital & analytics
Strong communication skills, orally and in writing
Education
Bachelors or masters in Computer Science or Engineering / Mechanical Engineering / Chemical Engineering / Process Engineering

Functional knowledge required
Microsoft Azure
Analytics and statistics
Mathematical modeling
Python
Spark
SQL
Machine Learning
Deep learning
Optimization
Notebooks

Primary Location: India-Gujarat-Vadodara
Work Locations: Baroda Piramal Glass India, 3rd Floor,The Baroda Central Co-Operative Bank, Station Road,Sayajigunj Vadodara 390005
Job: Digital
Organization: Piramal Glass Limited
Day Job
Job Posting: 08-Jul-2020, 5:39:01 AM"
