Title,Location,Company,Salary,Sponsored,Description
Ethical Hacker,India,Crypto Mize,None,Organic,"Ethical Hacker Responsibilities
Certified Ethical Hacker (CEH) is a qualification obtained by demonstrating knowledge of assessing the security of computer systems by looking for weaknesses and vulnerabilities in target systems, using the same knowledge and tools as a malicious hacker, but in a lawful and legitimate manner to assess the security posture of a target system. Certified Ethical Hackers are cybersecurity experts who are employed to verify and improve the security of a company’s computer system.
The term “white hat” in Internet slang refers to an ethical computer hacker, or a computer security expert, who specializes in penetration testing and in other testing methodologies that ensures the security of an organization’s information systems. Ethical hacking is a term meant to imply a broader category than just penetration testing.
An Ethical Hacker, also known as a whitehat hacker, or simply a whitehat, is a security professional who applies their hacking skills for defensive purposes on behalf of the owners of information systems. Nowadays, certiﬁed ethical hackers are among the most sought after information security employees in large organizations for researching the company’s system, network structure, and possible penetration sites.
An Ethical Hacker Create scripts that test for vulnerabilities including penetration testing and risk assessment. Perform risk assessment across the entire network including hardware and software systems. Creating suggestions for security upgrades. Develop low-level tools that improve security testing and monitoring. Set up security policies that help personnel use best practices for digital protection .Train staff and personnel on best practices for network security
Ethical Hacker Openings
Apply for Ethical Hacker Job Openings in Delhi
Apply Now
Ethical Hacker jobs
Ethical Hacker Requirements
Ethical Hacker JOB DESCRIPTION
Documentation and presentation of security-testing results (final reports and presentations) to the executive, middle management, and technical teams.
Review of network architecture and security.
He or She will be Managing online security of all our and client websites.
Risk assessments, vulnerability assessments, and manage intrusion detection/prevention mechanisms.
Assist the other Ethical Hackers in projects & cases.
Management and Remediation of the results of various security incidents as/when they occur.
Evaluation of new and proposed security systems and technologies.
Definition of monitoring criteria and process for ensuring that industry best practices are maintained.
Assessment of security awareness training using social engineering.
He/She will be Responsible for Handling, Operating, Management.
Meeting/liaising with Trainers to discuss status of project.
Ethical Hacker required skills
Any Graduate with excellent knowledge of Ethical Hacking
Excellent Aptitude, Manipulative, Behavioural, Computational, Presentation, Verbal, Written, Interpersonal, Communications and Teaching Skills and should be Fluent in English.
Should be Willing and Ready to Travel.
Should be open to work in Flexible Hours. As a member of the Ethical Hacking Team you will be responsible for performing security assessments of a wide range of products and services in an equally wide range of technologies.
Keen to Keep Researching for New, Interactive and Latest updates.
Should be well versed with Industry Knowledge.
Up-to-Date with Recent Technological and Software Developments, Advances in Computer Technology and How This Affects the Business Environment and have a
Strong Client Focus.
Should be Creative, with Artistic Flair and with Good Imagination, Analytics and High Order Thinking Skills.
Should believe in Teamwork, Cooperation and Helping Others Out Whenever Needed.
Why Us?
We are Amazing
CryptoMize is a Conglomerate Digital Agency based in India with presence in 3 Continents evolving for a decade, having served elite clients such as Governments, Politicians, MNCs, Celebrities and HNIs in 30+ Countries.
Yummy
Our awesome chef prepares freshly Maison-made breakfasts, lunches, diners, beverages, coffees everyday to provide the fuel you need to innovate.
Events and Hackathons
Want to organize, talk or attend an event? We give you two days per month to attend or organize team-buildings, conferences, trainings, meetups or hackathons.
Company Outings
Work hard, play hard! We have an in-house bar with a large choice of wines, beers and arcade games. Plus, we organize memorable & engaging team events at least twice a month.
Elitebook or Alienware
Choose your laptop, Elitebook or Alienware on your first day to get your job done. Fun fact: We didn’t find any laptop able to compute as fast as our team.
Flexible Everything
We choose to work in a flex office environment to grow new collaborative ideas and practices. We work in small product oriented teams to focus & execute faster.
No Diplomas Required
At CryptoMize, we don’t care about your degrees, we only care about what you know. Your skillset will be evaluated in regard to your technical experiences and skills."
Ethical Hacker (Security Analyst),"Hyderabad, Telangana",Tvisha Technologies,None,Organic,"Roles & Responsibilities
Develop new innovative strategies that enable them to identify problems with security systems.
He/ She should be able to consult with clients.
Must be a computer systems expert and needs to have very strong programming and computer networking skills.
Needs to have a lot of patience, persistence, and perseverance to try again and again and wait for the required result.
Required skills:
Researching the intended target via both open-source and dark-web channels.
Scanning target networks and systems with commercial, open-source, or custom vulnerability scanners.
Designing a plan of attack that can include exploiting software vulnerabilities, systemic vulnerabilities, social manipulation, or any combination of those factors."
"Ethical Hacker, InfoSec Auditor","Pune, Maharashtra",VISTA InfoSec,None,Organic,"Ethical Hacker, Infosec Auditor (L1/2 Consultant) having minimum 2 - 3 yrs of field experience. He should have good communication skills and basic knowledge of Networking (Routers, Switches, Firewalls, Modems, Wirelesss Devices, Bluetoooth, VPN, etc.), Operating Systems (Windows, Linux, Unix), Databases (MSSQL, Oracle, MySQL), Applications (IIS, Apache, Tomcat), SAP, Virtualization Softwares (Vmware, Citrix, Hyper-V) etc.
The skill set should not be limited; Vulnerability Assessment, Penetration Testing, Web Application Assessment, Security Audits, Forensics, Configuration Audits, VPN Audits, Virtualization Audits etc."
Ethical Hacking Researcher,"New Delhi, Delhi",Dewelopers,None,Organic,"Job Description
Documentation and presentation of security-testing results (final reports and presentations) to the executive, middle management, and technical teams.
Review of network architecture and security.
He or She will be Managing online securtiy of all iHackers Websites.
Risk assessments, vulnerability assessments, and manage intrusion detection/prevention mechanisms.
Design & execute easy to learn demonstrations on Ethical Hacking.
Assist the Ethical Hacker in projects & cases.
Regulate the technical requirements in Ethical hacking workshops.
Deliver seminars/training on Ethical Hacking.
Management and Remediation of the results of various security incidents as/when they occur.
Evaluation of new and proposed security systems and technologies.
Definition of monitoring criteria and process for ensuring that industry best practices are maintained.
Assessment of security awareness training using social engineering.
He/She will be Responsible for Handling, Operating, Management.
Meeting/liaising with Trainers to discuss status of project.
Desired Candidate Profile
Any Graduate with excellent knowledge of Ethical Hacking
Excellent Aptitude, Manipulative, Behavioural, Computational, Presentation, Verbal, Written, Interpersonal, Communications and Teaching Skills and should be Fluent in English.
Should be Willing and Ready to Travel.
Should be open to work in Flexible Hours.As a member of the Ethical Hacking Team you will be responsible for performing security assessments of a wide range of products and services in an equally wide range of technologies.
Keen to Keep Researching for New, Interactive and Latest updates.
Should be well versed with Industry Knowledge.
Up-to-Date with Recent Technological and Software Developments, Advances in Computer Technology and How This Affects the Business Environment and have a
Strong Client Focus.
Should be Creative, with Artistic Flair and with Good Imagination, Analytics and High Order Thinking Skills.
Should believe in Teamwork, Cooperation and Helping Others Out Whenever Needed."
Consultant,"Delhi, Delhi",Deloitte,None,Organic,"Deloitte helps organizations prevent cyberattacks and protect valuable assets. We believe in being secure, vigilant, and resilient—not only by looking at how to prevent and respond to attacks, but at how to manage cyber risk in a way that allows you to unleash new opportunities. Embed cyber risk at the start of strategy development for more effective management of information and technology risks. Learn more about our Cyber Risk Practice.
Work you will doAs a part of our Risk Advisory team you’ll build and nurture positive working relationships with teams and clients with the intention to exceed client expectations. You’ll: • Works on projects with clearly defined guidelines as team member with responsibility for project delivery • Works under general supervision with few direct instructions • Performs development and customization work on larger security and data protection technology implementation projects • Understands basic business and information technology management processes. • Demonstrates knowledge of firm's methodologies, frameworks and tools • Participate in practice development initiatives • Understanding of basic business and information technology management processes - Basic knowledge in one or more Cyber Threat Management domains such as: Assessment Services, Application Security, Vulnerability Management, Infrastructure Security, Threat Management, Cyber Operations/Fusion Managed Services, Malware Analysis, Collective Threat Intelligence and Cyber Risk Sciences, Incident Management and Forensics, Data Protection solutions. • Experienced in one or more of the above areas (as the career progresses) • Familiarity with industry standards and frameworks such as OWASP, CIS, NIST ISO/IEC 17799, etc. - Demonstrates basic knowledge of security and privacy controls and risk management processes. • Experience with vulnerability assessment tools (such as: Nessus, nmap, Appscan, etc.) and Infrastructure Security solutions.
How you growAt Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help build world-class skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.
BenefitsAt Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.
Qualifications• BE in Computer Science/IT • Certified Ethical Hacker • Offensive Security Certified Professional, CISA"
Certified Ethical Hacker (CEH) Instructor,"Cannanore, Kerala",Craw Security,None,Organic,"Job Location : Laxmi Nagar, Saket, Rohini, Kannur (Kerala)
SKILLS
Must have Knowledgeable in Ethical Hacking
Ready to work in office
Excellent communication skills and written skills
Look for maturity, passion and problem solving skills
RESPONSIBILITIES
Teach, train and instruct your class (both on-site and online)
Being proactive and helping the class attendees with problems and/or issues
Train the students on your field of expertise
EDUCATION
Graduate/ Engineer/ Master in IT background (Btech, BSc IT, BE Comp, MCA, MCM, IT + MBA)
PREFERENCE
Ethical Hacking
Good Knowledge in MS Office, Microsoft project plan, vision, pivot tables
PROCESS OF HIRING
Interview (Technical Round, Group discussion and Face to Face)
HOW TO APPLY ?
Send your RESUME / CURRICULUM VITAE @ info@craw.in"
Certified Ethical Hacker,"Kolkata, West Bengal",R R Films,None,Organic,"Candidate Profile : -
Should be well versed with OTT Platforms, webseries, videography, cinematography.
Should be able to find out or track any website and Hidden Email / Phone Number, IP Addresses.
Discovery through Hacking techniques Like phishing, SQL Injection, Cross Site Scripting (XSS), Denial of Service (DoS/DDoS), cross-site request forgery (CSRF or XSRF), DNS Spoofing (DNS cache poisoning) , Social engineering techniques etc. or any other technics which will do the job.
A strong technical support required to setup clients networking, security and IT management Department Or DNA Inspection of any computer system, Software/Hardware, take forensic advice to detect fingerprints, unauthorized location accessed, transaction details, or any other investigation process to collect evidence.
Researching the company's system, network structure, and possible penetration sites.
Good knowledge of OTT platform & related Video Piracy.
Conducting multiple penetration tests on the system hacked or data hijacked.
Identifying and recording security flaws and breaches.
Identifying the areas of high-level security.
Reviewing and rating the security network.
Creating suggestions for security upgrades.
Compiling penetration test reports for the client.
Conducting penetration tests once new security features have been implemented.
Suggesting alternate upgrades.
He should maintain such professional ethics like behaving decently, soft tempered attitude, Keeping confidentiality as per our privacy policy.
Experience 3 - 10 Years
Qualification - Bachelors in IT or Dip Com Sc. or MCA or BTech Com Sc. Or Normal Grad from reputed university
Certified Ethical Hacker (Mandatory).
Salary will not be a concern for the Right Candidate.
Job Type: Full-time
Experience:
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Marketplace Manager,"Paschim Vihar, Delhi, Delhi",Messold Technologies,"₹1,20,000 - ₹3,60,000 a year",Organic,"About Messold Technologies
https://messold.com
We are a network of IIT Alumni and the technological solutions that we have been providing to clients across the world for more than 16 years illustrate our extensive experience in website designing and development projects. Messold is being assessed for CMMI level 3 and we follow rigorous systems to ensure on time with quality delivery. Additionally, they are ISO 9001 certified, Microsoft technology associate, Google student ambassador, Microsoft certified professional and certified ethical hacker.
About the internship
Selected day-to-day responsibilities include:
1. Make Amazon campaign strategies
2. Design and organize an optimal campaign inside budget constraints
3. Locate and secure talent and resource before campaign launch
4. Train and groom all resources for optimum efficacy
5. Utilize staff and resources to produce quality content for execution
6. Devise a campaign timeline and schedule
7. Execute campaign effectively, on schedule and on budget
8. Monitor all outlets and resources for campaign impact and progress
Timings: Flexible work hours
F&B: Free Beverages
Type: Startup by IIT alumnus
Stage: Early Stage startup
Job Types: Full-time, internship
Job Types: Full-time, Internship, Fresher
Pay: ₹120,000.00 - ₹360,000.00 per year
Experience:
management: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
No"
Ethical Hacker / Vulnerability Assessment Analyst,"Bengaluru, Karnataka",Netskope,None,Organic,"About Netskope
Today, there's more data and users outside the enterprise than inside, causing the network perimeter as we know it to dissolve. We realized a new perimeter was needed, one that is built in the cloud and follows and protects data wherever it goes, so we started Netskope to redefine Cloud, Network and Data Security.
Since 2012, we have built the market-leading cloud security company and an award-winning culture powered by hundreds of employees spread across offices in Santa Clara, San Francisco, Seattle, Bangalore, London, Melbourne, and Tokyo. Our core values are openness, honesty, and transparency, and we purposely developed our open desk layouts and large meeting spaces to support and promote partnerships, collaboration, and teamwork. From catered lunches and office celebrations to employee recognition events and social professional groups such as the Awesome Women of Netskope (AWON), we strive to keep work fun, supportive and interactive. Visit us at Netskope Careers and follow us on Twitter @Netskope and Facebook.
Vulnerability Assessment Analyst
5+ yr of exp in Cybersecurity performing penetration testing
Proven expertise & track record in Web and Mobile application Penetration testing (Web, Mobile, API/Web Services)
Proven expertise & track record in Network and system Penetration testing (Web, Mobile, API/Web Services)
Must Have: Experience in Tools for Firewall Evasion, Abuses to IPSec VPN, Border Gateway Protocol, GRE Tunneling.
Be able to lead an assessment or penetration test with 1-2 other resources
Be able to lead a red team engagement and participate in a purple team engagement.
Be an expert in penetration testing methodology
Have experience in developing exploits and tooling from vulnerabilities both pre and post exploitation.
Should have experience with tools Burp suite, Metasploit, Tenable, SQL Map, NMAP, SCAPY, and other tools.
Knowledge of OWASP Web and Mobile Top 10 vulnerabilities and identifying them.
Knowledge of TCP/IP and other application and network level protocols.
Conduct vulnerability assessment and penetration testing and configuration review for systems and networks.
Be able to author and issue reports on assigned application and system scan.
Support Jr. resources in their authoring of reports and issues.
Support and recreate proofs of concept from security reports.
Support and be a member of the PSIRT organization.
Good exposure to Cloud Applications like AWS, Azure and other SAAS Applications
Experience in Automating Security tasks using Python or Java Frameworks is a bonus
Should be able to think """"Out of the box"""". Possess ability to think and implement new attack approaches/vectors.
Should be able to support the development of tooling for CI/CD/CS processes enabling other teams to test their own systems and work output.
Should possess relevant university degree and/or professional qualifications/certification (e.g. CEH, OSCP)
Be able to maintain and contribute to the threat models
Support sessions to teach system and network exploitation and security testing methods to resources.
Excellent written and verbal communication skills.
Self-motivated, curious, knowledgeable pertaining to news and current events.
Educational Qualifications
BE/B.Tech/M.Tech /Masters Degree
#LI-GS1"
Ethical Hacker,"Hyderabad, Telangana",Oracle,None,Organic,"Ethical Hacker-20000F5K

Applicants are required to read, write, and speak the following languages: English
Preferred Qualifications
Organization Description:
Cloud Native Environment (CNE) is a strategic component built on top of the Oracle Cloud Infrastructure (OCI), Oracle’s second generation IaaS for providing critical cloud services to multiple Oracle Global Business Unit (GBU) applications.

CNE provides a microservice-driven platform, software delivery toolchain, and a continuous integration/continuous delivery operations model to support high margin, highly elastic, and highly available SaaS applications. The CNE Offensive Security team is part of the overall CNE Security group, which actively collaborates with a variety of internal and partner organizations to ensure the CNE environment is secure in all aspects of the software development lifecycle, application deployment and operations.

Job Description:
Security Penetration Tester is a key individual contributor role with accountability for researching, detecting, and exploiting security vulnerabilities in the GBU CNE platform and Oracle SaaS applications deployed there. Successful candidate will be leveraging adversarial testing and assurance techniques and devise novel approaches to solving unique security challenges of a native cloud environment.

Roles & Responsibilities:
Performing application testing and security assessments at the application and service levels
Executing manual penetration tests and validation of vulnerability scan results
Conducting Security research to remain up to date on the latest Cloud Native security threats
Providing assessment reports of findings and consult with developers on mitigation strategies
Writing new fuzzing and testing tools for assessments of proprietary frameworks and protocols
Reverse-engineering undocumented file formats and protocols as part of assessments

Required Qualifications:


Advanced knowledge in system exploits, network exploitation, mobile platform and application hacking, web application exploitation
Proficiency in programming and/or scripting languages (e.g. C/C++, Python, Java, Go, Ruby, JS etc).
Experience with Linux and Bash shell scripting Knowledge of network and web-related protocols (e.g., TCP/IP, UDP, DHCP, DNS, HTTP, HTTPS, routing protocols)
Ability to conduct independent security research
1+ years of hands-on experience with fuzz testing to identify vulnerabilities and security risks in different Protocols and interfaces
Knowledge of cloud-based security principles; cloud security vulnerabilities and their best practices
Hands-on experience in Kali, Metasploit, Bugtraq or similar pentesting platforms and relevant tools
Bachelor’s degree in Computer Science/ IT or equivalent experience

Desired Qualifications:
Experience in DevSecOps/ Containers/ Kubernetes/ Microservices is good to have
Experience with multiple operating systems/programming platforms

Desired Certifications:
OSCP, OSCE, CCSP, and/or other comparable certifications
Oracle Cloud Infrastructure Architect Professional
Cloud Solutions Architect Certified
Detailed Description and Job Requirements
Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will apply basic to intermediate knowledge of software architecture to perform software development tasks associated with developing, debugging or designing software applications or operating systems according to provided design specifications. Build enhancements within an existing software architecture and occasionally suggest improvements to the architecture.

Duties and tasks are standard with some variation; displays understanding of roles, processes and procedures. Performs moderately complex problem solving with assistance and guidance in understanding and applying company policies and processes. BS degree or equivalent experience relevant to functional area. 1 year of software engineering or related experience."
