Title,Location,Company,Salary,Description
VMC Programmer,"Ghaziabad, Uttar Pradesh",INFINITY PUMPS AND SYSTEMS P LTD,"₹25,000 - ₹35,000 a month","5-7 YEAR OF EXPERIENCE OF PROGRAMMING ON DELCAM SOFTWARE,
SHOULD HAVE KNOWLEDGES OF TOOL SELECTION AS PER MATERIAL HARDNESS,
SHOULD BE ABLE TO CALCULATE FEED AND SPEED REQUIRED
Job Types: Full-time, Part-time, Temporary, Contract
Salary: ₹25,000.00 to ₹35,000.00 /month
Experience:
work: 5 years (Required)
total work: 7 years (Required)
Work Remotely:
No"
Mainframe Programmer,"Bengaluru, Karnataka",Joulestowatts Business Solutions,"₹5,00,000 - ₹13,00,000 a year","Exp.: 6-8 years
Location: Bangalore – JP Nagar
NP: Immediate – 10 days
Role Responsibilities
Analyze JCL (COBOL) jobs reverse engineer them, and produce detailed documentation
Work with the team in migrating the jobs to SQL Analyze DB2 table schema, and assist in migration to SQL database
Must Have Minimum of 6+ years of experience in working as Mainframe programmer analyst.
Proven experience in programming techniques, programming languages in the mainframe environment.
Proven experience with analysis and documentation.
Excellent communication skill (written, verbal, presentations)
Demonstrated experience working with large project teams.
COBOL, MVS JCL, SQL, DB2 and VSAM.
Job Type: Full-time
Salary: ₹500,000.00 to ₹1,300,000.00 /year
Experience:
COBOL: 6 years (Required)
total work: 6 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
SCIENTIFIC OFFICER 'C' (COMPUTER PROGRAMMER),"Guwahati, Assam",TATA MEMORIAL CENTRE,"₹56,100 a month","TATA MEMORIAL CENTRE
(AN AUTONOMOUS BODY UNDER THE DEPARTMENT OF ATOMIC ENERGY, GOVT. OF INDIA)
SCIENTIFIC OFFICER 'C' (COMPUTER PROGRAMMER)
Qualification: B.E./ B.Tech (Computer Science / Information Technology) or Equivalent or MCA degree with minimum aggregate 50% marks from Govt. recognized university.
Experience: 3 Years
Pay Scale: Rs.56,100/- Level 10, Cell 1 + Allowances applicable
No. of Posts: 01
Age limit as on24.07.2020: 35 Years
Last Date: 24/07/2020
Candidate Profile:
Hands on programming experience in client server environment using visual basic .NET technology as a front-end tool & DB2 RDBMS on IBM i - series AS400 server or MS- SQL RDBMS on windows server as back end. Candidate must also have good practical knowledge of SQL, Crystal report. Working knowledge of Web Technology / Web Development tools, skills on ASP / VB Script is desirable.
Experience:3 Years
Location:GUWAHATI
Education:B.E./ B.Tech (Computer Science / Information Technology) or Equivalent or MCA degree with minimum aggregate 50% marks from Govt. recognized university.
Company:TATA MEMORIAL CENTRE
SALARY:Rs.56,100/- Level 10, Cell 1 + Allowances applicable
Last Date:24 Jul 2020
Key Skills: Preference would be given to candidates having prior relevant experience of design development maintenance of Hospital Information System.
Company details
TATA MEMORIAL CENTRE"
Statistical Programmer,"Jaipur, Rajasthan",Circulant,None,"Hi,
Greetings from Circualants!!
We are hiring for an urgent open position , Salary is not a constraint for right candidates and the exp level will be around 7 to 12 Years, Please share your resumes at hr at circualnts.com.
Strong experience in Oncology endpoints
Experience in FDA/EMEA trial submissions
Drug Development (pre-, early, late and/or observational) in related industries or academic research
Extensive hands-on experience in CDSIC standards and datasets (SDTM, ADaM)
The Statistical Programming based at our Jaipur office will work in client’s Statistical Programming group based in California. Responsibilities:
Assist in the review of key study-related documents produced by other functions, e.g. SAP, case report form, data management plan, database specifications, EDC data structures, DMC plans and other clinical documents
Write, test and validate SAS programs to produce analysis datasets, TLGs and presentation output, to be included in reports for submission to regulatory agencies, publications and other communications
Write CDSIC standard dataset specifications and follow specifications to create SDTM and ADaM datasets
Understand and execute department-, product- and study-level macros and utilities. Write, test and validate product- and study-level macros and utilities.
Strong experience in Oncology endpoints
Knowledge: Computer programming using SAS including SAS Macro, SAS STAT, SAS GTL, SAS Base and other relevant components of SAS as applicable. Understanding of computer operating systems, word processors, document applications
Statistical Methodologies and Statistical SAS Procedures
Strong experience in Oncology endpoints
Preferred Qualifications:
Bachelors or Master’s degree, in Computer Science, Statistics, Mathematics, Life Sciences or another relevant scientific subject 8+ years clinical research and development statistical programming experience using SAS
Job Types: Contract, Commission
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Trainee Programmer (C++),India,Sumo Digital Ltd,None,"Established in 2007, Sumo Video Games is one of India’s leading video game developers. We work hand in hand with Sumo Digital’s UK studios to build ground-breaking games and content for some of the world’s biggest publishers including Microsoft, Sony, Apple and Sega.

It’s an exciting time to be part of Sumo, winners of the Develop: Star Awards 2019 Best Studio; big things are on the horizon and we want you to be part of our continued journey. Join us!

We are looking for trainee programmers to join the Sumo Video Games team to contribute to the development of console and Windows based projects. Talented programmers will always find a home here at Sumo, no matter what your specialism is. We have opportunities to play a key part in our development in our programming team in Pune. Working alongside, including co-developing, our UK studios and development teams to build multi-genre AAA games across a variety of platforms.
As Trainee Programmer you will:
Write quality code under mentorship of seniors.
Strive to learn and explore various techs under our arsenal.
Participate in an iterative process of discussions and feedback on the modules assigned to you with a senior team member.
Must have skills:
Proficiency in C++.
Clear understanding of data structures, algorithms, 3d math & vector algebra
Solid problem-solving abilities.
It would be great if you also have:
Experience with at least one current generation engine (UE4, CryEngine, Source, Unity etc.)
Proficiency in using Visual Studio.
Experience with source control
Good communication skills
What we offer:

Our Studio is unique in India, giving our staff the opportunity to work directly on all leading gaming platforms, at every stage of game development.

Being part of Sumo's Pune studio is a rewarding experience, one that requires dedication, a strong sense of ownership over your work and an overwhelming enthusiasm for the games you work on.

In return we offer competitive salary, flexi-time & benefits, and excellent working environment and most importantly we will give you the room to be yourself and live your passion.

Additionally, we provide relocation reimbursement from other cities, a performance-linked bonus in addition to the fixed salary, opportunities to attend industry conferences and a complete and all-encompassing medical insurance package for our employees and their children.

Come join the team."
GIS Programmer,"Baner, Pune, Maharashtra",Geographical Engineering Services,None,"Location: Pune
Educational Qualifications: BE- Electrical / Computer Science

Experience: Minimum 1-2 years

Job Description: Candidates should be having basic knowledge of GIS application, GUI and development experience in .NET (C#, VB.Net), strong analytical skills with in depth knowledge of RDBMS (Oracle Spatial, Enterprise, MSSQL, DB2) and ODBC Connectivity."
PLC Programmer,"Sahibabad, Uttar Pradesh",SRB Machines,"₹20,000 - ₹25,000 a month","- PLC and CNC programmer
-CNC commissioning
-On siemens and fanuc controller
-Part programming
Job Type: Full-time
Salary: ₹20,000.00 - ₹25,000.00 per month
Experience:
total work: 1 year (Preferred)
Education:
Diploma (Preferred)
Location:
Sahibabad,"
Clinical DataBase Programmer - This is not SAS programmer,None,Vivaran IT Solutions,None,"JOB RESPONSIBILITIES
· Create complex Spotfire Dashboards or Reports Using Tibco Spotfire Professional.
· Develop cross table, Bar chart, Tree map and complex reports which involves Property Controls, Custom Expressions.
· Convert multiple reports from Excel, Tableau and BO to Spotfire.
· Develop and prepared new and enhancement of existing Business Objects applications.
· Develop specifications for CRF data sets, and specifications and mock-up display for routine listings, tables and figures.
· Built, tested and validated clinical databases, received and processed external data, and programmed and validated data sets, tables, listings, and figures.
· Coordinate and maintained project documentation.
· Load/Configure SAS output provided by ARBM programmers in SPOTFIRE template.
· Create data visualizations (Tables/Graphs) in SPOTFIRE based on ad-hoc requirements.
· Generate user requirements documentation and setup UAT
· Move visualizations to production through the development stages (dev/qa/prod) per existing process
· Create Visualizations for Medical Review and technical support for medical team
· Load the clinical trial datasets (in Study Data Tabulation Model) in Spotfire/iDARTs
· Map existing data visualization templates in iDARTs to the clinical trial datasets
· Collect additional user requirements (from study physicians & data managers) and design new visualizations (Tables/Graphs)
· Design new visualizations (Tables/Graphs) based on the user requirements
· Conduct review sessions with the study team members
· Follow-up on needed improvements and changes needed
· Use Automation Job Service Builder to Export DXP file during Migration Process.
· Develop reports using Spotfire Professional and publish the same to Spotfire Server for Business Users use.
· Created Action Controls using Python Scripting.
· Enhance the visualizations using Custom expressions.
· Coordinate with the development of data management system solutions for use in worldwide clinical trials.
· Manage tight deadlines for designing, developing and coding systems solutions within the designated data management tools.
· Participate in Study Development Process SDP meetings as indicated
· Design and developed data management system solutions using the standard reference library.
· Liaise with study team members to determine and confirm study set-up specifications.
· Review selected panels and rules for design and usability to prevent storage, reporting or standards issues.
· Improve study set-up to increase data accuracy and decrease data capture and cleaning time.
· Proactively provide guidance at meetings regarding study set-up processes and timelines.
· Provide study set-up expertise on cross-functional committees.
Qualification
· Bachelor’s degree, Master’s degree preferred, In lieu of Bachelor’s degree, equivalent related education and experience.
· A predominance(5+ Years) of the technical KSAs as described in JD, namely in Spotfire
· Analytics for clinical trial operational analysis using data from Clinical Trials Management Systems (e.g. Medidata CTMS, Oracle CTMS, etc)
· Analytics for clinical assessments using data from Clinical Data Management Systems and/or Electronic Data Capture systems (e.g. Medidata Rave, Oracle Clinical, BioClinica CTMS, etc)
· Analytics for safety/pharmacovigilance assessments using data from products like Oracle Argus, ArisG, etc.
· Familiarity with the following data formats/standards: SAS, CDISC, ICH E2B, ECTD
· Familiarity with the following vocabularies/coding systems: MedDRA, WHO DD, LOINC, ATC
· Any experience in predictive modeling, machine learning, supervisory experience, project management experience, business analysis experience (e.g. success/comfort interacting with end users to elicit requirements and processes), desired.
· Proficiency in Microsoft Office Suite (Word, Excel, and PowerPoint), email, and Voicemail
· Experience with programming languages, such as PL/SQL, SAS, C#, HTML, or VB preferred.
· The ability to deal effectively with sponsors and internal customers at all levels.
· Excellent communication and interpersonal skills, both written and spoken, with an ability to inform
· Demonstrated experience in managing multiple priorities in a highly dynamic environment
· Experience working in a matrix-structured environment is preferred
Job Type: Contract
Experience:
Clinical Database Programmer : 3 years (Required)
total work: 5 years (Required)
Work Remotely:
Temporarily due to COVID-19"
ASP.Net Programmer,Remote,LA Digital,None,"We are looking for talented and motivated engineers to join our team, who can hit the ground running and take our product to the next level, as we scale up and develop our business in a target market. The Engineers who are building our core platform will work across the stack always willing to go the extra mile to deliver the highest quality in enterprise software. As a developer on our team you are building tools today that will define the delivery of tomorrows education.
The Role
Take ownership over project timelines and deliverables
Contribute to the design and architecture of our core platform
Help scale the platform and build out new features
Contribute to the DevOps process and tool building
Contribute to the front-end if and when needed, developing new skills as needed
Apply algorithm development to solve deep problems
Work with customers when needed
Skills and requirements
A degree in computer science and a minimum of 3 years of experience in product development with ASP.NET
Hands on experience in MS technologies including C#.NET, ASP.NET, MVC, MS SQL Server, .NET Core and Web API.
Hands-On knowledge of Object Oriented Principles and Design Patterns.
Excellent understanding of database design and development.
Experience in n-tiered web architectures, and a good understanding of Domain Driven Design and micro services.
Message Queue Frameworks such as MSMQ, IBM MQ, RabbitMQ etc.
Proficient with unit testing and testing frameworks like Selenium
Job Types: Full-time, Contract
Experience:
work: 2 years (Preferred)
Asp.net: 2 years (Preferred)
Education:
Bachelor's (Preferred)"
Jr Mobile Game Programmer,"Bengaluru, Karnataka",Oak Barrel Games Private Limited,"₹1,50,000 - ₹3,50,000 a year","You will be employed for the post of Jr. Game Programmer. Your job location will be in Bangalore. It is a full time job with 4 months of probation period and an assured appraisal on successful completion of probation period. This job also features time flexibility and work from home upon consideration.
You will be trained to program for games on both practice and live projects. You will also be credited within the games you worked on.
Eligibility:
All candidates with basic programming, data structure and mathematical knowledge.
NO CRITERIA FOR DEGREE OR CERTIFICATION.
Skill Requirements:
Basics Programming Language: C, C++, JAVA (at least two of them).
Data Structure fundamentals.
Secondary (School) level mathematics and physics.
Basic knowledge on Smartphone platforms is added advantage.
Basic knowledge on Game Development is added advantage.
Basic knowledge on Unity Editor Game Engine with C# is added advantage.
Love and interest for games is a MUST.
Good communication by any means.
Shortlisted candidates will be contacted for further quick screening.
Expected Start Date: 31/07/2020
Job Types: Full-time, Fresher
Salary: ₹150,000.00 - ₹350,000.00 per year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Diploma (Preferred)"
