Title,Location,Company,Salary,Description
Support Administrator,"Secunderabad, Telangana",PICKZKART ONLINE SERVICES PVT LTD,"₹10,000 - ₹16,000 a month","Immediate Hire for Back End System Administrator for E-commerce Admin Platform. Candidates with Relevant E-commerce experience are give at most preference. Freshers also welcome.
Candidates with Excellent experience working on Microsoft Office tools with Highly skilled MS EXCEL experience is required.
Relevant Candidates with excellent communication in English and Local Language can apply.
Key Skills:
Microsoft Office Tools
MS EXCEL
Technical Skills with HTML, CSS, PHP, MySQL will be added advantage, but not mandatory.
Expected Start Date: 6/7/2020
Job Type: Full-time
Salary: ₹10,000.00 to ₹16,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
System Administrator,"Thane, Maharashtra",Pureplay Skin Sciences (I) Pvt. Ltd - Creators of Plum & Phy,None,"Job Summary
Job Description
We're a fast-growing consumer products company. We are looking for an enthusiastic team member to join as our System Administrator. The work entails taking care of purchase, maintenance and troubleshooting of all our hardware and software IT assets across the company.
Required skills/experience
Excellent knowledge of computer hardware & networking
Excellent knowledge of Windows, MS Office, Tally and other programs - to be able to troubleshoot effectively
Basic English proficiency
Proactive approach to work
Minimum 2 year experience as a System Administrator
Location: Near Hiranandani Meadows, Ghodbunder Road, Thane. Candidates staying in or nearby Thane locations may apply. (Please apply only if this location is suitable for you).
Job Type: Full-time & Part time
Responsibilities and Duties
Maintain IT hardware assets across all company locations
Help with asset tagging, warranty and other queries
Solve user issues in terms of hardware and software
Maintain software licensing across all computers
Set up and maintain network across the company
Other IT-related support
Job Types: Full-time, Part-time
Experience:
system administration: 2 years (Preferred)
Work Remotely:
Temporarily due to COVID-19"
System Administrator,"Jaipur, Rajasthan",Hem Securities,None,"Job Detail
Department
IT and Technical
Location
Jaipur
Qualifications
Post graduate in IT or technical
Experience
3 to 5 years
Job Requirements
This position is responsible for the oversight of all operations that involved the development and support of information systems.Server-side support Working with Windows LINUX and Solaris Server, Active Directory, DHCP, Backups, Antivirus, SQL Server, VMware ESXi 5.0. Installation and troubleshooting of VMware environment. Installation and troubleshooting of Linux and various open source applications. Installation and troubleshooting of Windows OS. Network support Working with LANs/WANs, Routers/Switches, firewalls DNS, TCP/IP, DHCP, Wi-Fi, VPN and P2P. Monitoring and fault finding for issues related to Firewalls (Cyberoam/Sonic Wall/Fortigate/Juniper) Server-side support Working with Windows LINUX and Solaris Server, Active Directory, DHCP, Backups, Antivirus, SQL Server, VMware ESXi 5.0. Installation and troubleshooting of VMware environment. Installation and troubleshooting of Linux and various open source applications. Installation and troubleshooting of Windows OS. Network support Working with
Job Requirements
This position is responsible for the oversight of all operations that involved the development and support of information systems.Server-side support Working with Windows LINUX and Solaris Server, Active Directory, DHCP, Backups, Antivirus, SQL Server, VMware ESXi 5.0. Installation and troubleshooting of VMware environment. Installation and troubleshooting of Linux and various open source applications. Installation and troubleshooting of Windows OS. Network support Working with LANs/WANs, Routers/Switches, firewalls DNS, TCP/IP, DHCP, Wi-Fi, VPN and P2P. Monitoring and fault finding for issues related to Firewalls (Cyberoam/Sonic Wall/Fortigate/Juniper) Server-side support Working with Windows LINUX and Solaris Server, Active Directory, DHCP, Backups, Antivirus, SQL Server, VMware ESXi 5.0. Installation and troubleshooting of VMware environment. Installation and troubleshooting of Linux and various open source applications. Installation and troubleshooting of Windows OS. Network support Working with"
Linux System Administrator,"Jaipur, Rajasthan",cloudminister technologies,"₹8,000 - ₹12,000 a month","Hello
We are searching for a Linux system administrator for full-time employment. The candidate should have good knowledge of Linux and good communication skills.
There will be an opportunity for candidates to work on live projects.
Job Types: Full-time, Internship, Fresher
Salary: ₹8,000.00 to ₹12,000.00 /month
Experience:
system administration: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
Linux System Administrator,"Jaipur, Rajasthan",Vmayo Technologies Pvt. Ltd,"₹8,000 - ₹12,000 a month","Job Summary
Job Description
Hands-on experience on Linux services like - SMTP, SMPP, Kannel, Asterisk, VPS, SIP, PJSIP, etc.
Able to manage local infrastructure of about 50 systems.
Should have working experience on firewall like iptables, csf etc.
Should have hands on experience on deployment on production environment using any versioning system like Git/Svn.
Should have knowledge of IP Pre & Post Routing, External Interface binding
Responsibilities and Duties
Responsible to support the IT Network of our organization.
Qualification:
B.Tech/B.E, M.C.A,
RHCE(Red Hat certification) preferred
Skills:
Experience on redhat and ubuntu linux.
Experience working with a ticketing system like Jira/Mantis/Github/kayako
Be able to troubleshoot basic network issues and VPN.
Experience in Linux OS installation, Software and Patch management, preferably from the centralized repository.
Good Hands on Troubleshooting experience.
Experience on Sendmail and Postfix.
Knowledge of any one of scripting language – Shell, Python
Having Knowledge of DKIM, SPF , DMARC , RDNS
Having Knowledge of SIP,PJSIP, Asterisk, Kamailio , PCAP
Job Types: Full-time, Walk-In
Salary: ₹8,000.00 to ₹12,000.00 /month
Experience:
system administration: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
IT Operations & Helpdesk
Work Remotely:
Yes"
Urgent Hiring For Senior System Administrator,"Ahmedabad, Gujarat",Hops Healthcare A brand of SLKtechlabs Pvt Ltd,"₹20,000 - ₹60,000 a month","Job brief
We are looking for a System Administrator to maintain, upgrade and manage our software,
hardware and networks. Resourcefulness is a necessary skill in this role. You should be able
to diagnose and resolve problems quickly. You should also have the patience to
communicate with a variety of interdisciplinary teams and users. Your goal will be to ensure
that our technology infrastructure runs smoothly and efficiently.
Experience - 4+
Responsibilities
Appreciable if having basic knowledge about
OOP, Java, PHP Scripting
Work with cloud server Like AWS, Google cloud, Digitalocean
Network
Server Hardware
Big Data Storage like Nas, SAS, San with redundancy
Replication
Load Balancing
Application Server Like tomcat, jboss, apache
Application DB Like MySQL, MongoDB, Redis
OS Firewall, Network Firewall
VM Management
Docker
Kubernetes
Product with version manage
Manage Client Server
Monitoring Tool Like Grafana
Toot Maven, Git, Inno tool, Ansible, Jenkins
DNS
Deployment Process
Must Required
BE/Btech with specialization in IT or Computers Science
Ability to Manage a team
Job Type: Full-time
Salary: ₹20,000.00 to ₹60,000.00 /month
Experience:
work: 3 years (Preferred)
total work: 4 years (Preferred)
Education:
Bachelor's (Preferred)"
Senior System Administrator,"Delhi, Delhi",GK Digital Dream,"₹3,00,000 - ₹6,00,000 a year","As a member of the Production Hosting department at Signant Health, the System Administrator will collaborate with development, release, and application teams to install, configure, deploy and manage infrastructure, application components and services in customer environments to ensure they are highly available, scalable and sustainable.
You will also work with Apps Integration and the DevOps teams to identify and resolve issues and improve the overall Support Process.Key Accountabilities/Decision Making & Influence:
Automation for tasks like deployment of servers and application software across environment, alerts via scripting.
Troubleshoot to identify root cause and work towards faster work-arounds and resolution of reported issues
Quickly & effectively utilize existing tools and utilities to improve troubleshooting process in the long run
Ensure the stability and availability of Application operation components running on Public Clouds.
Participate in 24x7 on-call rotation to support production environments.
Control infrastructure costs by continually looking for opportunities to right-size servers and services
Migrate on-premises workloads to the cloud (AWS/Azure)
Respond to alerts of application instability, identifying root cause and corrective actions.
Knowledge, Skills & Attributes:
Experience in a modern software development environment that is Agile and incorporates DevOps practices
Hands on experience with DevOps Tools like Jenkins, Artifactory, Maven, Git, BitBucket, TFS
Experience with cloud platforms like AWS and Azure
Experience in Python, Terraform, PowerShell
Experience in containerization and orchestration(kubernetes)
Configuration management using Puppet, Ansible, or Chef
Experience with Continuous Integration and Continuous Deployment
Hands-on experience in Linux/Windows server operating systems, and Web Server technologies including IIS, Tomcat, WebLogic, WebSphere and Apache Web Server
Knowledge of relational databases including SQL Server, Oracle, Postgres or MySQL
Proven ability to work in a team-oriented environment, providing back-up support to team members & establishing/maintaining effective work relationships with co-workers within and across functional areas.
Experience setting up and configuring monitoring systems.
Job Types: Full-time, Contract, Walk-In
Salary: ₹300,000.00 to ₹600,000.00 /year
Experience:
Systems Administrator: 3 years (Required)
work: 3 years (Required)
total work: 3 years (Required)
Education:
Bachelor's (Required)"
System Administrator,India,Iris Software,None,"Primary Skills/Responsibilities
manages and administrate cloud-hosted infrastructure and applications
(Office 365, Azure- OneDrive, SharePoint, Exchange Online, Teams)
Experience working with Microsoft Windows Server 2016, 2019, Windows 10
Experience in Server Backup and Restore Operation.
Provide support in performance monitoring, backup’s alerts, reporting, and Root Cause analysis.
Windows OS and application patching, patching WSUS / SCCM
End-Point protection Management (CrowdStrike, Windows Defender)

Secondary Skills/Responsibilities
Experience MSSQL, SCCM, IIS
Experience working with VMWare Virtualization Platform.
Experience administering ADDS, Azure Active Directory and Azure Active Directory Connect, DNS, DHCP, GPO.
Working with Mobile Device Management ( Intune / MaaS 360 )

Qualifications

B.E. / B/Tech. / MCA

Primary Location: INDIA
Organization: Iris Software
Schedule: Regular
Shift: Standard
Job Type: Full-time
Evening Job
Job Posting: 01-Jul-2020, 4:09:05 AM"
System Administrator,"Vijayawada, Andhra Pradesh",Efftronics Systems Pvt Ltd,"₹2,00,000 - ₹4,00,000 a year","Functional Area Other
Industry Type IT-Software-Software Services
Keywords troubleshooting,lan,configuration,cklaptop,antivirus,operating system,symantectware program,g
Setup and maintenance of LAN and clearing out the issues concerned Maintaining Symantec & E- trust Antivirus engines. Creating Mail quotas to the users. Installation of Microsoft Windows 2003 Server, Professional. Installation of all Microsoft packages. Installation and up gradation and configuration the system / Laptop with appropriate device drivers and operating system. Regular maintenance and trouble shooting of all components of the computers and special devices. Installation of application software and programming software. Backups using different strategies (Normal, Differential and Incremental) . Maintaining daily backup and restoring data. System performance monitoring and troubleshooting user related problems.
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification BE / B.Tech (Any Specialization)
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications"
System Administrator(1 to 4 Years)),"Jaipur, Rajasthan",DreamSoft4u Pvt. Ltd. Jaipur,None,"Deployment of new application in the development/QA and Production servers.
Manage servers, system software, install software and deploy application software in Windows and Linux environment.
Working skills on different Hosting provider.
Hands on experience on Cloud Computing like AWS, Azure etc.
Environment tuning (including but not limited to Apache, Tomcat, MSSQL, MySQL, JVM, etc.
Working experience on Data backup utilities in Linux and Windows Server.
Take backup of servers as and when required or on daily, weekly monthly basis.
Knowledge of TCP/IP, Switches/Fortigate Firewall.
Experience on Virtualization Technology, Hyper-V/VMware.
Working experience on IIS/Apache web server Configuration, management and Troubleshooting
Hands on experience on Web Hosting panels, such Cpanel/WHM, SolidCP and parallel plesk etc.
Experience on DNS and Domain, also knowledge on different types of DNS records.
Good knowledge on DNS Management like, domain Propagation, domain redirection, Name Servers, A records, @ records, MX records etc.
Hands on Experience on Mail Server/Client Configuration like Postfix, application mail server.
Knowledge and working skills on FTP, SFTP, iptables, RAID, VPN.
Management and Configuration of application serves on Linux, like NFS, Samba, send mail, RDP etc.
Working experience on SSL certification Installation and configuration on Windows and Linux Server.
Experience on Subversion technologies server setup and Management like, SVN, Git etc.
Management of different types of databases Like MSSQL, Mysql, mariadb, mongodb backup and restoring technologies.
Working experience on database management tool like phpmyadmin, mysql workbench, Management studio etc.
Key Skills: (Basic knowledge of Hardware Troubleshooting, centos/Redhat/Ubuntu,Windows Server), Hosting Panel, AWS, Azure, Hyper-V, Apache, IIS, SSH, DNS, MySQL/MSSQL, tomcat, Email servers, DevOps etc.
Job Type: Full-time
Experience:
System admin: 1 year (Preferred)
total work: 4 years (Preferred)
Work Remotely:
Temporarily due to COVID-19"
