Title,Location,Company,Salary,Sponsored,Description
PHP Developer,"Jaipur, Rajasthan",Next Big Technology(NBT),"₹10,000 - ₹35,000 a month",Organic,"Next Big Technology (NBT)* is a premium Web & App Development firm established in 2009. NBT always uses the latest technologies for Website & Mobile App development. *
We are looking to hire a experienced PHP Developer to manage our back-end services. As a PHP Developer, you will be responsible for developing and coding all server-side logic.
PHP Developer Responsibilities:
Conducting analysis of website and application requirements.
Writing back-end code and building efficient PHP modules.
Developing back-end portals with an optimized database.
Troubleshooting application and code issues.
Integrating data storage solutions.
Responding to integration requests from front-end developers.
Updating and altering application features to enhance performance.
PHP Developer Requirements:
Knowledge of PHP web frameworks including Laravel, and CodeIgniter, CakePHP, WordPress.
Knowledge and Experience in Node.JS, React.JS and Angular.JS is plus.
Knowledge of front-end technologies including CSS3, JavaScript, and HTML5.
Understanding of object-oriented PHP programming.
Previous experience creating scalable applications.
Proficient with code versioning tools including Git, Bitbucket.
Familiarity with SQL/NoSQL/Mysql/MongoDB databases.
Ability to project manage.
Good problem-solving skills.
candidate with experience in PHP developer, can apply for the job.
Job Type: Full-time
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Programming Languages needed:
HTML (Preferred)
CSS (Preferred)
PHP (Preferred)
JavaScript (Preferred)"
UI- Front End Developer,"South Extn Part Ii, Delhi",Jools By Zel Jewellers Ltd,"₹3,00,000 - ₹4,50,000 a year",Organic,"We are looking for a Front-End Web Developer who is motivated to combine the art of design with the art of programming. Responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works.
Responsibilities
· Develop new user-facing features
· Build reusable code and libraries for future use
· Ensure the technical feasibility of UI/UX designs
· Optimize application for maximum speed and scalability
· Assure that all user input is validated before submitting to back-end
· Collaborate with other team members and stakeholders
Skills And Qualifications
· Proficient understanding of web markup, including HTML5, CSS
· Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS
· Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery
· Good understanding of asynchronous request handling, partial page updates, and AJAX
· Good understanding of UI Library like Bootstrap
· Working knowledge of Adobe Photoshop or Illustrator or Corel Draw.
· Proficient understanding of responsive design and cross-browser compatibility issues and ways to work around them.
· Proficient understanding of code versioning tools, such as Git
· Good understanding of SEO principles and ensuring that application will adhere to them.
Job Type: Full-time
Salary: ₹300,000.00 to ₹450,000.00 /year
Experience:
HTML5: 1 year (Required)
web development: 1 year (Required)
total work: 1 year (Preferred)
Work Remotely:
Temporarily due to COVID-19"
ASP.NET MVC Developer (3+ Yrs Exp.),"Delhi, Delhi",Artificial Intelligence Technologies limited,"₹40,000 - ₹80,000 a month",Organic,"Who We Are
Artificial Intelligence Technologies is a certified Cloud-Based Enterprise Solution Development firm providing specialized services to various industries across the world. We build the foundation for intellective business by working with upcoming technologies to provide a better customer experience through personalization and collaboration.
What We Have Done
Ezipay is a brand owned by Artificial Intelligence Technologies Ltd, a private company limited by shares and duly incorporated under the Republic of Seychelles with its branches in Ghana Senegal, Mali, Cote D'lvoire, Burkina Faso, Niger, Togo, Benin, Guinea-Bissau. And Upcoming in Zambia, And Cameroon.
Job Description
Should have 3 - 5 years IT experience with not less than 3 years of strong expertise in Microsoft .NET technologies with end to end project life cycle experience using Agile methodologies.
Should have experience in designing and developing products using various Microsoft .NET technologies C#, ASP .NET, SQL Server, Visual Studio .NET, IIS, (C#, MVC Framework, SOAP/REST Web Services including Web API
Should have good demonstrable experience in systems architecture and N-tier application development using Microsofts web technology stack (ASP.NET MVC, C#, IIS6/7/8 ASP.NET, Entity Framework, SOAP/REST Web Services
Experience with scripting languages including JavaScript (intermediate to advanced level) jQuery and data exchange formats (XML, JSON, SOAP) in a service oriented or micro services architecture.
Excellent communication & interpersonal skills.
Need to monitor / guide / help to junior programmer for his code & queries etc.
Job Type: Full-time
Salary: ₹40,000.00 to ₹80,000.00 /month
Experience:
Angular 8.0 or 9.0: 3 years (Required)
.NET MVC Framework: 3 years (Required)
C#: 3 years (Preferred)
SOAP/REST Web Services including Web API : 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Web Developer,"Jaipur, Rajasthan",M Square Media,"₹3,60,000 - ₹4,80,000 a year",Organic,"MSM is seeking a highly motivated Web Developer to work in Philippines. The Web Developer is responsible for designing, coding and modifying websites, from layout to function. Strive to create visually appealing sites that feature user-friendly design and clear navigation.
Specific responsibilities include:  Develop websites using best software development practices  Creating website layout or user interfaces using industry standard practices  Back up files from websites to local directories for recovery  Integrate data from various databases and back-end services  Can deliver software platforms across multiple products and organizational units  Maintain an understanding of the latest Web applications and programming practices  Identify problems caught through customer feedback and testing  Evaluating code to ensure it is valid and it meets industry standards operating systems  Determining user needs by determining technical requirements Qualifications  2-3 years of experience in front end and back end web development  Has experience in HTML, CSS, JavaScript/jQuery  Is knowledgeable of browser developer tools  Is knowledgeable in responsive web design  Has skills in testing and debugging  Must have a strong understanding of UI, general web functions and standards, and crossbrowser compatibility
Job Type: Full-time
Salary: ₹360,000.00 to ₹480,000.00 /year
Experience:
front end and back end web development : 2 years (Required)
CSS/CSS3: 2 years (Required)
total work: 2 years (Required)
Education:
Bachelor's (Required)
Programming Languages needed:
HTML (Required)
CSS (Required)
JavaScript (Required)
Work Remotely:
Yes"
Laravel Developer,"Jaipur, Rajasthan",Arustu Technology Pvt. Ltd,"₹10,000 - ₹20,000 a month",Organic,"Job Description
We are looking for a PHP Developer responsible for managing back-end services and the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well
Responsibilities
Integration of user-facing elements developed by front-end developers
Build efficient, testable, and reusable PHP modules
Solve complex performance problems and architectural challenges
Skills And Qualifications
Strong knowledge of PHP web frameworks
Understanding the fully synchronous behavior of PHP
Understanding of MVC design patterns
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Knowledge of object oriented PHP programming
Job Types: Full-time, Walk-In
Salary: ₹10,000.00 to ₹15,000.00 /month
Application QuestionsYou have requested that Indeed ask candidates the following questions:
How many years of HTML 5 experience do you have?
How many years of software development experience do you have?
How many years of total work experience do you have?
What is the highest level of education you have completed?
Do you have the following license or certification: Core PHP?
Job Types: Full-time, Part-time, Walk-In
Salary: ₹10,000.00 to ₹20,000.00 /month
Experience:
software development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
javascript: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Front End Developer,"Bengaluru, Karnataka",Ultimate Property Holdings,"₹3,41,073 - ₹14,36,645 a year",Organic,"Seeking creative and experienced front end and web developer for multiple internal projects with US based company.
We will be opening offices in India in the next 60-90 days.
Must have training, verified work and ability to work alone or with others. Self starter needed, we do not have time to micro manage.
Great work will get great pay. Potential help with H1B visa to USA if desired.
Will need to have ability to do front end for;
Websites
Mobile Apps
Software
Job Types: Full-time, Part-time, Internship
Pay: ₹341,073.00 - ₹1,436,645.00 per year
Experience:
Programming / HTML: 1 year (Required)
javascript: 1 year (Required)
AngularJS: 1 year (Required)
Licence:
Magneto (Preferred)
Industry:
Software Development
Work Remotely:
Yes"
Web Developer,Remote,The Pixiu,"₹12,000 - ₹18,000 a month",Organic,"We are looking for passionate Web developer to join “The Pixiu” where we value accountability and willingness to learn more than anything else. If your calling is to solve complex challenges through an elegant & modular code, this role is for you.
You will work with our product team to deliver high-quality, dynamic & responsive website.
Your responsibilities would include-
- Ensure the technical feasibility of UI/UX
- Build reusable code and libraries that drive complex web applications
- Optimize applications for maximum speed, scalability and responsiveness
- Review product requirements; Give development estimates and product feedback
Key Skills: -
- Ability to build a feature from scratch and drive it to completion
- Understand style guides and turn them into front-end code
- Experience in advanced CSS, animations and responsiveness
- Deep expertise in jQuery
- DOM manipulation, AJAX, events, effects and animation
- Understand cross browser, cross platform development issues and solutions
- Experience in front-end design patterns, trends and best practices
Good to have: -
Knowledge of python
Knowledge of Git hub
Good command over data structures, algorithms
You will get-
1) Exposure to designing and building an omni-channel experience from scratch will be a great beginning to your programming career
2) A chance to really make a difference by creating products that will impact millions of lives for better
3) Awesome colleagues & a fun work environment
You fit the bill if-
1) You are immensely passionate about solving complex problems through code
2) You have worked on web development projects and/or are able to demonstrate a knack for programming Skills required-
1) In-depth knowledge of HTML, CSS, AJAX is a must
2) Knowledge of Bootstrap, GIT, MVC framework is preferred (not mandatory).
Job Types: Full-time, Part-time, Contract
Salary: ₹12,000.00 to ₹18,000.00 /month
Experience:
CSS/CSS3: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
CSS (Preferred)"
Web Developer,"Delhi, Delhi",JAX HEALTHCARE FOUNDATION,"₹10,000 - ₹20,000 a month",Organic,"INTERNSHIP PROGRAM DETAILS
JAX Foundations is providing internships in the field of Biotech, Pharma, Business, Legal, Fashion, Media, IT, CSE, Psychology, Management, NGO, Arts, Science, Commerce and all Branch. We have more then 500 interns from national and international universities. This is the best time for improve yourself/CV and future jobs.
Work Location/Place
1.Work from Home,Online
Benefits
1.Internship Certificates
2.Work Experience Certificate
3.Recommendation letter for Higher studies
4.Membership certificate
Time Duration
Short term : 1 Month to 2 Months
Long Term : 2 - 12 Months
Role and Responsibility will be provided after telephonic discussion or based on knowledge,courses, experiences.
We will send work on your registered email ID or Whats-app number
Work from home, Online, Weekend ,2 hours daily, Part time,Full time
Daily Interaction on call 6-9 PM
Job Types: Full-time, Part-time, Internship, Volunteer, Fresher
Salary: ₹10,000.00 to ₹20,000.00 /month
Experience:
CSS/CSS3: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
CSS (Preferred)
Selection rounds:
HR Interview
Industry:
Scientific Research & Development
Work Remotely:
Yes"
Web Developer,"Jaipur, Rajasthan",EG,"₹6,00,000 - ₹10,00,000 a year",Organic,"Experience: 5 Years
Qualification: B. Tech/ MCA
With your WordPress expertise, you will be responsible for maintaining and managing the website on word press and improving site performance to enhance user experience.
You will also be responsible for the design, layout, and maintenance of our websites. This position involves an in-depth understanding of both graphic design and computer programming.
Someone who has demonstrated experience, particularly in WordPress is required.
Job Type: Full-time
Salary: ₹600,000.00 to ₹1,000,000.00 /year
Experience:
total work: 5 years (Required)
Education:
Bachelor's (Preferred)"
Web Developer,None,Bespoke Digital Media India Private Limited,"₹15,000 - ₹25,000 a month",Organic,"Creation of site layout/user interface from provided design concepts.
Placement and layout of web site pages given client provided content.
Development of robust and user-friendly .NET/ PHP based web applications.
Design and creation of relational database schemas.
SQL Server T-SQL development.
Application/Framework design as needed.
Specifications/Requirements gathering as needed.
Routine daily maintenance of existing sites and applications
Job Types: Full-time, Contract
Salary: ₹15,000.00 to ₹25,000.00 /month
Experience:
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
