Title,Location,Company,Salary,Sponsored,Description,
Research Analyst ,None,CloudTech NxtGen,"₹10,000 - ₹50,000 a month",Organic,"Role & Responsibilities:
Understanding and analyzing companies CRM requirements
Staying up to date with developments in Salesforce CRM
Research on getting new projects and the clients for the company
Should have proper communication skills to talk and interact with overseas Clients and Students
Develop detailed work plans - resource planning, information / data collection, analysis, schedule, and project tracking for all projects.
Identify, analyze, communicate, and solve problems related to projects.
Monitoring the performance of the assets and recommending changes based on research for increased performance and /or reducing costs.
Analyse the database for discrepancies and resolve the same.
Coordinate with the tech and other teams to enhance the quality and the quantity of the database
Required Skills:
Being proactive and flexible
Meeting deadlines
Communication
Being confident, thorough and collaborative
Planning & Project management
Ability to stick to deadlines and report back on tasks assigned to him/he
Being detail-oriented
Preferably worked on databases
Job Types: Full-time, Part-time, Commission, Walk-In
Salary: ₹10,000.00 to ₹50,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes",
Research Analyst,"Bengaluru, Karnataka",Aegis Meridian Equity Research,None,Organic,"Aegis Meridian is an Equity Research company based out of Bangalore. We support participants in the financial markets and we work closely with one of the leading fintech companies in India. We are a boutique research company and have been in existence for 1 year now.
We are looking to add an analyst to a small team of 3 Analysts and 1 Associate.
The analyst to fit into the Subject Matter Expert (financial markets, investments and instruments) role that a strong Relationship Management team can tap into.The Analyst to work closely with a relationship management team in aiding and assisting the customer facing team address customer queries and concerns.
The Analyst to lead the Financial Markets Summary section of the Monday Morning Stand-Up with an aim to ensure that all members of the team are equipped with the latest market information.
The Analyst to work closely with the business lead to draft and implement a periodic knowledge management process
Analyst to operate under the following model
1. Understand customer requirements from the RM Team
2. Initially build solutions that address concerns
3. Standardize recurring and high impact support models
4. Help productize the models / support
The Analyst is expected to have a strong understanding of Financial Products like Mutual Funds, Equities and other investment products. A good understanding of taxation will be an added advantage.
The candidate will be expected to have strong excel skill and a demonstrated ability to learn new skills
Job Type: Full-time
Experience:
work: 1 year (Required)
total work: 3 years (Preferred)
Education:
Master's (Preferred)
Location:
Bengaluru, Karnataka (Required)
Work Remotely:
No",
Research Analyst,"Bengaluru, Karnataka","Center for Study of Science, Technology and Policy...","₹40,000 - ₹50,000 a month",Organic,"· To perform primary and secondary data collection and analysis using mathematical models and statistical techniques.
· Ability to create visualisation based on data on different air pollution events.
· Perform techno-economic analysis of the various policy scenarios/control measures related to air pollution
· Future scenario building and forecasting based on the techno-economic analysis
· To support and contribute to the sectoral risk assessments.
· To review and evaluate air pollution mitigation policies and strategies
· To determine the benefits and drawback of existing policies and propose suggestions to improve the effect of policies
· To participate in relevant conferences, workshops, training programmes for a comprehensive understanding of the air pollution risks.
· To assist the team to work on multi-disciplinary projects, proposal writing and project development.
Project/programme assistance
· Assist with project deliverables, including help with preparing presentations and writing reports, and op-eds.
· Assist with preparing regular updates and emails for distribution.
· Participate in weekly team meetings and assist with preparing minutes.
· Accompany other team members for meetings with other stakeholders; prepare minutes of the meetings and assist with relevant follow up.
Education and experience
· Master’s degree with a specialisation in Environmental Science and allied.
· Understanding of different aspects of air pollution.
· Minimum one-two year research experience working in air pollution domain
Key skills
· Must have strong research skills, willingness to conduct frequent field visits/meetings with stakeholder.
· Willingness to work on multi-disciplinary projects.
· Good written and oral communication skills.
· Experience working with software programmes such as Microsoft Excel, Microsoft Word, PowerPoint is a must
Personality
· Good interpersonal and social skills
· Ability to adapt to new environment and deliver under tight deadlines in a professional environment
· Striving for rigour in research and quality in work output
· Ability to effectively work in a team while being able to independently drive research with minimum assistance when time demands
· Ability to dig deeper into details, while also keeping a sense of the broader objectives and big picture
· Willingness to learn, grow and develop at personal and professional front, at a rapid pace with a steep learning curve
Expected Start Date: 27/7/2020
Job Type: Full-time
Salary: ₹40,000.00 to ₹50,000.00 /month
Experience:
Air Pollution Studies : 1 year (Preferred)
Education:
Master's (Required)
Work Remotely:
Yes",
Research Analyst,"Pune, Maharashtra",Talkd Pvt Ltd,None,Organic,"Primarily responsible for aggregating the data, manually and leveraging the automation tools.
Work with the Business Development Lead to understand the data needs.
Identifying the target market, industry and domains for generating research database for the company
Understand and leverage the sources of information.
Understand the tools to research the data and also capture the data.
Keep adding to the sources of information.
Update the platform with the researched information.
Understand and implement the data aggregation rules.
Ensure the quality of the researched data and communicate the confidence level
Achieve daily targets as assigned to you
Internet Research, Email Discovery, Contact Details, Name Generation & List BuildExperiences in sales and marketing preferably from IT industry.
Expected Start Date: 6/7/2020
Job Type: Full-time
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19",
Research and Development Analyst,"Noida, Uttar Pradesh",Surajya Services Pvt. Ltd. (EasyGov - A Reliance G...,"₹2,00,000 - ₹3,00,000 a year",Organic,"1.Testing of the configured schemes and services.
2. Analysis of Government/ Semi-Government Scheme and services.
3. Identifying good practices in the delivery of services in both Government & Public Sector.
4. Manage schemes and services configuration in the product.
5. Budgetary analysis of schemes and sectors.
Job Type: Full-time
Salary: ₹200,000.00 to ₹300,000.00 /year
Experience:
1: 1 year (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19",
Research Analyst,"Madurai, Tamil Nadu","AMBC Inc.,",None,Organic,"Job Purpose:
Research analyst perform research and gather data to help a company market and its services.
Job Roles and Responsibilities:
Gathering and analyzing data is the main responsibility of Research analysts. They must be detail oriented because they often do precise data analysis. Research Analyst will work in the Digital marketing team and AMBC new projects (LMS). He/ She will receive training and coaching from colleagues of their team.
Education and Experience Requirements:
· Experience in Research.
· Active listening, critical thinking, complex problem solving are needed.
· Convert complex data and findings into understandable Documents, PPTs, tables, graphs, and written reports.
· Knowledge of media production, communication, and dissemination techniques and methods.
· Familiar with the techniques of market research such as focus groups, interviews, questionnaires, surveys, polls, and Internet search.
· Good organization skills, Presentation skills, Professionalism are required.
· interpersonal skills with strong written and good analytical and numerical skills, accuracy, and attention to detail.
· Ability to effectively prioritize and execute tasks.
· Gather Consumer, Competitor, and Market Condition Data.
· Responsible to find anything in google world for our AMBC team of recruiters, analysts, leaders and developers.
· Responsible To find better candidates, provide best practice solutions to our clients or price match the best solution to our competitors. It starts with a sound research from the research analyst
· Involve in the interaction with the Recruitment Team and understand their requirements and provide Job Description, profiles of candidates accordingly
· Preparing Research Report with JD for given Onshore/Offshore (IT -Technical) client Opening positions
· Responsible to find, chisel & convert information precisely for required target audience.
Job Type: Full-time
Experience:
total work: 1 year (Preferred)
Work Remotely:
Temporarily due to COVID-19",
Research Analyst,"Nashik, Maharashtra",Decimal Point Analytics,None,Organic,"0 - 1 Years
Nasik

Job Description
Duties
Responsible for researching, analyzing, interpreting, and presenting data related to markets, operations, finance/accounting, economics, customers, and other information
Conduct research across a wide range of assignments.
Create data dashboards, graphs and visualizations.
Gather, understand and document detailed business requirements using appropriate tools and techniques.
Identify areas to increase efficiency and automation of processes.
Create and follow various process documents such as SOPs and checklists.
Required Candidate profile
Required Skills / Abilities
Excellent research and analytical capabilities with very good understanding of financial concepts.
Knowledge of tools and techniques for data analysis
Ability to scope, structure and deliver work with a clear visibility of timelines.
Knowledge of data modelling, data cleansing and data enrichment techniques.
Ability to carry out data quality control, validation and linkage
Ability to produce clear graphical representations and data visualizations
Good verbal and written communication skills.
Keyskills
Financial Concepts
Secondary Research
advanced excel
Market Research
communication skills
Desired Candidate Profile
Please refer to the Job description above
Education-
PG:
MBA/PGDM - Any Specialization
Company Profile
DECIMAL POINT ANALYTICS PRIVATE LIMITED
Decimal Point Analytics is a technology-enabled Data and Analytics company focussed on the Financial Services Industry.",
Research Analyst,"Bhopal, Madhya Pradesh",infledge,None,Organic,"Organize vertical products that are ready for launch in regular cycles under critical deadlines with the highest launch approval standards, and with end to end…",
Research Analyst,India,KIA Biz,None,Organic,Conducting extensive market research by using various research techniques on given industry.Expertise in using online research tools.,
Financial Analyst India,Punjab,DNA Growth,None,Organic,The Financial Analyst will be responsible for executing:Internet Research to corroborate data.Financial Analysis on basis of competitors/ operational metrics.,
