Title,Location,Company,Salary,Sponsored,Description
Full Stack Developer,"Hyderabad, Telangana",Compliance Group Inc.,"₹5,00,000 - ₹15,00,000 a year",Organic,"We are looking for a full stack engineer to produce scalable software solutions. You'll be part of a cross-functional team that's responsible for the full software development life cycle, from conception to deployment.
As a full stack developer, you should be comfortable around both front-end and back-end coding languages, development frameworks and third-party libraries. You should also be a team player with a knack for visual design and utility. If you're also familiar with Agile methodologies, we'd like to meet you.
Responsibilities:
Participating in the design and creation of scalable software
Writing secure, clean, functional code on the front- and back-end
Testing and fixing bugs or other coding issues
Work with development teams and product managers to ideate software solutions
Design client-side and server-side architecture
Build the front-end of applications through appealing visual design
Develop and manage well-functioning databases and applications
Write effective APIs
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Create security and data protection settings
Build features and applications with a mobile responsive design
Write technical documentation
Work with cross functional teams
Requirements:
Proven experience as a full stack developer or similar role
Degree in Computer Science, or related field with 2+ years of overall experience.
Experience developing web and mobile applications
Familiarity with common stacks
Experience working in multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, JSON, ObjectionJS, Knex or any ORM)
Experience building applications JavaScript frameworks - React, Node.js, GraphQL
Familiarity with databases (e.g. MySQL, MongoDB), web servers and UI/UX design
Knowledge of Data Structures and Algorithms.
Excellent communication and teamwork skills
Great attention to detail
Organisational skills
An analytical mind
Start-up experience is a plus, but not required.
Expected Start Date: 1/7/2020
Job Type: Full-time
Salary: ₹500,000.00 to ₹1,500,000.00 /year
Experience:
ReactJs: 2 years (Preferred)
work: 1 year (Preferred)
total work: 3 years (Required)
Node JS: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
IOS/Android/ Hybrid App Developer (Work From Home- All Over...,"New Delhi, Delhi",Auxesis Infotech Pvt Ltd,"₹25,000 - ₹70,000 a month",Organic,"Roles and Responsibilities
Auxesis is looking for a qualified IOS/Android Developer to join our IT team.
Responsibilities
# Design and build iOS and Android mobile applications
# We are seeking a Mobile Software Developer who will develop native and hybrid software applications.
# This individual will be self-sufficient and a super talented app architect who wants to make a big impact on next-generation B2B and B2C mobile applications.
# As our Mobile developer, you will have a full-stack understanding to Create front end components (iOS, Android, and React Native) for mobile software applications from specifications and wireframes.
# Create the necessary back end (Servers, Non-sequel DBs, APIs) functionality for front end components.
# Integrate mobile applications to hardware devices or APIs
# Collaborate with User Experience teams for iteratively defining 5-star app user experiences.
The candidate should be comfortable to do Work from Home any where from India
Perks and Benefits
# Flexible office timings
# Extra wages or leave compensations for working on non-working days
# Onsite opportunities
# To learn and grow with work and organization
# Work From Home
Requirements
# Experience - 2- 6 year
# Knowledge on Both IOS/Android Developer
About Us
Working at Auxesis Infotech Pvt Ltd is an opportunity to collaborate with some of the brightest minds in our region. With an emphasis on interactive and creative engagement, we have continued to better help the companies we serve to make a difference in their communities with an improved digital and interactive experience.
Job Type: Full-time
Salary: ₹25,000.00 to ₹70,000.00 /month
Experience:
total work: 2 years (Required)"
Angular/Web Full Stack Developer,"Pune, Maharashtra",Truein (Yugstart Technologies Pvt Ltd),None,Organic,"Truein is looking to fill tech roles. Someone who is proactive, quick learner and have go-getter attitude.
About us:
We are a SaaS company with primary focus on visitors and staff entry solution in enterprise space. We help companies to create wow experience at the entrance and increases security without cumbersome processes. Truein product-platform leverages Face recognition, Computer vision and ML technologies. We are backed by investors, high potential team and marquee customers.
Required: Angular/Web development experience
Have exposure to PHP, MySQL, API
Exposure to RxJS and Redux is a plus.
Experience: 2 to 3 years.
Education: BE/BTech Computers, MSc/MCA or similar
Location: Pune (Remote until lockdown)
Job Type: Full-time
JD at: GoTruein.com/career
Job Type: Full-time
Experience:
total work: 1 year (Preferred)
Angular2+: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Software Development"
Full Stack Developer_WMPC IT,"Pune, Maharashtra",UBS,None,Organic,"Your role

Are you an enthusiastic technology professional?
Are you excited about seeking an enriching career; working for one of finest financial institutions in world? If so, you are the right person for this role.

We’re seeking a full stack software developer who can join a team of engineers within WMPC IT (Wealth Management Personal Corporate). We are looking for someone who:

can contribute to a team engaged in software development and implementation in the area of UI and Webservices
has hands-on experience in technologies like Java, Spring, React JS/Angular JS, Javascript
can collaborate with team members in all aspects of software development, build and deployment processes
is passionate about maintaining and improving quality of deliverables by following best practices and guidelines
This is an Authorized Officer (AO) role and will be based out of Pune.

Your team

You will be part of the global team that is responsible for providing the systems needed by the Wealth Management Private & corporates to manage Credit request and Decision process.
You will be contributing in programs focusing on digitalization of front and back-office processes giving our clients a seamless digital experience.

Your expertise

at a minimum, have a Degree level qualification
have ideally 5-8 years of hands-on experience pre-dominantly in the area of Software development and integration
proven record of building and delivering applications using Java, J2EE, Spring, Spring Boot, Web services, JUnits
strong understanding of OOPs concepts, concurrency, design patterns
exposure to front-end technologies like React JS/Angular JS, Javascript
good experience on Application/Web servers - WebSphere/Tomcat preferred
hands-on experience on tools like Maven, GIT, Jenkins, Nexus
good to have hands-on experience of Agile and Scrum practices.
#LI-SS1
Your colleagues

About us

Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?

Join us

We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.

Disclaimer / Policy Statements

UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.

Apply now
Save"
Full Stack Developer,"Jaipur, Rajasthan",eBizneeds Business Solutions Private Limited,"₹30,000 - ₹50,000 a month",Organic,"We are looking for a qualified #NodeJS and #AngularJS #ReactJs #WebApplicationDeveloper to design and code fully functional Websites and applications.
Skills :
1. Proven experience as Web Application Developer (Preferable PHP)
2. Expertise in using Markup Languages, JavaScript, CSS, JQuery, Node.js / ReactJs, Angular.
3. Critical thinker and problem-solving skills.
Designation: Software Developer
Exp: 2 - 4 years
Location : Jaipur
Type : Full Time
Job Type: Full-time
Salary: ₹30,000.00 to ₹50,000.00 /month
Experience:
php: 2 years (Required)
Angular / Node JS: 1 year (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Full Stack (NodeJS/Angular) Development,"New Delhi, Delhi",Know Cross,None,Organic,"Full Stack (NodeJS/Angular) Development
We are looking for a Senior developer, who has designed and developed large scale B2B web applications. As a Full Stack Developer at Knowcross, you will develop the domain architecture, technology and integration strategy of our software platform. You will play an instrumental role in implementing tech specs into scalable technical solutions.
What will you do?
Review Project Requirements and analyse Feasibility & Approach.
Prototype solutions and take on development projects as appropriate.
Develop responsive, scalable web applications
Develop new modules, enhancements to existing modules, bug fixes to existing modules, performance enhancements, and other internal development tasks.
Coordinate with Product and Design team and create a seamless applications
Drive design reviews and code reviews.
Mentor other less experienced colleagues.
Proactively keep a tab on emerging technologies, evangelize and lead adoption throughout the team.
Act as ambassador of the Knowcross brand.
This is for you, if you:
Love technology and have an innate interest in coding and building products.
Aren’t afraid of taking ownership and accountability. You love challenges and won’t stop till you have found a solution.
Possess knowledge of Software development industry best practices.
Have hands on experience and expertise on the technical competencies needed for the job, so that you can work independently.
Are passionate about the travel/hospitality space and can understand the nuances of hotel operations.
Know how to have fun and smile often
Technical Competencies you’ll possess:
Extensive hands on experience in Node.Js/Express.Js
Basic Knowledge of AWS/GCP/Azure.
Experience with web services and RESTful applications, Experience with Micro-Services architecture, Docker, Kubernetes
Previously worked on Message Queue (like RabbitMQ/Kafka)
Hands on experience building end to end systems
Familiarity with Angular 5+
Familiarity with NoSQL database like Mongo and Transactional database like Oracle/MSQL/Postgres/MySQL
Strong coding, data structures and algorithms
Proficient understanding of code versioning tools, such as Git, Gitlab, SVN etc"
Full Stack/Vue JS Developer,"Jaipur, Rajasthan",Froiden,None,Organic,"We are looking to hire an experienced Vue.js Developer to join our dynamic team. This will be an amazing opportunity for individuals who are willing to take full ownership and responsibility of end to end development and want to grow exponentially.

Responsibilities
Developing user interface using Vue.js
Building modular and reusable components and libraries
Optimizing your application for performance
Implementing automated testing integrated into development and maintenance workflows
Staying up-to-date with all recent developments in the JavaScript and Vue.js space
Keeping an eye on security updates and issues found with Vue.js and all project dependencies.
Highly proficient with Vue.js framework and its core principles such as components, reactivity, and the virtual DOM

Skills and Qualifications
Familiarity with the Vue.js ecosystem, including Vue CLI, Vuex, Vue Router
Understanding of server-side rendering and its benefits and use cases
Knowledge of functional programming and object-oriented programming paradigms
Ability to write efficient, secure, well-documented, and clean JavaScript code
Experience with both consuming and designing RESTful APIs
Proficient understanding of code versioning tools, such as Git
Perks of working with us
Experience working with international clients
No micromanaging; Just don’t miss the deadlines
Meritocracy driven, candid culture. No politics
If you believe you have all or most of these skills, we would love to hear from you."
Full Stack Developer w/ Python Experience,None,Lorene,"₹1,80,000 - ₹4,00,000 a year",Organic,"Job Summary
Lorène is a startup specializing in incubating new product ideas and bringing them to reality across various consumer segments such as education, fashion and communication. We are looking for self-driven individuals willing to put in the effort and skill sets to create new products impacting lives globally.
At Lorène, we found and fund companies that we believe in creating a future by finding the necessities in the present day. It’s a micro-VC firm which invests in ideas and creates promising companies and products. The process is iterative starting with a Lean product approach – we launch the companies with an MVP and if the idea succeeds, we invest more resources into it.
To be a part of Lorène is like being a part of the future created by the visionaries and the creative minds of today’s world, including you.
About the Role:
**
Lorène is looking for an expert Python developer who has also worked on frameworks such as Django and Flask. You would be working on building and maintaining the backend components of different SaaS tools.
Responsibilities and Duties
Must be well versed with Python
Should be familiar with various frameworks such as Angular, React and Django
Must be self-driven willing to use unconventional approaches to solve challenging problems
Must have attention to details
Should be a team player and good communicator
Must be using Python and Javascript for at least 1 year
Include any open source projects or work samples that you have worked on along with the application.
Key Skills
Python, Django
Required Experience and Qualifications
1 year with hands-on Python experience
Job Type: Full-time
Salary: ₹180,000.00 to ₹400,000.00 /year
Experience:
work: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Industry:
Marketing
Work Remotely:
Yes"
Full-Stack Developer (India),"Bengaluru, Karnataka",Vimeo,None,Organic,"Key Responsibilities
Design and develop software with high quality and take ownership.
Work collaboratively in an Agile team
Participate in full development life cycle including planning and code reviews
Build applications that can easily scale to the demands of Livestream & Vimeo traffic bursts.
Ensure the best technical design and approach with an aim for continuous improvement.

Skills And Qualifications
BTech / MTech in Computer science or equivalent degree
Minimum 1 years of web development experience with ReactJS or AngularJS
Minimum 1 yrs of experience in any backend technologies like PHP/ Java/ Scala
Database Knowledge (MySQL, Oracle, Redis, Memcache, etc)
Hands-on with Design, Coding, Debugging and Testing
Strong troubleshooting and problem-solving skills
Very good in Algorithms, Data structures, and Time Complexities
Very good knowledge of OOPS and Design patterns.
Willingness to learn and experiment with new technology.
Experience with cloud infrastructure is preferable.

If you are someone who is passionate about the art of programming, cares about clean and semantic code and keeps a tab on new developments in technology — then you are the right fit for us!"
Full Stack Developer,"Bengaluru, Karnataka",CloudTara Technologies Pvt Ltd,"₹3,00,000 - ₹4,00,000 a year",Organic,"We are looking for Full Stack Software Engineers who are extremely passionate about front end and backend software development.
We provide transparent and exponential career growth opportunities purely based on skills.
Base location will be Bangalore with work from home option.
SKILLS
Be a quick learner, undaunted by complex systems
Take risks and thrive in an environment of constant change
Ability to understand existing complex code and build new features on top of it.
Ability to apply latest software design methodologies - design patterns, whitebox / blackbox tests, static/dynamic code analysis, ensuring pragmatic, clean and sustainable code implementations
TECHNICAL SKILLS
Full stack web and mobile application development experience.
Strong understanding of JavaScript-based frontend frameworks like Angular.
Strong programming skills and expertise in Java, Spring and Hibernate
Experience with REST API’s, Web Services, Unit Testing and build tools
Good understanding and hands-on experience with databases, such as MySQL / Oracle
Job Type: Full-time
Salary: ₹300,000.00 to ₹400,000.00 /year
Experience:
Angular: 1 year (Preferred)
Java: 1 year (Preferred)
Work Remotely:
Temporarily due to COVID-19"
