Title,Location,Company,Salary,Sponsored,Description
Web Developer/Designer,"Meerut, Uttar Pradesh",Yoddha Fitness Inc,None,Organic,"Looking for Web Developer cum Designer for e-Commerce Project,, Preferential great if he or she have an experience on working shopify.com or any other platform.
Job Types: Part-time, Temporary, Contract
Experience:
Wordpress: 1 year (Preferred)
web designing: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Meerut, Uttar Pradesh (Required)
Technical skills needed:
HTML (Preferred)
Javascript (Preferred)
Photoshop 7 (Preferred)
Adobe Illustrator (Preferred)
Responsive Web Design (Preferred)
Work Remotely:
Yes"
Web Developer,"Bengaluru, Karnataka",Indigo Solutions,"₹20,000 - ₹30,000 a month",Organic,"Mandatory Skills: JavaScript, HTML, CSS, Photoshop, WordPress, Designing, Coding and Modifying.
Candidate must be based in Bangalore.
Work from Office ( Mon-sat ) (10 a.m to 6 p.m.
No Remote Work available
Must have 1 to 3 years of experience in Web Development.
Job Types: Full-time, Walk-In
Salary: ₹20,000.00 to ₹30,000.00 /month
Experience:
Web Development: 1 year (Required)
Javascript: 1 year (Preferred)
HTML and CSS: 1 year (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
Front End Web Developer,"Mumbai, Maharashtra",I AM IN,"₹3,00,000 - ₹6,00,000 a year",Organic,"ABOUT THE COMPANY
‘I AM IN’, which is an acronym of ""I am investing"", is a platform to Help Parents and Kids become money smart in an exciting way.
Our app focuses on the 6 most important quotients of Financial Literacy: Spend, Save, Donate, Invest, Earn & Learn.
1) Spend: Let the kid take a decision on their Expenses (inculcate smart spending)
2) Save: They Decide Goals and Save for them using various features of the Application
3) Donate: Doing their bit for the Society
4) Invest: Let Money grow Money and help them achieve their goals
5) Earn: Earn rewards from parents by completing the tasks given to them.
6) Learn: Teach kids about financial literacy by providing content applicable to their age group through Theories, Videos, Case studies of Investors, DIY Activities & much more.
Requirements
FRONT-END DEVELOPER
We are looking for a Front-End Web Developer who is motivated to combine the art of design with the art of programming.
- Responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application.
- You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works.
RESPONSIBILITIES:
- Write well designed, testable, efficient code by using best software development practices
- Create website layout/user interface by using standard HTML/CSS/JavaScript practices
- Make elegant and beautiful website according to the UI Designs in a matter of 2-3 days
- Integrate smooth and efficient animations in website
- Website should be mobile-responsive and quality of animations and visual effects should also be retained in mobile version
- Work with smooth scrolling, animations linked with scrolling and parts of graphic assets, story-line kind of website
- Integrate data from various back-end services and databases
- Gather and refine specifications and requirements based on technical needs
- Be responsible for maintaining, expanding, and scaling our product
- Stay plugged into emerging technologies/industry trends and apply them into operations and activities
- Cooperate with graphic designers to match visual design intent
QUALIFICATIONS AND SKILLS:
- Must be proficient/expert in CSS and JavaScript
- Proven working experience in frontend development
- Top-notch programming skills and in-depth knowledge of modern HTML/CSS/JavaScript
- A solid understanding of how web applications work including security, session management, and best development practices
- Aggressive problem diagnosis and creative problem-solving skills
- Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen
- Ability to work and thrive in a fast-paced environment, learn rapidly, and master diverse web technologies and techniques.
BENEFITS
You should join us if you want to be part of a mission-driven company. If you believe that financial literacy is a life-changing skill then help us spread the awareness. Join us and make yourself part of this amazing journey.
Perks
1. Competitive Salary
2. Flexible work-hours
Job Type: Full-time
Salary: ₹300,000.00 to ₹600,000.00 /year
Experience:
Programming / HTML: 1 year (Required)
total work: 1 year (Required)
CSS: 1 year (Required)
javascript: 1 year (Required)
Location:
Mumbai, Maharashtra (Required)"
Web Developer,None,M Square Media (MSM),None,Organic,"Specific responsibilities include:
Develop websites using best software development practices
Creating website layout or user interfaces using industry standard practices
Integrate data from various databases and back-end services
Can deliver software platforms across multiple products and organizational units
Maintain an understanding of the latest Web applications and programming practices
Identify problems caught through customer feedback and testing
Evaluating code to ensure it is valid and it meets industry standards operating systems
Determining user needs by determining technical requirements
Work with Web Designers and other Web Development teams to create the best possible website.
Be aware of emerging technologies and industry trends and apply them into operations and activities.
Qualifications
2-3 years of experience in front end web development
Strong knowledge of web standards.
Proficient understanding of web mark-up, including HTML5 and CSS3.
Proficient understanding of cross-browser compatibility issues and ways to work around them.
Good understanding of JavaScript programming and DOM manipulation
Is knowledgeable in responsive web design
Working knowledge of Angular, Bootstrap, react.
Has skills in testing and debugging
Proficient understanding of code versioning tools, such as Git
Skills and Experience
Creative problem solving and aggressive problem diagnosis skills
Strong organizational skills to juggle multiple tasks
Ability to thrive in a fast-paced environment
Excellent ability in both written and verbal communication.
Able to develop ideas and clearly express them
High degree of independent judgment
Job Type: Full-time
Experience:
FronT End Web Development: 2 years (Required)
Education:
Bachelor's (Required)
Location:
Remote (Required)
Language:
English (Required)"
Wordpress Developer / Web Developer,"Jaipur, Rajasthan",EG Times,"₹45,000 - ₹60,000 a month",Organic,"We are looking for an experience wordpress developer or web developer.
Qualification : B Tech or MCA or BCA
Experience: min 5 Years
Job Type: Full-time
Salary: ₹45,000.00 - ₹60,000.00 per month
Experience:
total work: 5 years (Preferred)"
Full Stack Web Developer,None,Joys Bakehouse,"₹20,000 - ₹25,000 a month",Organic,"We are hiring web developers for a new project that we are undertaking
It's a remote (work from home) job opportunity in which you must be willing to work independently with not much micromanagement.
An ideal candidate must have:
- The ability to learn about new technologies
- Work independently by maintaining company code standards
Developer will be on probation for first 3 months during which there would be less incentives and once we are satisfied with your learning speed and ability to grasp the concepts then you will be made permanent. There will also be 1-on-1 pair programming with CTO for first 3 months.
Expected Start Date: Immediate
Job Types: Full-time, Internship, Fresher
Salary: ₹20,000.00 - ₹25,000.00 per month
Experience:
golang: 1 year (Preferred)
vuejs: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Web Developer,"Maidens Hotel, Delhi",BLUCSUS PRIVATE LIMITED,"₹15,000 - ₹25,000 a month",Organic,"A Web Developer is responsible for the coding, design and layout of a website according to a company's specifications. As the role takes into consideration user experience and function, a certain level of both graphic design and computer programming is necessary.
Job Type: Fresher
Salary: ₹15,000.00 - ₹25,000.00 per month
Experience:
CSS/CSS3: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
CSS (Preferred)
Benefits:
Company Cab / Shuttle service
Shift allowance
Selection rounds:
HR Interview
Work Remotely:
Yes"
Web Designer / Front End Developer - Urgent,"Jaipur, Rajasthan",Alls Web,"₹10,000 - ₹50,000 a month",Organic,"- Good Knowledge of Bootstrap 4,5 and AMP
- Good knowledge of social media (TikTok, Instagram, Twitter) functions and Features
- Strong knowledge in HTML5, CSS3 and should have working knowledge.
- Confident in handling multiple projects simultaneously, being detail oriented.
Job Type: Full-time
Salary: ₹10,000.00 - ₹50,000.00 per month
Experience:
Wordpress: 1 year (Required)
bootstrap: 3 years (Required)
web designing: 3 years (Required)
total work: 5 years (Preferred)"
Web Developer,"Bengaluru, Karnataka",Treft Systems Inc,"₹4,00,000 - ₹8,00,000 a year",Organic,"We are Looking for a Web Developer with 2+ years of professional experience. Below are the requirements :
- Bachelors Degree required in fields such as Computer Science, Engineering.
- 2+ years of professional experience
- Must be able to hand code in HTML, CSS, Javascript and frameworks such as jquery, react, vue, knockout etc
- Must have experience programming in a server side language for the web including PHP, Python, Golang, Java etc.
- Able to use a debugger to debug code problems. For PHP, any experience with xdebug is a huge plus.
- Any experience with PHP frameworks such as Laravel or CMS frameworks like WordPress is a huge plus.
- Any experience coding WordPress Themes and Plugins is a huge plus.
- Must have knowledge of version control systems such as Git and ability to write code in a distributed team setting.
- Must be able to communicate in written and verbal English with good communication skills.
- Must be able to work out of our Whitefield, Bangalore office on a daily basis. We are about 5 mins from Forum Value Mall. Note that relocation will be offered to the right candidates from outside of Bangalore but you must be willing to move to Bangalore preferably in the Whitefield area.
- Our headquarters is based out of the United States (East Coast) and some timezone overlap may be required as needed.
What you will be doing on a daily basis:
- Work on existing client requests including code changes, enhancements, bug fixes in our web applications.
- Work closely with a distributed team across Bangalore and United States (our headquarters). Engage with technical and sales/marketing team members to ensure client needs are met.
- Respond to customer support tickets and resolve issues in a timely manner. Support tickets can range anything from a simple question to code change.
- Building our client websites and web applications using various front-end and backend tools.
- Document internal processes and training materials for clients as needed.
Please apply only if you meet all of the above requirements.
Job Type: Full-time
Pay: ₹400,000.00 - ₹800,000.00 per year
Experience:
PHP: 2 years (Preferred)
HTML: 2 years (Preferred)
Benefits:
Paid leaves / Leave encashment
Travel allowance
Flexible work hours
Other"
PHP Developer,"Jaipur, Rajasthan",JPRWEBS,"₹15,000 - ₹30,000 a month",Organic,"Proven work experience as a PHP developer with deep knowledge of back-end coding skills.
Proficient in Core PHP/ CodeIgnitor.
Good understanding of OOPs and web technologies.
Ability to write well designed, testable and efficient code.
Experience building user interfaces for web applications in different Vertical.
Experience working with debugging tools like Firebug, Chrome inspector, etc.
Knowledge of how to interact with RESTful APIs and formats JSON.
Proficient understanding of code versioning tools such as Git.
Good Knowledge in HTML,CSS, JavaScript,Jquery,responsive (bootstrap framework) for front-end.
Strong understanding of PHP back-end development.
Relational Database handling and performance management.
Expected Start Date: 19/7/2020
Job Types: Full-time, Contract
Salary: ₹15,000.00 - ₹30,000.00 per month
Experience:
software development: 2 years (Required)
total work: 2 years (Required)
Education:
Bachelor's (Required)
Licence:
PHP (Required)
Programming Languages needed:
HTML (Required)
CSS (Required)
JavaScript (Required)
PHP (Required)
Work Remotely:
Yes"
