Job Title,Description,Company Name,Location,Unnamed: 4,Unnamed: 5
Full Stack Developer,r responsibility able visualise ideate high design cloud software implement scalable web cloud solution expected prototype backend front solution expected take full ownership feature implement solution per direction ideation done collaboration developer architect ask right question context requirement able brainstorm solution based input map existing architecture expected collaborate front developer rest member establish objective design functional cohesive code able identify bottleneck bug devise solution problem able design expose rest endpoint back cloud based management able design ui component front web application needed qualification bachelor master degree engineering discipline reputed engineering college 4 year full stack developer strong hand java expected versed designing rest apis jax r json etc per functional specification strong hand database technology mysql oracle mongodb etc clear understanding structure algorithm able map apply appropriately problem solving expected versed designing cloud solution clear understanding differentiator go decision making process whenever developing solution address functional requirement caching logging traceability scalability resiliency etc clarity design pattern oops principle solid principle depth understanding design paradigm cloud service hand javascript familiarity javascript prototype based inheritance scope variable function hoisting es6 standard etc strong analytical able clearly communicate complex technical nuance lead scrum master able facilitate inter coordination willing continuously technology driven adopt best practises passionate adaptable flexible independent self motivated individual take initiative ownership project desired hand node j aws stack preferred hand framework like spring springboot etc preferred hand orm like hibernate jpa etc preferred familiarity writing ut tdd based approach preferred hand knowledge schema le database elastic search redis etc preferred familiarity modern tooling java based micro architecture gradle etc familiarity docker jenkins etc hand one javascript framework viz angularjs angular react vue etc hand css3 familiarity framework like jasmine protractor cypress jest junit jbehave serenity etc ,"Autodesk
4.0",Pune,,
Cloud and DevOps Engineer,description amazon built reputation excellence recent example named 1 customer 1 trusted 2 amazon web service aws carrying tradition leading world cloud technology member aws support forefront transformational technology assisting list company taking growing service feature run mission critical application leading company space directly engineering team amazon developing capability big support specializes helping customer streaming storing processing vast amount cloud engineer focus helping customer use integrate service arguably industry exciting space portfolio service cover emr hadoop dynamodb nosql elasticsearch kinesis athena ml ai talented support engineer located 8 country around world growing rapidly sun support shift model mean every day bring exciting challenge use groundbreaking technology apply advanced troubleshooting technique provide unique solution customer individual need interact leading technologist around world directly amazon web architect help reproduce resolve customer issue leverage extensive customer support provide feedback internal aws team service customer interaction phone chat email screen share conference call project support related process customer technical support write tutorial video technical article customer community critical complex customer problem may span multiple aws service basic qualification basic qualification bachelor degree information science information technology computer science engineering mathematics physic related field 8 year big hadoop knowledge hadoop architecture administration support versed maintaining infrastructure large complex system cluster strong linux unix system administrator strong hadoop troubleshooting able read java code basic coding scripting java perl ruby c php experienced linux system monitoring analysis understanding networking concept protocol dns tcp ip dhcp http etc strong analysis troubleshooting oral written customer strong customer focus understanding distributed computing environment strong multi tasking self starter excited learning technology database mysql oracle nosql open working non standard hour night shift including sun mon fri sat weekend preferred qualification preferred qualification proficient hadoop map reduce eco system zookeeper hbase hdfs pig hive spark etc expert understanding etl principle apply hadoop python shell scripting java plus exposure virtualization vmware xen hypervisor prior working aws ec2 s3 eb elb rds dynamo db emr exposure security concept best practice ipsec vpn load balancing iperf mtr routing protocol ssh network monitoring troubleshooting tool managing full application stack o custom application amazon equal affirmative action employer minority female veteran gender identity sexual orientation age,"Amazon
4.3",Bengaluru,,
App Developer,description aware android mobile application including designing developing per requirement able integrate external apis android app understanding integrating web service android app bug fixing improving application performance english,"Softcom Technologies
3.1",Vadodara,,
App Developer,zinier headquartered san mateo california office latin america singapore bengaluru portugal backed leading investor including accel partner founder fund exist service shape live electricity light home internet open world cellular phone keep connected matter take granted thing flip switch even one service depend available day start go sideways organization provide service important happens field neighborhood across open space along million last mile criss cross country every moment downtime matter zinier exists zinier empowers organization smarter main office field solve problem fix thing break keep people rhythm day zinier created scalable platform powered ai driven insight intelligent automation help field team smarter better faster efficiently help organization automate routine task people field focus putting customer telecom energy constant endeavour extend aid bright young engineer offering skilled expert gain foothold career android developer rapidly expanding engineering primary focus developer build feature enhance existing android application responsibility translate design wireframes high quality code design build maintain high performance reusable reliable java code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization requirement bachelor degree least five year service strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application backend service offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer familiarity cloud message apis push notification knack benchmarking optimization understanding google design principle interface guideline proficient understanding code versioning tool bug tracking system jira git google map api geo,"Zinier
4.8",Bengaluru,,
App Developer,android developer description engineer zomato backbone anchored reflected impact make million life daily basis empowered building product tool serve million customer restaurant across globe whether helping user discover restaurant virtually ordering favourite restaurant plenty sink teeth zomato currently working interesting problem solving challenge everyday take step closer mission better food people check blog recent update work cutting edge stuff reactive programming apps moving kotlin place heavy emphasis architectural correctness suggestion mobile methodology technology sought along deliver key component day day feature using latest architecture design pattern importantly write secure performant code working product ux ui backend team build reusable library toolkits developer tool usage across multiple mobile team zomato monitor performance live apps continuously code user constantly raise bar reviewing others code share knowledge tip trick generally help across team evaluate suggest mobile methodology technology entrepreneurial motivated folk working towards world changing goal fast paced agile advocate user maintaining 9 crash free anr session time requirement fit bill degree computer science software engineering information technology related field date modern android programming paradigm including use kotlin java rxjava mvvm etc writing unit functional test tdd api design sdk architecture mobile software lifecycle practice strong ux ui design exposure making apps intuitively pixel perfect interface strong c fundamental competency algorithm structure design pattern etc building ci cd pipeline plus,"Zomato
4.0",Gurgaon,,
App Developer,responsible maintenance application aimed vast number diverse android device primary focus android application integration back service working along side engineer developer working different layer infrastructure therefore commitment collaborative problem solving sophisticated design creating quality product essential design build advanced application android platform collaborate cross functional team define design ship feature outside source apis continuously discover evaluate implement technology maximize efficiency,RMNexo Software Pvt. Ltd.,Pune,,
App Developer,medium lab creative technology help brand imagine customer experience mission export silicon valley mindset rest world product purpose lasting impact user life client business dreamer doer united simple idea make difference customer make difference business work since led early stage startup top tier brand wow customer best class product experience wall street journal call yml one company silicon valley generation technology world class design help brand like apple paypal l oreal home depot kaiser permanente state farm republic bank develop solution major business outcome founded medium lab headquartered silicon valley four office worldwide including atlanta indianapolis bangalore sao paulo came age invention app store mobile dna solution across ecosystem unlike agency born desktop deeply connected consumer perception shifted thanks mobile lifestyle built launched product delighted million user built apps fortune client responsible billion transaction generated billion transaction client featured app store time portfolio found ymedialabs live engineering medium ymedialabs innovation live design dribbble ymedialabs bangalore close strong growing variety way goal include excellence transform one best tech team bangalore hire multiple android engineer different level help code world class apps creating mobile engineer build apps used million consumer worldwide build apps brand proud show family friend key responsibility show develop high quality state art native android apps performance quality responsiveness application code review automated unit testing documentation code write deal ambiguity rapidly evolving time sensitive project deadline matter plan meet deadline maintaining code quality product initiative generation prototype engineer product management qa operation team develop meet functional non functional requirement schedule agile test driven fast feedback cycle integration unit functional integration acceptance testing get involved interaction gathering project requirement adapt technology bring technology product process depending maturity seniority mentor engineer strong foundation computer science fundamental like structure algorithm software engineering principle passionate creating code multiple year android application java kotlin kotlin major one published application google play store available immediate download review provide name apps worked brief description contribution individually developed strong building publishing commercial application google play store multiple year java rdbms networking generic known application framework solid understanding android design principle interface guideline performance memory tuning using tool coding restful apis connect application back service player work collaborative situation io app major plus cross platform tool tool like git jira basecamp bitbucket azure devops working iot project bluetooth technology active open source github stack overflow contribution big plus apps play store added working knowledge general mobile landscape architecture trend emerging technology perk awesome mind fun team project impact million people 24x7 stocked pantry snack coffee tea,"Y Media Labs
3.5",Bengaluru,,
App Developer,onboard android developer hq hyderabad bangalore area pushing mobile technology limit android app developer talented engineer design build generation mobile application android programming work app technical team design build advanced app feature android platform independently craft project solution applying solid object oriented design principle product management ux execute idea concept delivery using software design coding process continuously discover evaluate implement technology maximize efficiency identify correct bottleneck fix bug requirement 3 6 year relevant exp android knowledge core java preferable expert ui design concept android fragment expert understanding networking local caching multitasking understanding full mobile life cycle third party library apis knowledge google mobile ad sdk app billing api strong debugging troubleshooting issue improving application performance fast agile frequent change,"Head Digital Works
4.0",Hyderabad,,
App Developer,building designing android application working coordination design testing develop better product fewer bug different api source fix bug evaluation discovering technology exploiting required espresso android studio kotlin bdd jenkins ci pipeline collaborate cross functional team analyze design ship feature fully responsible mobile app build application app store implement technology maximize application performance segment developer information technology programmer technology,"LTI
3.5",Mumbai,,
App Developer,description translate design wireframes high quality code design build maintain high performance reusable reliable java code identify correct bottleneck fix bug solid agile deliver value user high quality consistently predictably unit test code robustness including edge case usability general reliability strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern mvc mvp etc best practice offline storage threading performance tuning familiarity cloud message apis push notification solid understanding full mobile life cycle e agile model understanding google android design principle interface guideline willing startup desired least 1 year android extensive developing mobile apps using android sdk proficiency core java design pattern conversant json xml web service api saas platform mobile like analytics push notification cloud storage ad network etc resume hr squareknot,"Squareknot
5.0",Gurgaon,,
