Job Title,Description,Company Name,Location,Unnamed: 4,Unnamed: 5
**Cloud Support Engineer - Bigdata/Hadoop #PS**,"JOB DESCRIPTION
Amazon has built a reputation for excellence with recent examples of being named #1 in customer service, #1 most trusted, and #2 most innovative. Amazon Web Services (AWS) is carrying on that tradition while leading the world in Cloud technologies. As a member of the AWS Support team you will be at the forefront of this transformational technology assisting a global list of companies that are taking advantage of a growing set of services and features to run their mission-critical applications. You will work with leading companies in this space and directly with the engineering teams within Amazon developing these new capabilities.

Our Big Data Support team specializes in helping customers with streaming, storing and processing vast amounts of data in the Cloud. Our engineers focus on helping customers use and integrate services in what is arguably our industrys most exciting space. The portfolio of services covers EMR (Hadoop), DynamoDB (NoSQL), ElasticSearch, Kinesis, Athena, ML/AI & more. We have a team of talented Support Engineers located in 8 countries around the world, and are growing rapidly. Our follow the sun support and shift model mean you will not be on-call.


Every day will bring new and exciting challenges on the job while you:
· Learn and use groundbreaking technologies
· Apply advanced troubleshooting techniques to provide unique solutions to our customers' individual needs
· Interact with leading technologists around the world
· Work directly with Amazon Web Service architects to help reproduce and resolve customer issues
· Leverage your extensive customer support experience to provide feedback to internal AWS teams on how to improve our services.
· Drive customer interactions. Phone, Chat, Emails, Screen shares and conference calls
· Drive projects that improve support-related processes and our customers technical support experience
· Write tutorials, how-to videos, and other technical articles for the customer community
· Work on critical, highly complex customer problems that may span multiple AWS services



Basic Qualifications

BASIC QUALIFICATIONS
· Bachelors degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field

· 8 years of experience in big data/hadoop.


· Excellent knowledge of Hadoop architecture and administration and support


· Well versed in maintaining infrastructure of large complex systems/clusters.

· Strong Linux/Unix system administrator skills

· Strong Hadoop troubleshooting skills

· Be able to read java code, and basic coding/scripting ability in Java, Perl, Ruby, C#, and/or PHP

· Experienced with Linux system monitoring and analysis

· Should have good understanding of Networking concepts and protocols(DNS, TCP/IP, DHCP, HTTPS, etc.)

· Strong analysis and troubleshooting skills and experience

· Excellent oral and written communication skills

· Customer service experience / strong customer focus

· Good understanding of distributed computing environments

· Strong multi-tasking skills


· Self-starter who is excited about learning new technology

· Databases (MySQL, Oracle, NoSQL)

· Open to working non-standard hours (no night shifts) including a Sun-Mon or Fri-Sat weekend.



Preferred Qualifications

PREFERRED QUALIFICATIONS
· Proficient in Hadoop Map-Reduce and its Eco System [ Zookeeper, HBASE, HDFS, Pig, Hive, spark, etc].

· Expert understanding of ETL principles and how to apply them within Hadoop

· Python, and shell scripting; experience with Java a plus.

· Exposure to Virtualization (VMware, Xen, Hypervisor)

· Prior working experience with AWS - any or all of EC2, S3, EBS, ELB, RDS, Dynamo DB, EMR

· Exposure to security concepts / best practices

· Expertise with IPsec, VPN, Load Balancing, Iperf, MTR, Routing Protocols, SSH, Network Monitoring / Troubleshooting tools


· Experience managing full application stacks from the OS up through custom applications



Amazon.com is an Equal Opportunity-Affirmative Action Employer Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation/ Age.","Amazon
4.3",Bengaluru,,
Analyst,"Vacancy Name Analyst
Vacancy Reference VN464
Location Country India
Location City Mumbai
Description • Manage and Reconcile Derivatives invoices according to process and procedure
• Meet Service Level Agreement targets
• Work on SmartStream’s Transactions, Fees Cost and Invoice Management solution ensuring all service level agreements are met.
Job Responsibilities • Typical Work Activities include:
• Use the Smartstream solution to match client data and highlight any exceptions.
• Raising data exceptions and managing the investigation process to completion.
• Prioritising work to ensure all SLA’s are adhered too.
• Keeping the client fully informed of progress and liaising with brokers & banks to close any issues.
• Work with multiple teams to provide ideas and input into improving the Smartstream solution.
Key Skills • Derivatives Product knowledge with experience in Listed Brokerage preferred
• Sound knowledge of Investment Banking products predominantly Derivatives
• Sound knowledge of the Trade Lifecycle
• Good knowledge of Excel
• Analytic problem solving skills
• Good numeracy skills.
• Experience of working with SLA environment
• Experience in a data reconciliation or data matching role preferred
• 2-4 years of experience of working in the Banking/finance industry
• Experience of working in a Software House or Development centre is a good to have
• Familiarity with project methodology is a good to have
Desirable Skills • Excellent communication skills both written and verbal
• Effective prioritisation
• Ability to build good relationships with stakeholders
• Focus on Delivery and Customer Service
• Teamworker
• Calm, methodical approach to problem solving
Qualifications • Graduate/Post Graduate in any faculty related to Banking and Financial Services
Experience
Employment Type Permanent
Benefits","SmartStream Technologies
3.2",Mumbai,,
Analyst,"The Area: Morningstar Indexes Team leverages its expertise in equity research, manager research, asset allocation, and portfolio construction to create innovative investment solutions. It uses Morningstar`s intellectual property to create indexes that empower investors to achieve their goals at every stage of the investment process - market monitoring, bench marking, and asset allocation. The unit offers a broad suite of global equity, bond, commodity and asset allocation indexes.

The Role: Morningstar Indexes seeks an intelligent and creative professional for its Index Management and Analytics team. The primary function of the team is to maintain Morningstar indexes across asset classes, periodic methodology enhancements and provide research and analytics for client support. The team is also responsible for handling complex corporate events, regulatory compliance, and production automation. We are looking for a team member with basic knowledge of financial markets, statistical packages, data analytics or decision science. This position will be located in Vashi, Navi Mumbai (India).

Responsibilities:

End-to-end ownership of index methodology and index reconstitution/re balancing processes across asset class Be a subject matter expert on Index construction methodologies along their investment thesis and propose enhancements to the methodology Maintain Equity Universe and Management process of combining, normalizing, QA’ing, correcting and finalizing data such as Fundamental Data, Total Outstanding Shares, Float, Security Type, Country of Incorporation, etc. Ensure accurate, timely interpretation and treatment of complex corporate actions per rule books, and general adherence to stated methodologies. Also, work with the calculation agent for the timely and accurate implementation of corporate actions Ensure accurate and timely calculation of index levels and daily portfolios. Also, manage the restatement of indexes in case of any data issues and communicate to the clients. Act as a subject matter expert for the client request on the index Analytics, index methodology and the reconstitution processes. Clearly and thoroughly communicate with internal and external clients, calculation agents, and data/service providers regarding index methodology, data and portfolio compositions, sales and client inquiries, and issue resolution Work collaboratively with internal and external teams to continually identify and implement process improvements, reduce external data dependencies, support new product development, and establish standard operating procedures

Requirements:

A Bachelor’s or Master’s degree in Engineering, Finance, Economics, Management etc. and a strong interest in Finance Some progress towards CFA is mandatory At least 1 years of relevant work experience Comfortable with basics of MS office, SQL and Python Excellent written and verbal communication skills Ability to collaborate with the global team and deliver quality outcomes under tight deadlines The candidate should exhibit a passion for innovation, and harbor a genuine belief in, and acceptance of Morningstar’s core values

Morningstar is an equal opportunity employer.

I10_MstarIndiaPvtLtd Morningstar India Private Ltd. (Delhi) Legal Entity","Morningstar
4.0",Mumbai,,
Analyst,"Job ID : Research Analyst

Role : Analyst

Department : Institutional Equities Business

Location : Andheri - Mumbai

Designation : Sr. Manager

Reporting structure for the position : HOD - Institutional Equities Business > Managing Director

No of Positions Vacant : 1

Job Description :
Working towards the achievement of the company’s mission keeping in view the company’s vision, beliefs, and mission statements
Performing extensive primary and secondary research to build a detailed understanding of the target industry, company, or opportunity
Analyzing and synthesizing research findings to develop valuable insights and strategic recommendations for the client
Designing and creating error-free, client-ready presentations in a timely manner
Recommending stocks ideas backed up by sound, reliable, and logical research
Regularly interacting with the sales team members of the company to recommend stock ideas to clients
Initiating coverage, result updates, company/sector developments, management meeting notes, etc – essential to the work
Regularly giving presentations on the stock/sector ideas to clients
Interacting with clients, analysts, fund managers, etc.
Preferred Skills :
Good analytical ability to take calculated risks and decisions
Integrity
Energetic and initiative-taking attitude
Customer-oriented
Resilient and stress-tolerant
Adaptable to change
Detail conscious
Persuasive and good negotiation skills
Presentable, with good listening, oral, and written communication skills
Education : MBA (Finance/Marketing) - Preferred, Bcom, NISM Series XV - Research Analysts Certification Examination

Exp. Required in Years : 4-6 years of relevant experience

Fixed Compensation : 10-15 lakhs

Variable Compensation : Performance-based quarterly incentives

Hiring process/round of interviews : Behavioral & technical interviews

Expected Notice Period : Performance-based quarterly incentives

Key Result Areas : Through thorough and in-depth research, develop research ideas and communicate the same to clients

Key Performance Indicators :
Building and updating financial models for historical annual and interim financial and operating data
Updating annual and interim financial figures as well as operating metrics and other company data in the models
Number of quality research reports (ICs/RU/sector reports/sector updates/investment ideas, etc) in co-ordination with HOD on a time-bound basis (monthly/quarterly/annually)
Number of meetings with clients on a regular basis
Ability to provide management access to our Inst","Asit C Mehta Investment Interrmediates
3.4",Mumbai,,
Analyst,"Job Summary:
Overall Purpose of the Role :

The Cash & Banking team works closely with Operations, IT and Finance contacts from around the Company, as well as external Banking contacts, to safeguard the Companys cash and ensure that cash activity clears the bank and posts to the General Ledger properly every day.

Responsibilities:
Responsibility :
Ensure the Electronic Bank Statement (EBS) file is successfully transmitted from the bank and uploaded into SAP each day, partner with HCL/DES and Banking contacts to resolve any issues, escalate as needed
Ensure all depository activity posts to the General Ledger and clears the bank accounts properly each day, escalate issues as needed
Ensure all on-line access banking requests are completed timlely.
Complete assigned account reconciliations each month within 30 days after the period close (20 days for quarter end months)
Establish strong working relationships with Business Unit contacts and partner with them to clear all reconciling items
Submit process improvement/cost reduction recommendations whenever possible
Support fellow Cast Members by providing front line assistance with day-to-day issues
Run daily Account Payable spools and transmit to the bank once audited
Basic Qualifications:
Experience & Qualifications required:
Degree in Finance, Business or Accounting
Minimum 3 years experience handling a similar role
Additional Information:
Other desired skills :

SAP, On-line banking software","Walt Disney Company
4.0",Mumbai,,
Analyst,"Working with clients focused on real estate investment and development.
Candidate will be required to manage a set of dedicated clients including developers, private equity investors and financial institutions. Apart from assisting them on daily basis on project related data queries, candidate will be required to build the relationship and be proactive in identifying opportunities to work closely with the client and become an integral part of their decision making process. .
In the process of assisting clients, candidate will need to interact with various teams internally to get the desired output. .
Candidate over a period of time (6 months) will be responsible for ensuring that the client not only renews the product subscription but also considers an important value add for which he is ready to pay any cost. .
Candidate will be required to engage with clients based other cities and will be required to travel. .
The candidate will also be responsible for operational activities.

Qualifications:
Graduate/ Postgraduate

Required Skills:
Candidates must be capable of creating value around a service-led solution.
The ideal candidate should be a post graduate (or equivalent) and among the best performers in the current position.
With excellent relationship building capabilities the candidate should be well presented, articulate and of the highest integrity.
Should have worked as a research and consulting/ analytics professional in a Real Estate (Private) Equity Fund or in an Equity Research Firm or Strategy Teams of Real Estate Developers .
A go getter with the right attitude
A flair for numbers
Good writing skills
Works best under pressure
Highly customer focused.
Organized with effective time management skills.
Computer proficiency especially with database tracking programs.
Strong negotiating skills and capacity.
Strong written and verbal communication skills.","PropEquity Analytics
3.5",Mumbai,,
Analyst,"Job Title: Analyst

Location: Chennai

A member of Wholesale Lending Operations , reporting to the Team Manager in EMEA/US space and responsible for supporting Credit Managers, RDs /RSMs, Case Managers who are developing and maintaining relationships with a portfolio of Corporate customers and connected Personal customers.

Pro-actively driving cases to drawdown in order to meet client timelines and expectations whilst ensuring all regulatory/internal & legal procedures are adhered to.

Proactive collaboration/partnership with key processing areas e.g. Credit/Product/sales etc. to ensure completion of cases - This includes high value drawdown is achieved within client timescales

Proactive collaboration with Relationship points, Credit and others to ensure client requirements are met and the Banks position is safeguarded

Act as resolution point between relationship teams and processing teams Own any issues and mange them through to resolution

Provide expert support and advice to Case Managers and colleagues/Check submissions against sanction to ensure that the Banks position is safeguarded.

Support the end-to-end lending process with drawing / marking of new facilities. Deal with complex and standard requests to agreed levels of accuracy and efficiency using automated or manual systems and equipment. Ensure that Service Level Agreements are met and operational performance is optimised.

Support continuous improvement of the operational process and the development of Best Practice. Suggest ideas to improve systems and processes where necessary and evaluate the benefits and risks of such proposals

Action queries relating to drawing / limit marking of facilities. Liaise with other areas of the Bank responsible for maintenance of limits and accounts outside Branch Accounting

What will you be doing?
Act as a subject matter expert by developing excellent understanding of procedures
Working in partnership with the other Lending Operations teams and Coverage to ensure that we provide a joined up service to our customers at all times
React quickly to urgent requests and perform maker activities
What were looking for:
Good communication skills and flexibility to manage change
Equipped at using MS Office tools such as Excel, Power Point, Word, Access
Passion to add value to the business through strong analyses and recommendations
Skills that will help you in the role:
Aptitude to work in a variable business environment, periodically requiring tight deadlines and aggressive turn-around times
Flexible with working in shifts
Graduate/Post graduate (any discipline)
Where will you be working?
Chennai
Be More at Barclays

At Barclays, each day is about being more as a professional, and as a person. Be More @ Barclays represents our core promise to all current and future employees. Its the characteristic that we want to be associated with as an employer, and at the heart of every employee experience. We empower our colleagues to Be More Globally Connected, working on international projects that improve the way millions of customers handle their finances. Be More Inspired by working alongside the most talented people in the industry, and delivering imaginative new solutions that are redefining the future of finance. Be More Impactful by having the opportunity to work on cutting-edge projects, and Be More Valued for who you are.

Interested and want to know more about Barclays? Visit home.barclays/who-we-are/ for more details.

Our Values

Everything we do is shaped by the five values of Respect, Integrity, Service, Excellence and Stewardship. Our values inform the foundations of our relationships with customers and clients, but they also shape how we measure and reward the performance of our colleagues. Simply put, success is not just about what you achieve, but about how you achieve it.

Our Diversity

We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our vision and goals.

Our Benefits

Our customers are unique. The same goes for our colleagues. That's why at Barclays we offer a range of benefits, allowing every colleague to choose the best options for their personal circumstances. These include a competitive salary and pension, health care and all the tools, technology and support to help you become the very best you can be. We are proud of our dynamic working options for colleagues. If you have a need for flexibility, then please discuss this with us.","Barclays
3.9",Chennai,,
Analyst,"Job Title: Analyst
Location: TRIL GTC
GCL : C2

JOB DESCRIPTION

ROLE: - What is expected out of the candidate to perform

As a Bot Configurator, the key role is to be involved in design, development, coding, customization, configuration, testing, deployment and End to end support of Automation based solutions or Bots (Robots).

The Bot Configurator will build Robots based on the underlying architecture of Automation Anywhere also comprising other Microsoft Technologies such as.Net and relative client scripting languages. Should be capable of handling Automation support related issues and providing resolution.

Responsibilities:
Design, develop, test, deploy and support robotic automation based projects
Gather business requirements and develop automation solution accordingly
Provide Expertise to build Solution Description Document and PQD
Supports the Process Analyst in completing documentation where necessary throughout the lifecycle
Supports the Process Analyst in defining and designing the solution along with other relevant activities, such as go-live approval
Configures the robot code, adhering to standards, modularisation, scalability and reuse of code
Performs unit/functional testing, supports UAT and performs bot classification and validation
Conducts compatibility testing between RPA software and target systems within the scope of the automation
Performs Peer reviews of other configurators code
Migrates code to production and performs migration testing
Provides Hypercare, training and knowledge transfer to the Business Bot Controller & Bot Administrator Team
Re-configures code when required by a Change Request
Design and develop testing and maintenance procedures and activities.
Implement best practices, standards and procedures including quality and delivery methodologies.
Identify bottlenecks/bugs and devise solutions to mitigate the same. Also motivate team to meet tight deadlines and to perform individually whilst working as part of global team.
Take ownership of issues through from delivery or issue resolution or escalation, as appropriate
Ability to absorb technical information and communicate clearly to varied audience.
Ensure that applications are monitored and consistently deliver high level of availability and performance.
Pro-actively identify and report improvements for the service
Ability to articulate the business requirements into practical solutions and analyze the automation candidates
MANDATORY SKILLS: What are skills / technology candidate needs to have, to perform the role
Overall 4 to 7 years of IT Experience (Preferably .NET)
Minimum 1 year hands-on on AA bot development and Certified in the same.
Exposure to SAP and bot development in SAP
Worked on IQ bots and other automation tools like Microsoft flow, winshuttle
Create Technical specifications, Test plans and support documentations
Sound knowledge on ITIL principles, Incident/Change management and AZ Access provisioning
Strong Interpersonal, Technical writing, communication and presentation skills with Senior Stakeholders
Passionate to know the latest trends or developments in automation and adapt to the same
DESIRED SKILLS:What are good to have skills / certifications / technology / domain experience
Knowledge of any one Technology Stack such as .Net/C#/ASP.net or Java/J2EE or Python
Basic knowledge on Macros (VBA), vb script, java script
Application knowledge related to Service Now, Jira
Responsible for completing the Application Life Cycle plans for individual applications, which incorporate all attributes of the technology stack, to the required level of detail.
Ability to organize and prioritize work, meet deadlines and work independently.
Interest in learning new technologies
EDUCATIONAL BACKGROUND:

Any specific Bachelors / Master Degree candidate must have. Or any specific institutions he/she must pass out from Engineering Degree / Masters in Computer Science

PREFERABLE INDUSTRY: IT Manufacturing or Pharma

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","AstraZeneca
4.0",Chennai,,
Analyst,"JARDINE LLOYD THOMPSON INDIA

Summary

Division

Knowledge Services

Department

Strategic Research

Sub- Department

Asia Research Team

Job Title

Analyst

Reports to

Deputy Manager/ (Sr) Manager

Grade

Span of Control

NA

Job Purpose

To develop analysis and datasets that will enable the JLT Asia Specialty business to acquire and retain clients and strengthen its brand value.

Job Dimensions

Knowledge and Expertise

Basic
Ability to perform effective internet searches
Basic understanding of economy, finance and business
Basic understanding of risks that businesses across sectors face/could face
Job Complexity

Defined and Routine
Ability to work on information gathering intensive tasks effectively
Ability to flag any exceptional situations where guidance is needed in a timely manner
Ability to get output quality checked in a timely manner
Client Relationships / Communication Skills

Convey, Exchange/Understanding
Ability to understand and clarify objectives and execute independently
Ability to provide proactive status updates and raise flags when required to the right people
Ability to explain the results of data collection to all stakeholders
People Management and Strategic Impact

Entry level team member
Accomplishes own objectives successfully
Financial Impact

1

Geographical Impact

1

Principal Accountabilities
Delivery management-
Develop research outputs/search for information effectively, and using creative research methods when required
Estimate timelines on requested pieces of analysis for internal and external stakeholders
Deliver outputs after quality checks on agreed timelines
Stakeholder management
Supports the team in internal and external stakeholder management by supporting delivery on reports and analysis
Context

Operating Environment

JLT India is a wholly owned subsidiary of Jardine Lloyd Thompson Group (JLT). The JLT Group has two main lines of business Employee Benefits and Insurance Broking and has its presence through owned companies in over 36 countries and through a network its presence is in over 100 countries. A key member of the Strategic Research team, a team responsible for delivering high quality research and analytics to the group's US Specialty business

Framework & Boundaries

As per the policies and frameworks followed by JLT India

Organization

Relationships

Subordinates

None

Superiors

Daily interaction for updates, reviews and progress

Others

Within the company: Need based interaction with all managers for escalations, discussions, information sharing

Outside the company: Regular interaction with the stakeholders

Person Specifications

Education

Essential: Undergraduate in a discipline related to commerce/business

Desirable: MBA in Finance/Strategy

Work Qualifications

Essential:
Desirable: Insurance qualifications such as LM1/LM2

Training

Essential:
Desirable:
Experience

Essential: Experience in collecting data through internet searches. 1-3 years experience in business research. Experience in intermediate research products such as company profiles.

Desirable: Experience in contributing to complex strategic analysis and thought leadership. Previous experience, specifically interning with multiple industries and projects will be desirable.

Knowledge

Essential: Ability to use MS Office suite effectively, specifically Powerpoint and Excel and Word effectively, acumen of understanding business strategies and models. Familiarity with financial statement concepts and usage.

Desirable:
Skills & Abilities

Essential:
Problem solving and critical thinking skills
Ability to collect information and data accurately in a time boxed manner
Ability to use MS Excel, Word and Powerpoint effectively
Excellent written and verbal communication skills
Ability to multitask between different projects
Desirable: Previous experience in collaborating and communicating with international teams/individuals

Others

Essential:
Desirable:
Job Challenges
Stretched timelines and shifting priorities
Scaling up on a multitude of industries to produce quality outputs
Delivering on multiple projects simultaneously
Additional Information

Competency Areas

Competency

Definition

Level

Scoping projects
Understands the business context on the request.
Makes accurate time and cost estimates on standard pieces of work e.g. prospect lists, risk profiles, company profiles, data gathering, independently, and solicits advice from seniors on non standard projects.
Clarifies questions and sets clear expectations with the project lead on the request to ensure clarity of scope and delivery expectations.
P1

Research Capability (secondary and primary)
Adept at using functions across basic databases such as Factiva & Bloomberg, Axco etc.
Ability to source information with some guidance in a timely manner (using databases and/or internal research repository).
Identify the gaps in the secondary sources and seek guidance on potential primary sources.
P1

Research Analysis / Strategic Framework
Ability to interpret basic financial ratios, account statements and annual reports.
Possesses theoretical familiarity with the fundamental frameworks such as SWOT, PESTEL and 5-Forces.
Synthesise all information to create appropriate structure.
P1

Report writing
Ability to articulate the project requirement accurately over email or any other form of written communication through the use of appropriate business English.
Well versed in using different formats like word, ppt, excel etc.
Creates well formatted outputs.
Provides a well thought out narrative with very limited guidance that acts as an enabler in the story boarding exercise.
P1

Insurance Knowledge
Is able to understand the concepts of insurable risk and the various types of insurable risks.
Understands the role of different entities in the insurance market.
Knowledge of market trends of the specialty/region the person is aligned with.
P1

Excellence Level

Excellence Areas

Definitions

Excellence in Principal Accountabilities

Excellence in Competencies
2.
Performance Requirement Options (PRO) as per PI
A - Control

B - Extroversion

C - Patience

D - Formality

JD Approvals

Job Holder

Reporting Manager

Name

Name

Mudit Sahai

Date

Date

11th January, 2019

Head/Director

HR- Director

Name

Ravi Shanker

Name

Deepayan Sensharma

Date

11th January, 2019

Date

CEO

Dinesh Deo.

Date

Primary Location: Maharashtra-Mumbai
Job: Knowledge Services
Organization: Knowledge Services
Job Posting: Jul 24, 2019, 8:12:10 AM","JLT India
3.6",Mumbai,,
Analyst,"Position Title: Analyst
Function: Finance
Reporting to: Operations Manager
Job Scope includes: Frequent
communication with stakeholders, analyze and review monthly reports, exhibit
and share deep accounting knowledge on Fixed assets management (Creation, retirements,
sales, transfers, accelerated depreciation) and liaise with corporate team,
local finance & controllers frequently as required.
Job Description:

Project
creation & capitalization
Asset creation,
retirements, sales, transfers, accelerated depreciation
Maintain
fixed asset register in SAP & review WBS elements and define settlement rules.
Review Depreciation
cycle run & Project settlements occurrence
Ensure
successful data transmission into reporting ledger, monthly check & review
of reporting data into consolidation tool
Forecast
for OL & Share reports like asset listing, expected realizable value,
retirements, CAPEX, Flux analysis
Provide
10 K & 10 Q disclosure requirements, forecast Intangibles amortization.
Depreciation
areas – Local GAAP, Tax & US GAAP and special adjustment handling per
statutory law compliances.
IFRS, GAAP
differences & accounting standard guidelines.
Review SOX
compliance, Internal controls & handle, support audit queries (external
& internal) from PI perspective.
Tax reports
per country specific requirements.
Blackline
reconciliations review of PI with relevant substantiations & make sure no
un-reconciled transactions exists for reporting.
Handle escalations
& ad-hoc requests & manage committed TAT.
Readiness
to pick up project assignments per requirement with timely actions & high
quality.


Mandatory: Skill Sets/Experience:

M.com / MBA / ICWA inter/ /CA inter with 4-5 years full time experience of Fixed Asset accounting
CMA (or) CA with 2 (or) 4 years of full-time accounting experience
SAP (FI) asset accounting experience & end user accounting knowledge.
Should have working experience on Ms. Excel & Power point
Excellent Verbal & Written Communication Skills
Strong problem solving and analytical skills
Accounting flow & trouble shoot experience in Asset accounting & R2R domain.
Well versed with conference calls & timely e-mail action up.
Desired to have:

Mentor and train rest of the team to gain expertise on PI area.
Macro set-up & Data analyze skills
Good Multitasking, prioritization, time management skills
Ability to work independently in complex, challenging, stressful environment","DuPont
3.7",Hyderabad,,
