,Title,Location,Company,Salary,Description
16,Data Scientist and Analyst,Bengaluru,Quaxigma,478927-1811150,quaxigma launched mission make accessible affordable deliver ai product solution scale enterprise bringing power ai engineering transformation believe without insight business continue face challenge better customer even lose secondly without insight business able deliver differentiated product service finally without insight business achieve operational excellence crucial remain competitive meeting rising customer expectation expanding market digitalization seeking creative collaborative adaptable engineer agile skilled scientist engineer ux developer sr engineer hand responsible building maintaining pipeline support advanced analytics science solution bi solution sr engineer identifies deeply understands valuable internal external collaborates scientist wrangle design deployment solution  using azure cloud lake storage factory hadoop 2 x hdinsight spark scala hive hdfs exp spark relevant creating batch realtime pipeline azure platform using logic apps automation run book azure factory azure databricks azure event hub kafka azure stream analytics develop construct test maintain optimal pipeline etl architecture facilitate integration conformity integrity structure designed flexibility support future business need enhancement transformation documented best practice understood business user developer cleansing manipulating analyzing large datasets structured unstructured design dwh model ensuring design follows prescribed reference architecture framework reflecting appropriate business rule built logical physical conceptual model performance tuning complex etl mapping relational non relational workload advanced sql programming sparksql pyspark pl sql sql curate model warehouse used front advanced analytics designer map system object define design required integration etl bi ai system process required master bachelor degree computer science mathematics engineering management information system related field 5 year working enterprise platform building managing lake using technology 3 5 year designing implementing warehouse solution hand date advanced recognized around analytics coding variety language e g python sql scala etc fully conversant big processing approach schema read methodology knowledge azure factory databricks azure lake azure sql dw analysis service deep understanding quality tooling metadata management semantic store azure sqldw snowflake cosmos db strong agile devops methodology concept must worked ci cd way working using tool like azure devops executing analytics project agile manner articulation value depending project life cycle stage creating mvp communicate inherently complicated technical concept non technical stakeholder full time pay 00 1 00 per year engineering 5 year required education bachelor required industry information design documentation remotely temporarily 
19,Data Scientist and Analyst,Hyderabad,Klaxon India,800000-1200000,5 7 year hyderabad jd engineer strong python proficient ingestion processing exploration technique intellectual curiosity find unusual way solve processing issue proof technical apache spark aws glue lambda athena s3 emr file format avro parquet csv json etc proficient big tool framework etl warehouse lake proficient linux strong analytic related working unstructured datasets apache open source processing tool technology analytics tool design pattern ci cd implementation conceptualizing generating infrastructure allows big processed accessed analyzed efficiently effectively deliver business value making analyst scientist productive develop construct test maintain optimal secure cloud house pipeline reformulating existing framework optimize functioning identify way reliability efficiency quality assemble large complex set meet functional non functional business requirement automating manual process optimizing delivery designing solution greater scalability etc build infrastructure required optimal extraction transformation loading wide variety source aws technology aws glue lambda s3 athena emr etc deal variety file format avro parquet csv json etc build lake provide actionable insight customer acquisition operational efficiency key business performance metric stakeholder including executive product design team assist related technical issue support infrastructure need analytics expert strive greater functionality sy 8 lac 12 lac p industry software ecommerce internet technology 5 7 year qualification bachelor degree key python engineering profile person syed shahbaz ali address 1 2 brigade road opp brigade tower mobile email id info klaxonindia
27,Data Scientist and Analyst,Ahmedabad,Lendingtree Research Services LLP,500000-1500000,qualification bachelor degree equivalent practical 3 6 year relevant including considerable database mysql m sql etl system cloud integration web apis modeling visualization manipulating curating system query performance optimization hand performance tuning tabular design modeling big tool hadoop hive etc preferred qualification programming e g python r javascript etc familiarity version control creating visualization dashboard surface business insight tool like talend equivalent bi tool added warehouse e g storage method format modeling architecture design demonstrated convey complex concept solution technical non technical audience respond dynamically question comment leadership business intelligence analyst primarily responsible integration different source used analytics provide visibility key metric performance opportunity scale matter business partner partner analytics dev team shape develop analytics architecture craft scalable solution automate delivery creativity build prototype solution provide training guidance member partner enjoy diving ask answer big question motivated resourceful knowledge business intelligence bi tool approach critically think business problem communicate stakeholder  scientist engineering partner help shape infrastructure seo product solution including preparation cleansing integration system automation design business intelligence bi tool monitor solution run across variety client manager optimize solution appropriate analysis tool interpret solution full time 000 00 1 000 00 per year 1 year required total 1 year required remotely temporarily 
32,Software Developer,Noida,asia tech IT Services,180000-300000,brief software developer build implement functional program software developer  include producing efficient code based specification testing deploying program system fixing improving existing software developer design algorithm flowchart produce efficient code based specification integrate software component third party program verify deploy program system troubleshoot debug upgrade existing software gather evaluate user feedback recommend execute improvement technical documentation reference reporting software developer requirement bachelor degree computer science related degree knowledge software life cycle desire fast paced develop unit testing code component complete application creativity always plus must full stack developer concept software engineering working variety software project deep programming language knowledge req qualification btech c ec mca bca fresher apply sal offered 1 8 lpa 2 4 lpa noida type full time fresher 15 000 00 000 00 per net 1 year preferred 1 year preferred total 1 year preferred java 1 year preferred education secondary 10th pas preferred remotely temporarily 
34,Web Developer,Gurgaon,nutan enterprises,400000-500000,assionate design exceptional user experience web mobile application hand using cutting edge web technology system generally interact backend web socket server strong competency jquery angularjs bootstrap html5 css3 especially applies responsive design extensive prototyping tool keeping date latest upcoming trend css3 html5 4 lac 5 lac p industry software others 3 5 year qualification b tech b e key jquery angularjs bootstrap html5 css3 web developer web designer profile name nutan enterprise nutan enterprise based alwar rajasthan one largest provider placement service manpower service staffing service hr consultancy service payroll management service labour law consultancy service india email id nutanjobs gmail
38,Web Developer,Jaipur,BLive Web Solutions Pvt. Ltd,96000-180000, duty discus website design function designing building website front creating website architecture guidance designing managing website back including database server integration generating wordpress theme plugins conducting website performance test troubleshooting content issue monitoring performance live website required qualification bachelor degree computer science similar field proven wordpress developer applicable fresher knowledge front technology including css3 javascript html5 jquery understanding website architecture full time 8 000 00 15 000 00 per wordpress 1 year preferred 1 year preferred total 1 year preferred education bachelor preferred benefit provident fund pf paid leaf leave encashment flexible hour education assistance remotely temporarily 
41,App Developer,Ahmedabad,Adeline Infotech,240000-1000000,must expected start date 1 7 type full time commission walk 000 00 1 000 000 00 year 1 year preferred total 1 year preferred developer 1 year preferred education bachelor preferred remotely
46,App Developer,Ahmedabad,iQlance Solutions Pvt Ltd,120000-420000, implementation different module feature application write high quality source code program complete application deadline take  initiative development provide best efficient solution utilize programming principle tool technique write application code desired core java collection concept oops concept clear android basic ui component building app gradle android x kotlin firebase material design crashlytics rest api push notification google map mvc mvp mvvm architecture knowledge sqlite room database operation understanding mobile security protocol memory management integration popular third party library debugging android studio knowledge jetpack component knowledge ndk knowledge rxjava rxandroid dragger knowledge cross platform framework like flutter react native etc 5 day working ahmedabad prahladnagar full time 10 000 00 000 00 android 1 year preferred
49,App Developer,Ahmedabad,Oceans Technologies,180000-240000,proven working 1 yr android android sdk sqlite android studio eclipse fragment basic knowledge google map v2 working remote via rest json strong knowledge android ui design principle pattern best practice third party library apis design build maintain high performance reusable reliablejava code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization automatization self motivated hardworking proactive finding solution written analytical full time 15 000 00 000 00 android 1 year required 1 year preferred total 1 year preferred education bachelor required programming language needed java preferred remotely
50,App Developer,Ahmedabad,PM Communications,180000-420000,pm communication hiring experienced android developer ahmedabad full time 15 000 00 000 00 android 1 year preferred 1 year preferred total 1 year preferred education secondary 10th pas preferred programming language needed java preferred industry software remotely
