Job Title,Job Description,Company Name,Location
Senior Workday System Administrator,"Cloudreach is the leading multi-cloud services provider. Our mission is to help companies navigate their unique journeys to the cloud and build new foundations for future growth. We're a team of multi-cloud natives with certifications across AWS, GCP and Azure. Businesses that work with Cloudreach adopt cutting-edge technologies to solve challenges and create new opportunities. In this way, we deliver unrivaled value for more than 1000 enterprise clients globally.

Behind our services are our Cloudreachers.

We pride ourselves on being the go-to destination for curious, talented, and driven people looking for unique work experiences to maximize their potential. We are passionate about asking questions, finding solutions, playing with the latest tools & technology, doing our lives' work, and having fun along the way. You can learn more about our innovative culture, global workforce, and Cloudy Values here.

We're not content with the status quo. We're here to do things better, and then do better things.

What team will you be on?

This role reports directly into our Head of People Operations and is a member of the broader People team. Our Global People team lives by the mantra ""we hire talent, we train talent and we retain talent'' and is dedicated to all our Cloudreachers and their development, and in creating a distinct and inclusive culture. Cloudreach's People Operations Team ensures that all staff feel passionate about what they do and are fully engaged with Cloudreach and our company values.

What will your role be?
Gather and analyze requirements and provide technical advice and best practices in order to drive integration development and implementation in Workday
Create detailed integration specifications, field mapping and designs Participate in all phases of the project life cycle including analysis of requirements, functional specs, design, development/configuration, testing and deployment.
Own customer issues from beginning-to-end resolution
Optimize and monitor the integrations for maximum performance and scalability.
What are we looking for?
At least 3 years of Workday Integration experience
Proven experience with Web Services API's, XML, XSLT, and XPath
Proven experience with data integration/ETL tools
Experience with Workday Studio, Core Connectors, BIRT
Experience with Payroll integrations (PECI) is desired
Experience in Workday HCM, Recruiting, Advanced Compensation & Learning is a strong plus
Exposure to the following is an advantage: Greenhouse, Salesforce, Adaptive Insights
Drive to deliver the best technical solutions to business needs
Experience in Agile/Scrum working environments
What are our perks?
Meaningful and impactful work opportunities at a pioneering, cutting edge cloud services provider
People-first mentality. We know that you and your mental health & wellbeing are #1. That's why we give you an uncapped holiday allowance (+ your birthday off!), employee assistance programs, and resources to support your mental health & wellbeing.
We embrace technologies that unlock agile & flexible ways of working. We respect our people to do their work when and how they work best. Work-life blend is a priority!
Our dynamic work environment enables autonomy while also promoting a sense of belonging to a global community
Opportunity for growth & development. Not only will you work alongside and learn from industry thought leaders, you will also be reimbursed for function-based certifications. We're multi-cloud and proud!
An inclusive workplace where varying backgrounds, ideas, and points of view are celebrated and the individual is respected, included and empowered to bring their whole self to work
Transparency in business updates & communications. Whether you're on the senior leadership team or a brand new employee, you're an integral part of the team and we'll make sure you know what's up
Recognition-rich company culture where daily wins are celebrated and individuals living out our values are applauded
We strive to remove barriers, eliminate discrimination and ensure equal opportunity through our transparent recruitment process. We are open to all groups of people without regard to age, disability, marital status, gender identity, race, colour, sexual orientation, religion, military status, veteran status or any other legally-protected characteristic.","Cloudreach
3.4",Pune
DevOps Administrator (Pune Office),"Job Title: DevOps Administrator (Pune Office)

Area: IT Operations and Infrastructure

Reports to: Manager II - Business Systems, Architecture & Infrastructure
Organization Overview

Rotary unites people from all continents and cultures who take action to deliver real, long-term solutions to pressing issues facing our communities. Each year, Rotary members invest more than $200 million and 16 million volunteer hours to improve lives and create positive change in the world. In exchange for hard work and dedication in support of Rotarys clubs and humanitarian initiatives, our employees receive competitive salaries, flexible schedules, comprehensive benefits, and job enrichment. To learn more, visit http://www.rotary.org.

Rotarys commitment to diversity

One of Rotarys values is diversity, which we define as embracing diversity in thought, culture, and perspective. As such, we welcome and encourage highly-qualified candidates with diverse experiences and backgrounds to apply.

General Overview

DevOps Engineer should work collaboratively with software engineering to deploy Rotary applications and operate systems. He/she should help in automating and streamlining operations and deployment processes, build and maintain tools for deployment and monitoring, troubleshoot and resolve issues in Dev, Test, UAT and production environments.

Education & Experience:


3-5 years of relevant work experience in DevOps/ Infrastructure, Test Automation and Development

Graduate/ Post Graduate from any field having DevOps background along with software development. BE, MCA, M.SC. (Computer Science), MCA is preferred.

Required
Sound exposure to Windows and Linux OS and accomplish necessary tasks for selected environment
Should be able to validate that the environment meets all Security, Compliance Controls and SSL/ TLS Certificates
Deploy software and should have knowledge of best practices and IT operations in an always-up, always-available service, Load balancer
Experience with source control revision tools GIT, BitBucket, TFS, SVN
Experience with Atlassian products like Bitbucket, JIRA
Good exposure to any scripting language which can be used to automate routine tasks using Shell/Python/Perl/Ruby scripting languages
Experience with automation/ configuration management using either TeamCity/Puppet/Chef/Ansible or equivalent
Experience in Continuous Integration (preferably using TeamCity and GIT or JENKINS)
Ability to use a wide variety of open source technologies and cloud services (experience with Oracle Cloud/Azure is required)
An idea of different post production health monitoring solutions and how it fits into the DevOps scope using NewRelic, Docker etc.
Preferred
Experience with monitoring and event analytics using New Relic or equivalent others
Experience in Agile environments - Agile scrum/ DSDM and Kanban
On call support experience preferable
Take ownership of technical issues and make himself/ herself available during escalations.
Good communication skills (verbal and written)
Ability to work independently with leadership skills as well in teams
Knowledge and Skills
Defect Tracking / Ticket Management Tool JIRA, ITSD
Servers Provisioning Technologies Microsoft Azure, Oracle Cloud
Source Code Management Tools Git, BitBucket, TFS, SVN
CI/CD/ Release Tools TeamCity, Kubernetes, Chef, Puppet, Octopus Deploy or equivalent
Monitoring Tools New Relic, Nagios, Solar winds
Specific Duties
Support the continuous integration and release process of in-house, micro-service-based cloud environment
Design, build and maintain the CI/CD infrastructure and tools
Design and Develop the test automation to validate the builds in the CI/CD pipeline
Support integration scenarios with other in-house and applications
Ensure landscape availability, performance and stability (dev, pipeline, demo, live systems)
Work closely with development teams to ensure that solutions are designed with customer user experience, scale/performance and operability in mind
Investigate and evaluate new tools and DevOps technologies
Design and manage monitoring and alerting systems for Dashboard for raising notifications on-time in CI/CD/Release pipeline
Expected leadership attributes:

Work cooperatively with other teams
Proactively seek feedback
Care about your work and Rotary
Be a team player
Display a professional presence
Take ownership of decisions
Demonstrate initiative
Think creatively and propose new ways to do things
Meet or beat due dates
Actively learn and apply new approaches to work
Develop knowledge and appreciation of other cultures
Understand how your role aligns with Rotarys goals
and contributes to our vision","Rotary
3.7",Pune
Senior Technical Support Engineer,"#LI-NR1

Khoros, formerly known as Lithium + Spredfast, is the leading customer engagement platform providing Social Media Marketing, Care and Monitoring Solutions. Khoros Customer Engagement Platform is built to turn siloed knowledge into enterprise value, and customers into contributors. By connecting consumer insights across all departments, Khoros gives companies the ability to run their business with their customers, anticipating their needs and accelerating sales, loyalty, and innovation. With 2,000+ customers, including 52 of the Interbrand 100. Khoros has ten offices globally and powers approximately 500 million digital interactions every day. From social media to online communities and messaging to digital customer care, Khoros helps companies authentically connect with customers throughout their journey.

Role:

If you want to accelerate your learning and career growth in a forward-looking company, stop thinking about doing the same thing repeatedly. Instead, think about the impact you could be having above and beyond your current role.

What you will do?

Help drive global knowledge around supporting the product and become the single source of product related escalations within customer support for the region

Work with our front line Customer Support Engineers to let them help our customers understand the true potential to the software through ensuring that their answers are provided both timely and accurately

Solve problems in an effective and measured manner. You’ll be working primarily with technical teams focused on technical solutions, so the ability to build a trust relationship with experienced resources is critical.

Assist with issue triage, product expertise, and guidance to resolve customer reported defects and questions. You will perform advanced troubleshooting, log analysis, and interact with customers to reach solutions and answers to various inquiries.

Contribute to a detailed and comprehensive knowledge base that our clients and internal consumers can use to solve their own challenges without needing to get a hold of you.

Sustain our 97%+ customer satisfaction rating by providing phenomenal, personalized support with our great customers

Elevate the “typical” support analyst role to a complex technical software opportunity.

As part of a global 24/7 support team, occasional rotation within an on-call system for specific weeks or weekends may be required, so please be aware of this prior to applying.

What we are looking for?

The Senior Technical Support Engineer role is experienced technically and is responsible for making the rest of the team more effective. In today’s ever-changing social landscape, we need someone who’s up-to-date on the latest and greatest web tools and platforms. To do so, we use Web 2.0 architecture, HTML, CSS, JavaScript, relational databases and networking in our day to day lives. This means a proficiency with programming, script languages, and relational databases is definitely experience that’s helpful to succeed. If your background includes a strong social web interest, that’s a serious plus!

Technical

3+ years of experience in customer and/or technical support roles, ideally analyzing and supporting web applications

3+ years of experience working with customers, managing relationships and setting customer expectations

Excellent written and spoken communication skills

Previous demonstrated experience in one or more of the following technical domains

Web 2.0 architecture and solutions

HTML, CSS, DHTML, JavaScript

Relational databases (Oracle, MySQL)

REST API

Expertise in supporting complex Enterprise software solutions (ERP, CRM, etc) instead of more typical technical support. We don’t follow a script here and expect our analysts to make judgement calls.

Able to communicate effectively between teams and individuals of varying technical expertise

Familiar with the latest trends in social channels (forums, Facebook, Twitter, etc.)

Able to multi-task effectively while working on customer issues

Education

Bachelor’s Degree in Computer Science, Information Technology, Management or related field

Technical or support certifications such as HDI, ITIL, MCSA: SQL or Oracle SQL Expert

Why you should join our team

Awesome Culture
Performance Driven
Flexible Working hours
Great Benefits
Health, Dental & Visual insurance
Gym Allowance
Well stocked Pantry
Commute and leave allowance
Generous leave policy
Competitive Compensation
Among the best in industry
Annual bonus
Equal employment opportunity
Our employment practises
We have a technical boot camp in which you’ll learn how to work with our products, focus your attention on the right things that our customers need and understand how to empathetically work with our customers. Our motivation is to truly make a difference on each case by responding quickly and with high quality.

Our Values

We earn trust through our actions and attitudes

We win and grow as one team

We listen learn and lead to help our customers succeed","Khoros
3.5",Bengaluru
Consultant - System Administration,"With a startup spirit and 90,000 curious and courageous
minds, we have the expertise to go deep with the world’s biggest brands—and we
have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who
see the world differently, and are bold enough to reinvent it. Come, transform
with us.
Are you the one that we are looking for?

Main Job Tasks and Responsibilities

Inviting applications for
the role of Consultant - Sys Admin

Main Job Tasks and Responsibilities


We're looking for a Consultant in System Administration with
good knowledge and deep understanding on the above mentioned role. Our ideal
candidate will be passionate about applying their skills to technology-based
business model that creates real-world solutions for the world.

You should be able to diagnose and resolve problems quickly.

You should also have the perseverance to communicate with a
variety of interdisciplinary teams and users.

Engage with teams to determine client requirements, proposed
solutions and ensure appropriate information security and privacy risks are
balanced.
Enable faster and smarter
business processes and implement analytics for meaningful insights.
Interact with the help
desk and other teams to assist in troubleshooting, identify root cause,
and provide technical support when needed
Perform routine/scheduled
audits of the systems, including all backup installing and configuring
software, hardware and networks.
Monitoring system
performance and solving issues
Ensuring security and
efficiency of IT infrastructure.
User accounts
creation/Maintenance.
Installing and configuring
software, hardware.
Domain Name Services (DNS)
adding, deleting, and updating object records for IP management.
Resolving & taking
discrepancies.
Ensuring security and
efficiency of IT infrastructure.
Perform standard tests
(ping, lookups, SSH) to validate data by sourcing prior and applying
changes.
Enable faster and smarter
business processes.
Implement analytics for
meaningful insights
Analyze client issues.
Generate custom and
standard reports.
Good knowledge on Windows
Server administration required to analyze and seek critical issues.
Tackle issues and outages
Ensure security through
access controls, backups and firewalls Qualifications
Bachelors Degree in
Computer Science, Information Systems, Engineering, related fields or
equivalent professional experience
Preferred qualification
Very good written and
presentation / verbal communication skills with experience of customer
interfacing role .In-depth requirement understanding skills with good
analytical and problem solving ability, interpersonal efficiency, and
positive attitude
Genpact is an Equal Opportunity Employer and considers
applicants for all positions without regard to race, color, religion or belief,
sex, age, national origin, citizenship status, marital status, military/veteran
status, genetic information, sexual orientation, gender identity, physical or
mental disability or any other characteristic protected by applicable laws. Genpact
is committed to creating a dynamic work environment that values diversity and
inclusion, respect and integrity, customer focus, and innovation. For more
information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn,
and YouTube.","Genpact
3.6",Hyderabad
System Administrator,"Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things. Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.

Our Nokia Information Technology organization is looking for a Junior System Administrator to join IT Service Management organization.



Role:

The ITSM Tools System Administrator is responsible for maintaining the stability and usability of the ServiceNow platform

Main Responsibilities:
Perform application operation and application maintenance tasks
Manage support for incidents and requests
Key Competencies:
Sound technical ability that enables the fulfilment of common configuration and maintenance tasks
Preferred skill: JavaScript programming experience
Qualifications:
Degree in Engineering, Computer Science or related field from recognized university
ServiceNow Certified System Administrator

Apply now.","Nokia
4.1",Noida
Associate Technical Support Engineer,"#LI-NR1

ABOUT KHOROS

Khoros, formerly known as Lithium + Spredfast, is the leading customer engagement platform providing Social Media Marketing, Care and Monitoring Solutions. Khoros Customer Engagement Platform is built to turn siloed knowledge into enterprise value, and customers into contributors. By connecting consumer insights across all departments, Khoros gives companies the ability to run their business with their customers, anticipating their needs and accelerating sales, loyalty, and innovation. With 2,000+ customers, including 52 of the Interbrand 100. Khoros has ten offices globally and powers approximately 500 million digital interactions every day. From social media to online communities and messaging to digital customer care, Khoros helps companies authentically connect with customers throughout their journey.

ROLE

We are looking to add an Associate Technical Support Engineer to the Mission Critical Support Team. You’ll be responsible for providing critical support to product outages for three different products as well as proactively monitor product infrastructure and mitigate performance issues that have the potential to become an outage if not checked. The position requires one to work in 24x7 shifts. The team sets high standards for the work they do while also maintaining a learning oriented work environment. You’ll be challenged to scale up quickly and learn many new technologies. This is a customer facing role.
WHAT YOU WILL DO ?
Work on Severity 1 issues (outages) across all products and for different customers.
Respond to customers within defined SLAs and committed timelines.
Monitor product infrastructure through alerts and take timely action to resolve them.
Develop RCA while working along with Engineering teams.
Learn new technologies and help transition newer services to the MCS team.
Identifying documentation requirements in our knowledge base.
WHAT WE ARE LOOKING FOR ?
At least 2 years of experience in technical support roles, ideally supporting web applications
Demonstrable interest in software and technology
Ability to understand and troubleshoot basic technical issues
Excellent written and spoken communication skills
Able to communicate effectively between teams and individuals of varying technical expertise
Familiar with the latest trends in social channels (forums, Facebook, Twitter, etc.)
Able to multi-task effectively while working on customer issues
WHAT WOULD ADD VALUE ?
Working knowledge of Application Servers like Apache Tomcat and Web Servers like Apache.
Experience with analysing JVM thread dumps or Heap Dumps.
Experience in Web Technologies like HTML5, CSS, JavaScript, JQuery, etc. and Programming languages like Java, J2EE, or python.
Experience in Scripting languages like Shell, bash, etc.
User level experience of Linux Environment.
General idea about Multi-Tier Web Application architecture
Technical or support certifications such as ITIL V3/V4
WHY SHOULD YOU JOIN OUR TEAM ?

Awesome Culture
Performance Driven
Flexible Working hours
Great Benefits
Health, Dental & Visual insurance
Gym Allowance
Well stocked Pantry
Commute and leave allowance
Generous leave policy
Competitive Compensation
Among the best in industry
Annual bonus
Equal employment opportunity
Our employment practises
OUR VALUES

We earn trust through our actions and attitudes

We win and grow as one team

We listen learn and lead to help our customers succeed","Khoros
3.5",Bengaluru
Systems Administrator,"5 years administrating, maintaining operations with CommVault data protection tool in large, global IT environments with many external, customer facing, online products.

Experience configuring and administrating CommVault IntelliSnap, Global Deduplication, DASH copy, Live Sync, and Instant Recovery for VMware.

Experience configuring and administrating NetBackup OST, SLP, Pure Disk dedupe, Vault, and Instant Recovery for VMware.

Experience with SAN fiber switches including WWN zoning and troubleshooting; Brocade and Cisco MDS preferred.

Experience troubleshooting tape library issues and media management including offsite tape rotation

Experience administrating and maintaining backup disk targets; Data Domain, Pure Disk, and E-series a preferred

Working knowledge of VMware and ESX environments

Strong understanding of SQL & Oracle backups and their integration with CommVault and NetBackup

Understanding and experience with various disk arrays snapshot and mirroring technologies

Strong OS skills on Windows, Unix, and Linux platforms; scripting capabilities a plus

Experience with Zerto, Rubrik, Actifio or other Data Protection products a plus.

Additional Job Description

Provide business critical support and maintenance of the backup environments across the APAC, EMEA and US regions.

Proactively manage backup infrastructure; monitoring alerts, troubleshooting hardware and performance issues, provisioning, audit reporting and patch management for all systems.

Provide technical support for CommVault and NetBackup data protection tool.

Manage automated fault call logging, hardware inventory for maintenance contracts, documentation and diagrams.

Create and maintain operational documentation and provide technical support for auditing and capacity management activities.

-----------------------------------------------
IHS Markit is committed to providing equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by the laws and regulations in any of our locations.

We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency Statement

-----------------------------------------------

Current Colleagues

If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.","IHS Markit
3.5",Hyderabad
IT Support Engineer,"About Harvard Business Publishing:
Harvard Business Publishing (HBP) was founded in 1994 as a not-for-profit, wholly-owned subsidiary of Harvard University, reporting into Harvard Business School. Our mission is to improve the practice of management in a changing world. This mission influences how we approach what we do here and what we believe is important.

With approximately 350 employees, primarily based in Boston, with offices in New York City, India, and the United Kingdom, Harvard Business Publishing serves as a bridge between academia and enterprises around the globe through its publications and multiple platforms for content delivery, and its reach into three markets: academic, corporate, and individual managers.

Job Description:
We’re looking for a technical customer support professional in to join our Global IT Support & Services Team as we look to evolve and expand across the world. Our new mission is to enable a technology environment that our users consider to be an HBP competitive advantage, and this individual joins us as we lay the foundation of our new Global IT Help Center.

The IT Support Engineer focuses on providing fantastic technical customer service to our internal IT users – combining skills in technology troubleshooting with a customer-focused attitude. Our Help Analysts collaborate with our users and internal/external points of escalation to quickly resolve technology issues, and to provide technical assistance across our suite of technology available to the users. They focus on maximizing daily interaction time with our users and becoming a go-to resource of teams and individuals for a wide range of technology help and support.

This individual will augment our team in the US and UK by joining our India offices, and will provide coverage to both local employees in India as well as working with the US/UK team to support our global user base during the India work-day.

END-USER CUSTOMER SERVICE
Provide top-notch front-line communication, support, and service to HBP technology users, through phone calls, in-person interaction, email, and our ticketing systems.
Take assignment of user technology support requests, and own those through resolution - calling on assistance from teammates and other resources as needed, but maintaining overall responsibility for tickets.
Maximize daily interaction with users - keep the ticket queue moving to create continuous flow of service and support.
Be available, accountable, and reliable, and work to build strong relationships with users and teammates as an expert technical adviser.
TECHNICAL SUPPORT AND SERVICES
Maintain proficiency in current end-user technology and supporting systems, in order to support usage and resolution of issues within those systems.
Work with users, teammates, and other resources to troubleshoot and resolve a broad range of simple-to-medium complexity user issues and technical problems.
Quickly identify and escalate tickets which should be handled by expert escalation points per team process, and maintain ownership of communication and contact with user.
Execute account and access management workflows - including creating accounts, setting credentials, and assigning access in our identity systems.
Setup, deploy, and support end-user hardware - laptops, mobile devices, and accessories.
Install and configure end-user software and systems.
PROCESS IMPROVEMENTS
Collaborate with IT Help Center team members to continuously evolve processes in support of the Global IT Support & Services mission and IT Help Center team goals and performance metrics.
TECHNOLOGY IMPROVEMENTS
Collaborate with Guidance & Improvement team members to identify and monitor trends and areas in need of improvement, and provide assistance to the execution of solutions to address those needs.
STRATEGY
Provide contribution and perspective to the evolution of Global IT Support & Services strategy, goals, and day-to-day focus.
OTHER
Leverage other areas of personal knowledge, experience, and interest to assist in solving other issues and opportunities the Global IT Support & Services team may face as it progresses towards its mission.
DESIRED TRAITS, ATTRIBUTES, AND EXPERIENCE
3-5 years of experience working in a technology customer support environment, preferably for a tech company providing remote support services to external customers
Excellent communication and people skills
Technical background and education – a deep personal interest in technology along with an undergraduate degree in a technology-related field
Technical proficiency and experience in both Windows and Mac environments
Strong problem-solving skills
Desire to help others connect with technology in meaningful ways
Disposition to constantly improve yourself, others, and your surroundings
Flexible and adaptable - the skill to change direction and reframe approach as situations change and new information is discovered
Demonstrated self-starter with the ability to prioritize own work with good judgement
Entrepreneurial drive – the aspiration to be a part of building something special from the ground-up
Knowledge of, or a proven aptitude to learn, a broad range of end-user systems including but not limited to: Microsoft Office 365, Active Directory, Skype for Business, Adobe Creative Suite, Box, WebEx, Slack, Okta, Jira, wireless and wired networking, all major browsers, OpenVPN, Dell ImageAssist, CloneZilla, SCCM, Casper, Apple Remote Desktop","Harvard Business School Publishing
4.4",India
IT SYSTEM ADMINISTRATOR,"Seeking an experienced IT System Administrator for a senior position in the company. He should be able to co-ordinate with every department of the company and resolve all of the IT System related queries of the team. Having 5+ years of experience, he should be able to work independently and pro-actively. Knowledge of administration of a virtual environment using Virtual Center / vSphere web client will be an additional advantage.","CT INFO
5.0",Pune
Windows Admin-Administrator,"Hyderabad, India
BE / BTech
1349239
Job Description
Key skills required for the job are: n Windows Admin-L2, (Mandatory) .As an Administrator, you should be able to do system administration, Incident / problem determination and resolution on a 24x7 basis nIncident, Problem, Change and Configuration management, Service incidents and queries within the agreed service levels. Perform Service Requests based on Standard Operating Procedures. Work on scheduled tasks as part of Change Management. Should be able to handle issues independatly and suggest/ implement services improvements plans. Should be able to identify and highlight scope of automation to lead or Manager Minimum work experience: 1 - 3 YEARS

Roles and Responsibilities
Mandatory Skills: Windows Admin-L2
Experience Range: 1-3 YEARS
We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, sexual orientation, disability status, protected veteran status, or any other characteristic protected by law. Any complaints or concerns regarding the recruitment, application or hiring process should be directed to our Ombuds group www.wiproombuds.com. Any US applicant can also call our hotline at 1-866-921-6714. Applicants outside the US can request the applicable hotline number via email via the Ombuds group.

Wipro does not charge any fee at any stage of the recruitment process and has not authorized agencies/partners to collect any fee for recruitment. If you encounter any suspicious mail, advertisements or persons who offer jobs at Wipro, please do let us know by contacting us on helpdesk.recruitment@wipro.com","Wipro LTD
3.6",Hyderabad
