Job Title,Job Description,Company Name,Location
Android Engineer,"Who We Are:


KeepTruckin is on a mission to modernize the trucking industry. With the leading fleet management platform, we are bringing trucks online and fundamentally changing the way freight is moved on our roads.

We see our hard work rewarded in tangible ways every day and we believe that intelligence is most powerful when paired with humility. We're motivated by the opportunity to impact and improve every facet of a trillion-dollar industry that touches everyone's lives. KeepTruckin is proud to be a Forbes Cloud 100 company, a 2020 Career-Launching Company by Wealthfront and named a Forbes Best Startup Employer 2020.

About the Role:


As one of our first mobile engineers in Bangalore, this is a great opportunity to make a significant impact in designing and building our new KeepTruckin Fleet Manager Android app and as well as grow by working directly with experienced technology professionals with backgrounds from Silicon Valley companies like Google, Twitter, Facebook and Uber (to name a few). We are looking for candidates who have a familiarity with Java and Kotlin, and a good understanding of system architectures (MVC, MVVM, Redux) and a forward thinking mindset aimed at high readability (declarative) code, as well as identifying problems or bottlenecks before they become issues.

What You'll Do:
Develop from scratch our new Android KeepTruckin Fleet Manager App
Work with product team to refine feature specs, and work with cross functional teams like IoT, Embedded, Data Science/ML, Computer Vision & Motion teams to create fluid user experiences with interactive visualization for a multitude of data from these different teams
Communicate with backend engineers about API requirements or refinements, and engage with the senior engineers for mentorship to learn & grow in your areas of interest
Analyze our user's data to identify bugs, and help support team to diagnose user problems
Be able to work as part of a small, tightly knit team
What We're Looking For:
2-4 years of experience working on Android apps with a deep understanding of Android SDKs
Proficiency in Java, Kotlin, Android lifecycle, custom views, database/persistence
An understanding of Android UI/UX and application design paradigms
An appreciation and understanding of automated app testing
Knowledge in RxJava2, Dagger2, and knowledge or interest in commercial vehicles/trucking is a plus!
Creating a diverse and inclusive workplace is one of KeepTruckin's core values. We are an equal opportunity employer and welcome people of different backgrounds, experiences, abilities and perspectives.

Please review our Candidate Privacy Notice here.","KeepTruckin
2.9",Bengaluru
Staff Engineer- Cloud Architect,"We, at ThoughtSpot, are looking for a Cloud Architect. You will take a customer-first approach in understanding the requirements, nuances of different public clouds (AWS, Azure, or GCP) features, operational costs, and then implement efficient solutions for running SaaS solutions.

Responsibilities
Architect, design, develop and operationalize high performance, scalable, reliable and resilient services
Design, develop, and deliver game-changing large scale distributed cloud platform which will be scalable, reliable, and resilient
Collaborate with multiple stakeholders across product and engineering teams, to establish KPI for different services and own end-to-end delivery and lifecycle management
Identify and implement the most appropriate programming languages and frameworks leading to effective solutions
Provide technical leadership, mentor team members, and lead initiatives across India and the US
Required skills/qualifications
BS/MS/Ph.D. in Computer Science or related fields, with atleast 10+ years of building technology-driven software products
Prior expertise in building cloud-based platforms and applications that run on public cloud (AWS / Azure / GCP)
Strong fundamentals in distributed systems design and development.
Working experience on Kubernetes
You love to code every day, and are willing to be hands-on with code (preferably in C++ or Java).
Strong with data structures, strong system design concepts, and algorithms
Brings in a high level of self-motivation to solve complex problems and challenges
Demonstrated success as a Cloud Infrastructure architect or consultant working with various platforms
Experience architecting highly available systems that utilize load balancing, horizontal scalability and high availability
About ThoughtSpot

With ThoughtSpot's next-generation Search & AI-driven analytics platform, business people can type a simple Google-like search in natural language to instantly analyze billions of rows of data, and leverage artificial intelligence to get trusted, relevant insights (at the speed of thought!) pushed to them as answers to thousands of questions they might not have thought to ask. ThoughtSpot is simple enough for any business person to use, yet powerful enough to handle even the largest, most complex enterprise data without sacrificing speed, security, or governance.

At ThoughtSpot, we solve some of the hardest, most challenging problems in technology. The kind of problems we solve require diverse perspectives and the team-spirit to see those differences as opportunities rather than roadblocks. It's why diversity isn't a box to check; it's the heart of ""Selfless Excellence,"" our core value we live every day. To make our dent in the universe, we seek employees with unique identities, backgrounds, and perspectives that want to build an inclusive, respectful company culture, and truly challenge the status quo.

For more information please visit thoughtspot.com.","ThoughtSpot
4.5",Bengaluru
Software Engineer,"About Us:

LogicMonitor is the leading SaaS based performance monitoring platform for enterprise IT.

We are a company of fun-loving, hard-working achievers. We love going to work and think you should too. We hold our company culture near and dear — we are customer-obsessed, work as one team, and strive to be better every day. These are our core values. So it's no surprise that we work hard and genuinely have fun working with each other to achieve great things together.

LogicMonitor is an equal opportunity employer. We're committed to creating an inclusive environment for all our employees, where different backgrounds and perspectives are valued and encouraged - regardless of race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation.

We operate with integrity, esteem diversity and treat each other fairly and with respect. And we're doing that while nurturing consideration for humanity. We give back to our community and encourage all people to come as they are and find their own version of personal and professional harmony here. We hear time and time again that our awesome people are a huge part of why LMers chose LogicMonitor, love their teams, and choose to stay.

You'll be working in a major tech center of Pune, India. When you join LogicMonitor, you'll be working alongside some of the brightest minds in one of the fastest growing global software firms. We are looking for you to bring your expertise, drive, and passion. This is your chance to join us on our journey as we expand our global presence and achieve record-breaking success.

What You'll Do:
The Software Developer on the Platform Engineering team is responsible for the implementation, design, architecture, and quality control of business integrations/general development within the customer-facing product application and internal tools used by development technical operations. This includes troubleshooting bugs and implementing new features as required in existing backend applications; even building new components as needed. A successful Software Developer will produce all required functionality in a timely manner and will communicate and work with colleagues to solve problems and improve the systems they work with.

Here's a closer look at this key role:
Prioritize and plan for deliverables in an iterative development strategy
Design, document, code, and test technical solution for new systems or enhancements to existing systems
Follow agile software development methodologies for implementation
Work with various teams in LogicMonitor to deliver software products that support LogicMonitor's business growth
Envision system features and functionalities by analyzing business requirements
Troubleshoot and resolve product/application issues for escalated support cases
Collaborate with a diverse, distributed development organization. Our development team spans multiple cities in the US and Asia

What You'll Need:
3+ years of software development experience in commercial or enterprise application
2+ years of full-time experience as a Java developer on Linux platform
Bachelor's degree or above in computer science or related field
Familiar with latest Java development framework and open-source tools
Strong understanding of web application architectures
Strong SQL / Database knowledge
Familiar with AWS services, other cloud platforms
Ability to quickly develop competencies in numerous technologies (i.e. you can learn quickly!)
Ability to work with a development team and develop strong, reliable, and effective relationships with team members
Familiar with Test frameworks (Junit, wiremock)
Excellent in communication (written and verbal) and collaboration with other functional teams (Support Engineering, Tools, Product, etc.)
Nice to have
ElasticSearch knowledge
Gradle Experience
Azure, Google Cloud experience
Docker / Kubernetes
Python / Ruby / Go experience
Familiar with Atlassian Suite (JIRA, Confluence, Bamboo, BitBucket)
Terraform / Ansible","LogicMonitor
4.5",Pune
Cloud Support Engineer II- SCD,"Amazon Web Services is the global market leader and technology forerunner in the Cloud business. As a member of the AWS Support team in Amazon Internet Services Private Limited (AISPL), you will be at the forefront of this transformational technology, assisting a global list of companies and developers that are taking advantage of a growing set of services and features to run their mission-critical applications. As a Cloud Support Engineer, you will act as the Cloud Ambassador across all the cloud products, arming our customers with required tools & tactics to get the most out of their Product and Support investment.

Would you like to use the latest cloud computing technologies? Do you have an interest in helping customers understand application architectures and integration approaches? Are you familiar with best practices for applications, servers and networks? Do you want to be part of a customer facing technology team in India helping to ensure the success of Amazon Web Services (AWS) as a leading technology organization?

If you fit the description, you might be the person we are looking for! We are a group of smart people, passionate about cloud computing, and believe that world class support is critical to customer success.

WHAT CAN YOU EXPECT FROM A LIFE AT Amazon?

Every day will bring new and exciting challenges on the job while you:

· Learn and use groundbreaking technologies.
· Apply advanced troubleshooting techniques to provide unique solutions to our customers' individual needs.
· Interact with leading engineers around the world.
· Partner with Amazon teams in India to help reproduce and resolve customer issues.
· Leverage your extensive customer support experience to provide feedback to internal Amazon teams in India on how to improve our services.
· Drive customer communication during critical events.
· Drive projects that improve support-related processes and our customers technical support experience.
· Write tutorials, how-to videos, and other technical articles for the developer community.
· Work on critical, highly complex customer problems that may span multiple AWS services.

WHY AWS PREMIUM SUPPORT?

· First and foremost this is a customer support role in The Cloud.
· On a typical day, a Support Engineer will be primarily responsible for solving customers cases through a variety of customer contact channels which include telephone, email, and web/live chat. You will apply advanced troubleshooting techniques to provide tailored solutions for our customers and drive customer interactions by thoughtfully working with customers to dive deep into the root cause of an issue.
· Apart from working on a broad spectrum of technical issues, an AWS Support Engineer may also coach/mentor new hires, develop & present training, partner with development teams on complex issues or contact deflection initiatives, participate in new hiring, write tools/script to help the team, or work with leadership on process improvement and strategic initiatives to ensure better CX and compliance with global AWS standards, practices and policies.
· Career development: We promote advancement opportunities across the organization to help you meet your career goals.
· Training: We have training programs to help you develop the skills required to be successful in your role.
We hire smart people who are keen to build a career with AISPL, so we are more interested in the areas that you do know instead of those you havent been exposed to yet.
· Support engineers interested in travel have presented training or participated in focused summits across our sites or at specific AWS events.
· As we operate on a follow-the-sun model, with Premium Support sites located globally, there is no after hours on-call or mandated overtime in this role.

https://www.youtube.com/watch?v=GC3bWcFFZTo&t=24s


Basic Qualifications


This role supports our services that focus on distributed, cloud infrastructure of AWS S3 storage, Cloudfront, Storage Gateway, Glacier, Simple Email Service, Snowball, AWS Elemental Media Services (Video streaming, Transcoding and storage solutions), Kinesis Video Streams, Elastic Transcoder, AWS Transfer for SFTP, Datasync and AWS Backup. Our support engineers are also the voice of the customer and have a strong voice in to the development teams for recurring issues or feature requests.

BASIC QUALIFICATIONS

· Bachelors degree in Information Technology, Computer Science, Engineering or a related field.
Requires minimum of 3+ yrs experience in relevant technical position · Strong understanding of networking protocols: DNS, HTTP, SSL, SFTP, TCP and UDP.
· Experience with web-based services and applications, Apache, Tomcat etc.
· Knowledge of client/server and distributed systems architectures.
· Strong Unix/Linux or Windows system administration skills.
· Knowledge of filesystem, block and object storage.
· Knowledge of Storage architectures and backup/DR strategies
Experience operating and troubleshooting email services and SMTP

Preferred Qualifications

PREFERRED QUALIFICATIONS
§ Understanding of Content Delivery Networks
§ Experience troubleshooting filesystem, block and object storage
§ Experience with scripting (i.e. bash, Python, PowerShell etc.)
§ Detailed knowledge of storage protocols: iSCSI, NFS, SMB
§ Expertise with network troubleshooting and tools e.g. iperf, MTR, traceroute, dig,
§ Understanding of streaming video (H264, MP4, WEBM, HLS, Smooth Streaming)
§ Understanding of video compression & Delivery (Codecs & Containers, Streaming Protocols)
§ Prior working experience with AWS e.g. AWS S3 storage, Cloudfront, Storage Gateway, Glacier, Simple Email Service, Snowball, AWS Elemental Media Services, Kinesis Video Streams, Elastic Transcoder, AWS Transfer for SFTP, Datasync and AWS Backup.
§ Experience with Cloud architecture patterns and distributed computing concepts
§ Messaging and Queueing experience
§ Experience working with REST API based services
§ Exposure to OS and networking security concepts and standard methodologies
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.","Amazon
4.3",Hyderabad
Cloud Engineer,"About Us
Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. We advise, originate, trade, manage and distribute capital for governments, institutions and individuals. As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence and strong team ethic. We provide you a superior foundation for building a professional career where you can learn, achieve and grow.
Technology/Role/Department at Morgan Stanley
Technology is the key differentiator that ensures that we manage our global businesses and serve clients on a market-leading platform that is resilient, safe, efficient, smart, fast and flexible. Technology redefines how we do business in global, complex and dynamic financial markets. We have a large number of award winning technology platforms that help to propel our Firm’s businesses to be the top in the market. Our India technology teams are based in Mumbai and Bengaluru. We have built strong techno-functional teams which partner with our offices globally taking global ownership of systems and products. We have a vibrant and diverse mix of technologists working on different technologies and functional domains. There is a large focus on innovation, inclusion, giving back to the community and sharing knowledge.
Job Responsibilities
The Public Cloud Automation role is responsible for designing and developing automation capabilities for the Morgan Stanley Public Cloud, supporting both Azure and AWS. In this role, you will build the tools and automations that allow our development and business teams to leverage the public cloud in a fast, repeatable and secure manner. The ideal candidate is one with good communication and teamwork skills to complement a strong technical foundation.
Required Skills

- Hands-on Public Cloud experience
- Expertise with Python and Infrastructure as Code tools (e.g. Terraform, Ansible, etc.)
- Experience building RESTful interfaces
- Experience with Agile development methodology and CI/CD
- Experience with tools such as GIT, Jira and Bitbucket
- Golang, AngularJS
- Experience with Microservices architecture design patterns
Desired Skills

-A minimum of 5 years of engineering / development experience required.","Morgan Stanley
3.8",Bengaluru
Sr. Mobile Engineer - iOS,"Who We Are:


KeepTruckin is on a mission to modernize the trucking industry. With the leading fleet management platform, we are bringing trucks online and fundamentally changing the way freight is moved on our roads.

At KeepTruckin, we see our hard work rewarded in tangible ways every day and we believe that intelligence is most powerful when paired with humility. We're motivated by the opportunity to impact and improve every facet of a trillion-dollar industry that touches everyone's lives. KeepTruckin is proud to be a Forbes Cloud 100 company and recognized by Glassdoor as a ""Best Place to Work"" in 2019.

We are looking for people from all backgrounds who want to make an impact on the millions of drivers who keep our world moving. Together, we laugh hard, snack harder and work together to drive innovation at the intersection of tech and transportation.

About the Role:


As one of our first mobile engineers in Bangalore, this is a great opportunity to make a significant impact in designing and building our new KeepTruckin Fleet Manager iOS app and as well as grow by working directly with experienced technology professionals with backgrounds from Silicon Valley companies like Google, Twitter, Facebook and Uber (to name a few). Your expertise will be contributed to defining our architecture for the new app and the underlying data sharing framework with our existing Driver app based on personas. We are looking for candidates who have a familiarity with Objective-C and Swift, and a good understanding of system architectures (mvc, mvvm, redux) and a forward thinking mindset aimed at high readability (declarative) code, as well as identifying problems or bottlenecks before they become issues.

Responsibilities:
Develop from scratch our new iOS KeepTruckin Fleet Manager App
Work with product team to refine feature specs
Work with cross functional teams like IoT, Embedded, Data Science/ML, Computer Vision & Motion teams to create fluid user experiences with interactive visualization for a multitude of data from these different teams
Communicate with backend engineers about API requirements or refinements
Mentor junior engineers and help them grow
Help support team to diagnose user problems
Analyze our user's data to identify bugs
Be able to work as part of a small, tightly knit team
Qualifications:


5+ years of experience working on iOS apps
Proficiency in Objective-C, Swift, Storyboards, XIBs, and programmatic view layouts and transitions
An understanding of Apple UI/UX and application design paradigms
An appreciation and understanding of automated app testing
Knowledge or interest in commercial vehicles/trucking is a plus!
As an equal opportunity employer, we are committed to diversity in the workforce. In accordance with applicable law, we prohibit discrimination against any applicant or employee based on any legally recognized basis, including, but not limited to; race, color, religion, sex (including pregnancy, lactation, childbirth or related medical conditions), sexual orientation, gender identity, age (40 and over), national origin or ancestry, physical or mental disability, genetic information (including testing and characteristics), veteran status, uniformed service member status or any other status protected by federal, state or local law.

Please review our Candidate Privacy Notice here.","KeepTruckin
2.9",Bengaluru
Cloud Systems Reliability Engineer,"We, at ThoughtSpot, are looking for a well-rounded software developer with a customer operations mindset to join our Cloud Systems Reliability Engineering (SRE) team. The right candidate for this role will have a passion to develop tools and automation to deploy/maintain/troubleshoot distributed services/applications in the cloud and on-premise infrastructure. You will be responsible for the big picture of how the services in ThoughtSpot stack relate to each other and use a breadth of tools and approaches to solve a broad spectrum of problems. The use cases include, but not limited to, minimizing time spent on operational work, incident postmortems, and proactive identification of potential issues. Ability to work with cross-functional teams in a rapidly growing environment is important.

Responsibilities
Take a customer-first approach in understanding the requirements, nuances of different public clouds (AWS, Azure, or GCP) features, operational costs, and then implement efficient solutions for running SaaS services. AWS is preferred.
Develop tools and frameworks for distributed systems, services and applications
Maintain, monitor, and troubleshoot infrastructure (IaaS).
Work with Engineering teams to define, architect and implement tools to enhance debuggability, supportability, availability, scalability and performance
Ensure all key services implement metrics, are monitored and raise appropriate alerts
Develop reliable and scalable systems to monitor production alerts and build to auto-remedy
Be an expert in cloud and on-premise infrastructure by developing automation and best practices
Participate in on-call rotation for critical SRE systems, and lead incident review and root cause analysis
Handle cloud NetOps and SecOps aspects for Cloud and on-prem.
Required skills/qualifications
B.Tech. degree in Computer Science or equivalent.
5+ years of software development experience.
Prior experience being part of Cloud SecOps, NetOps team. Strong expertise in on Cloud Security and/or Cloud Network.
Proficient in programming in C/C++, Python, Go or Java and familiarity with Kubernetes.
Ability to diagnose technical problems, debug code, and automate tasks.
Strong problem-solving skills, algorithmic thinking, and a strong foundation in how systems should work.
Prior experience being part of Cloud SecOps, NetOps team. Strong expertise in Cloud Security and/or Cloud Network.
Understanding of tools &, frameworks required to Operate and manage Cloud infrastructure.
Experience in Linux, virtualization, DevOps tools and cloud technologies.
Solid communication skills and the ability to work independently.
DevOps mindset. You are familiar with Site Reliability Engineering (SRE) concepts. You treat operational issues as if they are software problems. You view software as a primary tool to manage, maintain, fix, and extend systems required to support large development environments. You promote operational excellence!
Automation. You leverage automation, monitoring, and data analysis to ensure high availability (HA) for internal services and infrastructure.
Problem solver. You love tackling the most difficult of challenges and know how to troubleshoot in order to get to the best solution.
About ThoughtSpot

With ThoughtSpot's next-generation Search & AI-driven analytics platform, business people can type a simple Google-like search in natural language to instantly analyze billions of rows of data, and leverage artificial intelligence to get trusted, relevant insights (at the speed of thought!) pushed to them as answers to thousands of questions they might not have thought to ask. ThoughtSpot is simple enough for any business person to use, yet powerful enough to handle even the largest, most complex enterprise data without sacrificing speed, security, or governance.

At ThoughtSpot, we solve some of the hardest, most challenging problems in technology. The kind of problems we solve require diverse perspectives and the team-spirit to see those differences as opportunities rather than roadblocks. It's why diversity isn't a box to check; it's the heart of ""Selfless Excellence,"" our core value we live every day. To make our dent in the universe, we seek employees with unique identities, backgrounds, and perspectives that want to build an inclusive, respectful company culture and truly challenge the status quo.

For more information please visit thoughtspot.com.","ThoughtSpot
4.5",Bengaluru
Cloud Engineer,"Think of yourself as a Cloud Engineer for TaskUs, helping to build a road map, plan and ultimately execute our movement to an AWS platform. Imagine yourself going to work with one thing on your mind: Spending your day to help build the disruptive force behind TaskUs. Your role was designed to map requirements, plan solutions, and successfully execute the development and maintenance of our systems and networks on a cloud platform. Your achievements are gauged not on hours worked, but on the success or failure of projects and launches

You love partnering cross-functionally to understand TaskUs’s needs and requirements and come up with creative approaches to make us successful. You care deeply about the overall business and look for ways to add value. You like being part of a team that delivers excellence. You’re entrepreneurial and resourceful. You’re passionate about making the world a better place. You like being held accountable for your own results. You are also able to balance the needs of your customers against operational targets while at the same time providing world-class service and satisfaction.
Building, integrating, migrating and maintaining environments within AWS
Applying your security experience with cloud resources with public and private network resources
Providing Systems Engineering support of production and non-production environments on and off site.
Responsible for server builds, patch management, virtual machine management, automation etc..
Developing and maintaining high standards for policies and procedures.
Troubleshooting and debugging environments and infrastructure problems.
Hands-on experience migrating workloads on premises to public cloud; automating environment deployments in AWS using Terraform, Cloudformation or other methodologies; building and supporting a highly available and multisite environment.
Experience with implementing EC2 instances in an Active Directory setting
Experience with: ELBs, RDS, S3, RedShift
Working knowledge of web and application server architecture for public clouds.
Requirements
5+ years of managing a Windows and/or Linux server infrastructure
3+ years working with AWS - VPC, Transit Gateway, EC2, RDS, RedShift
2+ years experience with automation experience - Ansible, CloudFormation, Terraform, PowerShell, Bash
Gathering requirements, analyzing, designing, developing, testing, maintaining and migrating platforms to AWS.
Securing the AWS environment - Security Groups, WAF, Security Hub
Providing Systems Engineering support of production and non-production environments on premises and off premises.
About TaskUs

TaskUs provides next generation customer experience that powers the world’s most disruptive companies through the partnership of amazing people and innovative technology.

We provide Ridiculously Good strategy, business process optimization, revolutionary technology and the best talent to deliver transformational, digital scale.

Our people are at the heart of everything we do. We embrace a culture that fosters a best-in-class employee experience. It’s no wonder we have been named as one of the “Best Places to Work” by the LA Business Journal and San Antonio Business Journal.

TaskUs has been recognized on the Inc. “5,000 Fastest Growing Private Companies in America” list the past five years and The Los Angeles Business Journal’s “100 Fastest Growing Private Companies” the previous three years. TaskUs is headquartered in Santa Monica, California, with operations across the United States, Latin America and the Philippines.","TaskUs
4.4",Indore
Cloud Engineer,"Cloud Engineer

At our Bengaluru Hub nearly 1100 employees provide various types of services – Finance, HR, IT, Supply Chain, Customer Care - to more than 60 Siemens entities across the world, We are global business solutions, that supports Siemens companies worldwide to achieve perfection in their internal process allowing our colleagues to fully focus on their business.

Change the future with us.
You will be Crafting and maintain efficient data pipeline architecture
You should Assemble large, complex data sets that meet functional / non-functional business requirements.
You will Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
You Build the infrastructure required for efficient extraction, transformation, and loading of data from a wide variety of data sources using AWS ‘big data’ technologies.
Build data Applications in cloud based eco-systems such as Amazon, Microsoft Azure.
Build data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
You will be working with data and analytics experts to strive for greater functionality in our data systems.
We don’t need superheroes, just super minds.
You should be Experience in building and optimizing ‘big data’ data pipelines, architectures and data sets.
Should have Strong analytic skills related to working with unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
You Must have Certified in one of the cloud platforms such as Azure, AWS etc.
2- 3 years of experience in operating a critical high-available IT Infrastructure
Should have Solid understanding of message queuing, stream processing, and highly scalable ‘big data’ data stores.
Should be Experience supporting and working with cross-functional teams in a multifaceted environment.
Make your mark in our exciting world at Siemens.

This role is based in Bengaluru. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.

We’re Siemens. A collection of over 377,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us shape tomorrow.

Find out more about Siemens careers at: www.siemens.com/careers


Organization: Global Business Services

Company: Siemens Technology and Services Private Limited

Experience Level: Experienced Professional

Job Type: Full-time","Siemens Healthineers
4.1",Bengaluru
iOS Engineer,"Who We Are:


KeepTruckin is on a mission to modernize the trucking industry. With the leading fleet management platform, we are bringing trucks online and fundamentally changing the way freight is moved on our roads.

We see our hard work rewarded in tangible ways every day and we believe that intelligence is most powerful when paired with humility. We're motivated by the opportunity to impact and improve every facet of a trillion-dollar industry that touches everyone's lives. KeepTruckin is proud to be a Forbes Cloud 100 company, a 2020 Career-Launching Company by Wealthfront and named a Forbes Best Startup Employer 2020.

About the Role:

As one of our first mobile engineers in Bangalore, this is a great opportunity to make a significant impact in designing and building our new KeepTruckin Fleet Manager iOS app and as well as grow by working directly with experienced technology professionals with backgrounds from Silicon Valley companies like Google, Twitter, Facebook and Uber (to name a few). We are looking for candidates who have a familiarity with Objective-C and Swift, and a good understanding of system architectures (mvc, mvvm, redux) and a forward thinking mindset aimed at high readability (declarative) code, as well as identifying problems or bottlenecks before they become issues.

What You'll Do:
Develop from scratch our new iOS KeepTruckin Fleet Manager App
Work with product team to refine feature specs, and work with cross functional teams like IoT, Embedded, Data Science/ML, Computer Vision & Motion teams to create fluid user experiences with interactive visualization for a multitude of data from these different teams
Communicate with backend engineers about API requirements or refinements, and engage with the senior engineers for mentorship to learn & grow in your areas of interest
Analyze our user's data to identify bugs, and help support team to diagnose user problems
Be able to work as part of a small, tightly knit team
What We're Looking For:
2-4 years of experience working on iOS apps
Proficiency in Objective-C, Swift, Storyboards, XIBs, and programmatic view layouts and transitions
An understanding of Apple UI/UX and application design paradigms
An appreciation and understanding of automated app testing
Knowledge or interest in commercial vehicles/trucking is a plus!
Creating a diverse and inclusive workplace is one of KeepTruckin's core values. We are an equal opportunity employer and welcome people of different backgrounds, experiences, abilities and perspectives.

Please review our Candidate Privacy Notice here.","KeepTruckin
2.9",Bengaluru
