Title,Location,Company,Salary,Sponsored,Description
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.IT Data & Analytics Developer - Indore, India."
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,Querying historical high-frequency market data to identify price patterns.Hands-on experience with large scale data warehousing and analytics projects.
Data Engineer,"Bengaluru, Karnataka","Ultramatics, Inc.",None,Organic,Create the next generation data and analytics tools to power digital transformation for analytics and data scientist team members.Temporarily due to COVID-19.
Data Scientist,"Bengaluru, Karnataka",champions infometrics pvt ltd,"₹3,00,000 - ₹10,00,000 a year",Organic,WinForms and web Sourcing (Basic knowledge on data science ).Data oriented mindset with interest in deriving insights though data analysis.
Data Scientist (3 month contract position),None,Beauty Matching Engine,"₹8,00,000 - ₹12,00,000 a year",Organic,This is a 3-6 month full-time data scientist contract position with potential to become permanent position based on the performance.It would be a bonus if: *.
Data Analyst,"Jaipur, Rajasthan",Designour,"₹20,000 - ₹30,000 a month",Organic,"Data analysis work: 1 year (Preferred).You need to look at our dashboard daily, interpret the data, and turn it into insights / information on how we can…"
Data Analyst (R/Python),"Delhi, Delhi",SMC Finance,"₹60,000 - ₹80,000 a month",Organic,Looking for data analyst from statistical background using tools like - R programming / Python.Knowledge of BFSI domain would be an added advantage.
Data Scientist (Internship),"Indore, Madhya Pradesh",BugendaiTech,"₹4,00,000 - ₹7,00,000 a year",Organic,"Use analytical tools to extract and transform data.Comfortable manipulating, analyzing and transforming high- volume data.Explore and analyze large datasets."
Python Machine Learning & Data Science Fresher Intern,"Nagpur, Maharashtra",Softtronix IT Solution,None,Organic,"Developing a project on Python , Machine Learning, Data Science.C,C++, Python , Machine Learning, Data Science.Job Types: Full-time, Internship, Fresher."
Data Analytics Internship,"Delhi, Delhi",Parliamentary Business,"₹5,000 a month",Organic,Selected intern's day-to-day responsibilities include collecting data from other websites and maintaining them into database software.
Data Scientist,"New Delhi, Delhi",Sentieo,None,Organic,"Comfortable with data visualization tools like pandas,seaborn and matplotlib.Enhancing data collection procedures to include information that is relevant for…"
Data Scientist - eCommerce,None,Bliss Vista,"₹22,000 - ₹30,000 a month",Organic,Supporting business with time-critical tactical data analyses.Setup the data environment (we’re a startup).Conducting deep dive analyses of business problems…
"Data Scientist,chatbot trainee","Bhopal, Madhya Pradesh",A Square Technology,"₹25,000 - ₹35,000 a month",Organic,We are searching Data Science and Chatbots Trainee Employees For our Organisation.E (appering students can also apply for this ).
Data Lake Developer,"Bengaluru, Karnataka",Mylan,"₹15,00,000 - ₹23,00,000 a year",Organic,Create data tools / products for analytics and data scientist team members that assist them in building and innovative solutions that drive tangible business…
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,Querying historical high-frequency market data to identify price patterns.Hands-on experience with large scale data warehousing and analytics projects.
Data Lake Developer,"Bengaluru, Karnataka",Mylan,"₹15,00,000 - ₹23,00,000 a year",Organic,Create data tools / products for analytics and data scientist team members that assist them in building and innovative solutions that drive tangible business…
Lymbyc - Data Scientist,"Bengaluru, Karnataka",Larsen & Toubro Infotech Limited,None,Organic,"We have created the world’s first data scientist, Leni, capable of understanding plain English queries from user, and autonomously being able to take decisions…"
Senior Data Scientist,"Bengaluru, Karnataka",Success Kingdom,"₹1,20,000 a month",Organic,"Skills - python libraries, Like pysyft And django. knowledge of Big Data, exceptional communication skills, data scientist, has worked on large volumes of data,…"
Sr. Data Scientist,Remote,Slack,None,Organic,"Slack is hiring an experienced data scientist on our Research & Analytics team.As an experienced data scientist, you will help to make Slack’s Research +…"
