Title,Location,Company,Salary,Description
DevOps Engineer,"Visakhapatnam, Andhra Pradesh",U-Sky Pvt Ltd,None,"Job Description:
We are looking for a DevOps Engineer to help us build functional systems that improve customer experience.DevOps Engineer responsibilities include deploying product updates, identifying production issues and implementing integrations that meet customer needs.Main goal is to execute and automate operational processes fast, accurately and securely.
Skills & Qualifications:
4 Year IT College Degree/master’s preferred or equivalent work experience.
3 – 5 Years of experience in software Development as a DevOps Engineer.
Hands on experience in networking security, databases and cloud systems.
Profound knowledge in various scripting languages, system & server administration and mass system deployments
Wide knowledge in operating system administration, programming languages, cloud platform deployment and networking protocols.
Outstanding knowledge in release engineering J2EE configuration, creating tools for engineering organization for performance optimization.
Hands on experience to develop codes for extensive test coverage, perform continuous deployment in a professional software engineering environment.
Should have experience on various platforms with different programming languages and support the production cluster management system.
Should involve and perform various tasks in Project Planning, Development, Deployment, Maintenance and Troubleshooting.
Should have knowledge on high end tools like Source Control, Continuous integration and Team Management.
Build tools to reduce occurrences of errors and improve customer experience.
Develop software to integrate with internal back-end systems.
Perform root cause analysis for production errors.
Investigate and resolve technical issues.
Develop scripts to automate visualization.
Design procedures for system troubleshooting and maintenance
Working knowledge of databases and SQL.
Provide authentication and authorizations for servers and applications.
Working knowledge on linux environment.
Should have knowledge on communication tools like putty, winscp.. etc
Job Types: Full-time, Part-time
Work Remotely:
Temporarily due to COVID-19"
AWS/DevOps Engineer,"Jaipur, Rajasthan",Alphonic Network Solutions Pvt Ltd,"₹10,000 - ₹15,000 a month","Set up on AWS cloud.
Management of AWS software.
Monitoring of servers and other components health.
Setup of DR on AWS.
Migration of on prem servers to Cloud.
Managing application,web services,network equipments and servers scaling on cloud.
Backup migration to AWS.
Handling glacier on AWS.
Handling elastic model on AWS.
Managing and monitoring of security incidents.
Job Type: Full-time
Salary: ₹10,000.00 - ₹15,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Sr. DevOps Engineer,None,Sinelogix Technologies,"₹35,000 - ₹45,000 a month","We are looking for a senior DevOps engineer with working project experience, at least 3-4 years.
Specifically experience with AWS, Docker containerization, monitoring, and if possible security experience.
Job Type: Full-time
Salary: ₹35,000.00 - ₹45,000.00 per month
Experience:
work: 3 years (Preferred)
total work: 5 years (Preferred)
DevOps: 4 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
DevOps Engineer,"Bengaluru, Karnataka",Techneplus,"₹12,00,000 - ₹15,00,000 a year",#NAME?
DevOps/Middleware Engineer,None,The United Services & Relations Inc.,None,"The DevOps/Middleware Engineer is responsible for the implementation of new applications, upgrades of existing applications and/or code deployments of currently utilized applications. In addition, the Middleware Engineer will work closely with internal clients, Integration teams and external vendors gathering requirements, designing and deploying infrastructure components to support those requirements.
This position must understand the architecture and design, high availability concepts, load balancers, clustering, networking, operating system concepts, databases, continuous integration, and firewalls.
Deliver enterprise projects that utilize middleware platforms and ensure the support teams have adequate information and knowledge to maintain the environment.
Directly responsible for provisioning middleware technologies as a service capability for applications. Middleware technologies include but are not limited to Jboss, Apache, Weblogic, Tomcat and J2EE.
Architecting & proposing designs for new projects involving middleware products
Installation, configuration, and administration of Jboss, Tomcat and Weblogic application Servers and Apache web servers
Implementing design principles of a service oriented architecture
Identify opportunities to optimize current solutions and perform technical analysis and/or provide hands-on technical support, on an as needed basis, to troubleshoot problems related to poorly performing systems in production and other test environments
Ability to quickly assimilate into a complex environment and rapidly learn the existing and inbound technologies
Automation of support tasks, recovery tasks, implementation tasks - recommendations for process improvements
Required Skills Required Skills 5+ years Unix/Linux System Administration experience(RHEL)
4+ Experience engineering Java apps infrastructure.
4+ Experience administering JBOSS, Tomcat, Websphere and Weblogic application servers.
4+ Experience administering Web Servers(Apache and IHS) and messaging(JMS)
J2EE infrastructure design and build experience
Knowledge of databases and database technology (Oracle/MSSQL Server)
Experience using logging and monitoring tools such as SPLUNK
Experience working in a CICD tools and environment.
Strong troubleshooting and problem solving skills
Write and maintain system documentation
Desired Skills Desired Skills
Knowledge on JFROG/Ansible Tower is must.
Job Type: Contract
Experience:
Java apps: 4 years (Required)
Apache and IHS: 5 years (Preferred)
Unix/Linux System Administration experience(RHEL): 5 years (Required)
JBOSS: 5 years (Required)
Education:
Bachelor's (Preferred)
Language:
English (Required)
Shifts:
Night (Required)
Benefits:
Work from home
Other"
Devops Engineer,"Jaipur, Rajasthan",Data Ingenious Global,None,"Experience
Exp-2-4 Years

Location
Jaipur

Education
B.Tech/ MCA

Functional Area
Linux,AWS,JS Framework,Jenkins,Docker,Developing CI/CD Pipelines"
DevOps/AWS Engineer,"Hyderabad, Telangana",Newlineinfo Corp,"₹50,000 - ₹1,20,000 a month","Level 2 Engineer / Cloud Engineer:
We are seeking applicants with strong knowledge in Systems Administration & troubleshooting skills with Linux, Unix, or Windows. should be very strong with networking technologies including DNS, TCP/IP, SSL, DHCP and Load Balancing.
This role requires advanced troubleshooting & delivering solution, the use of sophisticated DevOps tools,
Act as Tier 2 Support Engineer for the most common & newly announced AWS components
Act as Technical POC for customers.
Good understanding of RDBMS data stores, including Oracle, MySQL, or PostgreSQL
Possession of excellent analytical and problem-solving skills
Experience with DevOps methods and tools, including Jenkins, Ansible, Git, chef, Docker, or kubernetes
Experience with python, bash, powershell
End to End configuration of any alerting tool.
Good Communication & communicator (Verbal & written)
Must Have:
In depth knowledge of UNIX/Linux and Windows Environment
End to End configuration & trouble shooting of the web and application servers (Nginx, Apache, Tomcat, IIS)
Good written and verbal English communication
Minimum two years of experience required for tier 2 support
Aware of any one DevOps tool and Scripting language
Open to available 24/7 support for L1 tier
Positive attitude , should be able to adapt and work based on business demand.
Job Type: Full-time
Salary: ₹50,000.00 - ₹120,000.00 per month
Experience:
AWS: 1 year (Required)
DevOps: 4 years (Required)
Python: 1 year (Required)
Work Remotely:
Temporarily due to COVID-19"
DevOps Engineer,India,Larsen & Toubro Infotech Limited,None,"DevOps hands-on tooling experience –AWS Terraform ,GITHUB, Jenkins, Ansible, , ,RTC, • Should have experience working in agile and devops environment using team collaboration tools such as Confluence, JIRA. • Sound knowledge and experience with Java/J2EE technology • Sound knowledge and experience with Scripting on Shell, Groovy, Python • Knowledge of CICD (Continuous Integration Continuous Deployment) • Excellent multitasking ability - Must have ability to track multiple issues, effectively manage time and competing priorities, and to drive results through stockholders."
DevOps Architect with Kubernetes and Linux skills,Remote,NetJinks Technologies,None,"-We are looking for a candidate having core DevOps experience with Linux administration and Kubernetes skills
- 3+ years of experience with Linux based Operating Systems
- 3+ years experience with container orchestration, Kubernetes (required) and Docker,"
Devops Guru,"Pune, Maharashtra",Pivotchain Solution Technologies,None,"Requirements
You are an automation maniac
You are a Linux (Centos, Ubuntu) ninja
You are an open source evangelist
You have exceptional knowledge of encryption, security & networking
Good Communication Skills
Team Player
What We Expect.?
You have hands-on cloud experience (At least one of the three: AWS, Azure or bluemix)
You are a talented engineer with mastery of GitHub, Jenkins, Dockers, vagrant, Ansible, Python, Powersh
Understanding what a blockchain is would be an added advantage (although not necessary)"
