Title,Location,Company,Salary,Description
Senior Machine Learning Engineer,"Thiruvananthapuram, Kerala",Reflections Info Systems Pvt Ltd,None,"Senior Machine Learning Engineer
Posted on:
04/07/2020
Closing on:
11/07/2020
Contact email:
careers@reflectionsit.in
Roles and responsibilities :
Brief description :
Overview:
Senior Engineer with 5 yrs of experience in AI/ML/Data Science, having hands on experience in advanced libraries and algorithms of computer vision, NLP and other data science domain with strong knowledge in Python/Spark.
Responsibilities:
Lead the development of solution in computer vision, NLP and other data science areas.
Quick turnout to implement solution from the various research papers.
Guide the team to drive from requirements to Solution to Delivery within the given time
Required skills
Preferred skills
Key Skills:
Sound in Data Science, Machine learning and deep learning principles.
Expertise in python and spark to work in the AI/ML projects.
Required Skills in python: Problem solving with python, Object oriented programming, pandas, numpy, matplotlib, Opencv, computer vision, tensorflow or pytorch.
Experience in image processing, signal processing, spatial analytics.
Additional skills: Knowledge in AWS services.

Interested candidates may forward their detailed resumes to the contact email along with their notice period, current and expected CTC details.
Rush your resumes to careers@reflectionsit.in
Experience description
Walk in date & time
Walk in venue"
Machine Learning Engineer,"Bengaluru, Karnataka",Blueberry Semiconductors Pvt Ltd,"₹16,00,000 a year","Looking for Machine Learning Engineer for Blueberry Semiconductor Pvt Ltd
Experience: 3-5 Years.
Location: Bangalore
Skills:
Expert in C/C++ and Python.
Sound knowledge in Machine learning.
Experience in developing machine learning applications like graph optimization.
Experience in adding new Operators to ML compilers like GLOW
Deep neural network frameworks like Tensorflow, PyTorch, Caffe, caffe2, ONNX, etc.
Job Type: Full-time
Salary: ₹1,600,000.00 per year
Work Remotely:
Temporarily due to COVID-19"
Machine Learning Engineer,"Kanpur, Uttar Pradesh",ITH Technologies,None,"Machine Learning Engineer
Kanpur
ITH Technologies Pvt. Ltd. is a leading technology infrastructure development and consulting ﬁrm that offers a complete suite of an End-To-End solution to clients and partners around the globe. We build strong and unique business relationship with partners, as most of the times we don’t charge in up-front money but in equity. This helps us create capital, corporate, and entity for a stable future and also brings in-house like quality to our partner products.

By combining practical industry-speciﬁc knowledge with cutting-edge business management practices, we ensure our clients get increased efficiency and better business performance. We have a team with a passion for developing and delivering enterprise-grade applications. Our passion is not dependent on the size of the enterprise. Hence, we are able to architect a solution with the best and latest of tech even for a Startup or SME.
About BrainAlive Research
BrainAlive, a technology research and development company parented by ITH technologies, is currently developing a non-invasive, wearable bio-signal acquisition and monitoring system that would empower you to develop a crisp, conscious understanding of your physiology, especially relating to your cognitive abilities. The system acquires various physiological parameters from your skin, analyzes the acquired data and provides tangible conclusions in the form of easily understandable and interactive visuals. It gives you a clear image of your level of involvement in any activity, and helps you to understand the factors influencing it. BrainAlive has the ultimate goal of helping you understand, and minimise, the elements limiting your potential, thereby enhancing your overall productivity, and the quality of results.
ROLE : DIGITAL SIGNAL PROCESSING – MACHINE LEARNING ENGINEER ...
We are looking for highly talented and motivated Digital Signal Processing (DSP) Engineers, preferably with experience in analyzing biosignals, to join our Embedded & Robotics team.
You will be part of a team of researchers & engineers where you will focus on designing and implementing algorithms for advanced brain-computer interface.
Your research & development will help power the coming generation of EEG-based human- machine interfaces.
ROLES AND RESPONSIBILITIES ...
Conducting data processing and analysis, using DSP techniques and methods, to extract information of the EEG signal data for detection of various attributes of the mental state of a subject. Designing Machine Learning algorithms for electro-physiological signals in numerical analysis languages : Matlab, Python, C/C++etc.
Demonstrating algorithms meeting accuracy requirements on general user population through statistical analyses and error estimation.
Writing technical reports summarizing development, analysis, training and validation of the algorithms.
BASIC QUALIFICATIONS ...
B.Tech./M.Tech/Ph.D in Computer Science or Electronics (Machine Learning, AI, Statistics, or equivalent);
Strong technical skills, deep understanding, work experience and or exposure to DSP implementations, filtering, transforms, data visualization, machine learning, timing and signal recovery.
Willingness to divert from the conventional methods to explore alternative approaches.
Knowledge of optimization, multi-threaded development and cross-platform development.
Experience in statistical analysis and programming projects on data analysis algorithms / signal processing.
Experience using Python , , C++ , R, MATLAB, Java or similar scripting language;
PREFERRED QUALIFICATION ...
More than 2 years of industrial/academic experience in building ontology mapping and extraction models
Experience with real-time signal processing.
Experience in advanced signal analysis of physiologic signals required with specific knowledge in EEG preferred.
Extensive practical experience in several of the following areas: ML, Natural Language Processing, Ontology mapping, Clustering techniques, applied ML or AI features/products/systems
Ability to handle multiple competing priorities in a fast-paced environment
Significant peer reviewed scientific contributions in premier journals and conferences
Proven track record of production achievements
Strong personal interest in learning, researching, and creating new technologies with high customer impact
Experience with defining research and development practices in an applied environment
Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts.
Strong fundamentals in problem solving, algorithm design and complexity analysis"
Machine Learning Engineer,"Jaipur, Rajasthan",RAMS CREATIVE TECHNOLOGIES PVT LTD,"₹1,00,000 - ₹5,00,000 a year","Job description: -
The Machine Learning Engineer position at RAMS Creative Technologies Pvt Ltd. involves contributing to the design of an AI agent. In this role, you will help develop and enhance the algorithms and technology that power our unique system. This role covers a wide range of challenges, from developing new algorithms to enabling current systems to recognise and understand, voice, facial expressions and body gestures.
Profile: - Machine Learning Engineer
Experience: - 0-3 Yrs.
Job location: - Jaipur
Requirements: -
Research and implement appropriate Machine Learning algorithms and tools.
Working experience with Python and associated libraries in Deep Learning / Machine Learning Framework.
Experience in deploying / building a fast, distributed, and fault - tolerant AI infrastructure.
Development of web based algorithm for image processing.
Knowledge of Computer Vision.
Adapt learn new technologies as required.
Exposure to Deep Learning, Neural Networks, or related fields and a strong interest and desire to pursue them.
Experience in Natural Language Processing, Computer Vision, Machine Learning or Machine Intelligence (Artificial Intelligence).
Programming experience in Python.
Knowledge of machine learning frameworks like Tensorflow.
Experience with software version control systems like Github.
Freshers and Experienced both can apply.
Job Type: Full-time
Salary: ₹100,000.00 - ₹500,000.00 per year
Experience:
Machine Learning: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
Deep Learning/ Computer Vision Engineer,"Bengaluru, Karnataka",Ikara Vision Systems,"₹12,00,000 - ₹18,00,000 a year","We are IKARA Vision Systems, a spin-off of the German Research Center for Artificial Intelligence (DFKI). Our goal is the transfer of cutting-edge research into robust solutions for industrial applications. Our main business areas are visual analytics, real-time deep learning systems and feasibility studies in the areas of retail, Industry 4.0, smart mobility and security & safety. To strengthen our team, we are looking for a
Deep Learning / Computer Vision Engineer
If you are a motivated individual with a hands-on mentality and have a desire to work on interesting projects at the intersection between cutting-edge research and industrial applications, do not hesitate to apply.
Your areas of responsibility include:
Development, implementation and deployment of machine learning solutions
Independent project work, including planning and prototyping
Participation in knowledge transfer from research to the industry
We are offering you a working place in a stimulating environment with great team spirit at the forefront of industrial deep learning.
Your qualifications are:
An excellent degree in computer science or other fields (electrical engineering, math, physics)
1+ years of work experience in algorithm development, deep learning and computer vision
Ability to work independently and also as part of a team. You are a proactive problem solver
Very good programming skills in C++ and Python with knowledge in PyTorch or Tensorflow
Experiences in project management and leading a team are a plus
Good communication skills in English.
What we can offer you:
Interesting and challenging projects using state-of-the-art deep learning technology
Seeing your solutions and technology making their way into real systems
Being part of a great team with flat hierarchies
A competitive salary
Flexible working hours
Excellent career prospects
contact person: praveen badimala
Job Types: Full-time, Contract
Salary: ₹1,200,000.00 - ₹1,800,000.00 per year
Experience:
work: 1 year (Required)
total work: 1 year (Preferred)
Education:
Master's (Preferred)"
Research Engineer - AI & Industrial Data Analytics,"Bengaluru, Karnataka",Siemens AG,None,"Are you passionate about growing your Data Analytics or AI skills? We are looking for an energetic and hardworking Data Analytics research engineer to join our R&D team in Bangalore.
Our Research Group (Advanced Data Management) is part of Business Analytics and Monitoring (BAM) Technology Field of Corporate Technology Research. Headquartered in Munich, we are a distributed team of around 250 researchers, data scientists and architects distributed across the globe.
We strive to seek sophisticated problems in various domains ranging from mobility, industry, energy, and buildings to smart cities by applying methods and principles of data analytics and artificial intelligence. We are looking for equally passionate techies to join us in this exciting journey of finding innovative solutions to some non-trivial industrial problems.

What part will you play?

Analyze large, complex data sets by developing advanced machine learning and deep learning pipelines based on business initiatives.
You will have the ability to build theoretical models as well as build innovative, practical and robust real world solutions for problems in Oil & Gas, Manufacturing and Process Industries.
You will demonstrate outstanding ability to drive innovation and research in the form of patents and publishing papers at top-tier conferences/journals.

We don’t need superheroes, just super minds.

As the successful candidate, you will hold a degree in Chemical engineering, Mechanical engineering, or computer engineering or other related degree from an accredited university, with hands-on experience of at least 1+ years in solving complex problems and driving meaningful insights
A sophisticated degree in operations research, applied statistics, data mining, machine learning, physics, or a related quantitative subject area is an asset.
Experience in proven deep technical expertise in designing and programming large scale data driven solutions using any of the high-level programming languages viz. Java/Python/C++/Matlab
Strong background in data science including statistical analysis and modeling, data mining, machine learning, uncertainty analysis, time series forecasting, working with both structured and unstructured data.

Make your mark in our exciting world at Siemens.

We’re Siemens. A collection of over 370,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and imagination and help us shape tomorrow.
We look forward to know you.

Find out more about Siemens careers at: www.siemens.com/careers

Organization: Corporate Technology
Company: Siemens Technology and Services Private Limited
Experience Level: Experienced Professional
Job Type: Full-time"
Machine Learning Engineer,"Hyderabad, Telangana",WAVELABS TECHNOLOGIES,None,"Wavelabs is an AI-First, new-age Technology company for the Digital, Cognitive & Industry 4.0 Era. We help you rethink and reinvent, while adapting to the inevitable change technology evolution bring.

We leverage cutting-edge technology to become an enabler of fundamental innovation and disruption. We drive business outcomes with Data and Data Analytics to go beyond the existing platforms for insights and become agile on execution. We intend on leveraging the advances in artificial intelligence (AI) and machine learning (ML) to build solutions that are loved by all.

This is who we are. We are a community looking to deliver true flagship experiences. We focus on the things that matter most to us – design and customer experience. Most importantly, we’re not just doing it for ourselves. We are here to share the best technology and build beautiful products hand-in-hand with you.



Requirements
Experience with building Machine Learning solutions with Python / C++
In depth understanding of Convolutional Neural Network(CNN),Deep Neural Network (DNN) and their components.
In depth understanding of popular object detection(YOLO, RCNN, FasterRCNN, etc.), segmentation (UNet, SegNet,MaskRCNN, etc.) and classification networks (Inception, ResNet, etc.).
Knowledge of deep learning methods using Pytorch, Tensorflow, Keras etc. and transfer learning on state of art DL models.
Preferred deep learning training on distributed systems.
Network Optimization: Pruning technique
Familiarity with Edge computing
Deployment of DL models, Familiarity with Docker,AWS/Azure/GCP
Familiarity with MLOps"
Machine Learning Engineer,"Kochi, Kerala",Techcloud Development Solutions Pvt Ltd,None,"Job Summary
Techcloud is looking for a senior software developer to join our team in our Kochi, Kerala office. Techcloud is an IT solutions and service provider company incorporated in 2015, which is headquartered at Auckland, New Zealand with a development center branch located inside Infopark Campus (Special Economic Zone), Kochi, Kerala India. Our domain skills, technical expertise, business and engineering processes ensure that we are dependable business partners to our customers.
Responsibilities and Duties
- Hands on experience with Machine Learning algorithms.
- Strong knowledge in Deep Learning
- Frameworks like Tensorflow, Keras, Pytorch etc should be used.
- Should have worked with Natural language Process using LSTMS, GRU etc
- Able to build algorithms
- Knowledge in AWS services
- Knowledge in Python
Job Types: Full-time, Temporary, Contract
Experience:
Machine Learning: 1 year (Preferred)
total work: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Software Development
Work Remotely:
Yes"
Applied Machine Learning Engineer,India,Click2Cloud,None,"India
Exp. Level 00-03 Years
Position 01

High level of Statistics ability.
Advanced knowledge of programming languages used of machine learning. Preferably Python or R but not restricted to.
Advanced knowledge of working with libraries used for data processing and Machine Learning Algorithms. Preferably however not limited to, Python or R.
Advanced knowledge of Database DDL and DML for any Database such as PostgreSQL, MySQL, Oracle, MongoDB etc.
Good knowledge of Big Data and working knowledge of languages : Spark, Scala etc.
Report Preparations based on analysis
Excellent Interpersonal skills."
Machine Learning Engineer,"Hyderabad, Telangana",Hitachi Vantara,None,"The Company

Hitachi Vantara, a wholly-owned subsidiary of Hitachi, Ltd., guides our customers from what’s now to what’s next by solving their digital challenges. Working alongside each customer, we apply our unmatched industrial and digital capabilities to their data and applications to benefit both business and society. More than 80% of the Fortune 100 trust Hitachi Vantara to help them develop new revenue streams, unlock competitive advantages, lower costs, enhance customer experiences, and deliver social and environmental value.


The Role

We are seeking Machine Learning Engineer

Responsibilities
Perform machine learning, text analytics, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods.
Selecting features, building and optimizing classifiers using machine learning techniques.
Implement algorithms and software needed to perform analyses.
Communicate results and educate others through reports and presentations. Skills Required â€¢ Expertise in Data Mining, Data wrangling, and data munging using one or more of the most commonly used data science tools: R, Python, SAS, SPSS, Weka â€¢ Experience in end-to-end data science and engineering activities.
Qualifications
BE / B Tech / ME / M Tech


We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
