Job Title,Job Description,Company Name,Location
Research Analyst I - Modeling and Simulation,"Research Associate I - Modeling and Simulation
We are looking to fill this position in our Gurgaon, India office.
Evidera is a global research consulting group that partners with life sciences organizations worldwide to develop, capture, and communicate the clinical and economic evidence required to substantiate the value of their products and optimize their products’ market access and commercial success. Our research and consulting services are driven by world-class science and thought leadership and leverage a unique combination of capabilities in health economics, outcomes research, market access, data analytics, and epidemiology.
Our multidisciplinary Modeling and Simulation experts design and implement health economic models that describe complex medical processes to understand and evaluate the implications of clinical trials; demonstrate the value of interventions beyond efficacy, and assess benefits, risks, and the economic consequences associated with healthcare interventions. If you have a passion for health economic modeling to conduct cost-effectiveness analyses of healthcare interventions and have experience conceptualizing and implementing simulation models (e.g., discrete event simulation) and other decision-analytic models (e.g., decision trees, Markov, individual state-transition, survival partition), a position in Modeling and Simulation at Evidera is waiting for you!

Position Overview
Assist with implementing simulation models (e.g., discrete event simulation) and other decision-analytic models (e.g., Markov, individual state-transition, survival partition) to assess the cost-effectiveness of healthcare interventions. Assist with scientific and financial project management, and monitoring progress for projects when assigned.

Essential Duties and Responsibilities: (other duties may be assigned)
Assist with implementing one or more of the following (under supervision):
Development of health economic models to conduct cost-effectiveness and budget impact analyses of healthcare interventions.
Program models using Microsoft Excel with Visual Basic for Applications (VBA).
Conduct analyses and presentation of results.
Conduct literature reviews with emphasis on extracting data pertinent to health economic evaluations and cost-effectiveness analyses.
Conduct basic statistical analyses (e.g., descriptive statistics and regression analysis).
Assist with drafting sections of project deliverables (e.g., user guides, model specifications and technical reports).
Participate in client meetings and draft meeting minutes.
Assist with tracking budget and expenses and monitoring timelines and deliverables for projects when assigned.
Support other ""non-billable"" activities as needed (e.g., assist with developing sections of proposals).
Travel may be required.
Education and Experience
Master’s degree in Operations Research or Industrial Engineering or Bachelor’s degree in Operations Research or Industrial Engineering with more than one year of relevant work experience. Master’s or Bachelor’s degrees in other fields will be considered (e.g., Mathematics, Economics, Epidemiology) with relevant experience of programming decision analytic models (e.g., decision trees, Markov, individual state-transition, survival partition) in Microsoft Excel with VBA.
What you bring to Evidera
Basic understanding of research methods.
Practical knowledge of research project implementation.
Experience working with modeling/simulation software, in particular Microsoft Excel using VBA.
Excellent computer skills, including Microsoft Word and PowerPoint.
Strong quantitative skills, with solid understanding of basic statistics.
Energy, a great work attitude and fit well with our team.
Strong organization skills.
Language Skills
Competent in written and spoken English.
Computer Skills
Required: Excel and VBA expertise, Microsoft Word, Microsoft PowerPoint
Desired: Experience using other simulation and/or decision-analysis software (e.g., Arena, TreeAge).
Evidera, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, genetics, sexual orientation, gender preference, disability, or status as a qualified individual with a disability or protected veteran.","Evidera
3.8",Gurgaon
Analyst,"Vacancy Name Analyst
Vacancy Reference VN464
Location Country India
Location City Mumbai
Description • Manage and Reconcile Derivatives invoices according to process and procedure
• Meet Service Level Agreement targets
• Work on SmartStream’s Transactions, Fees Cost and Invoice Management solution ensuring all service level agreements are met.
Job Responsibilities • Typical Work Activities include:
• Use the Smartstream solution to match client data and highlight any exceptions.
• Raising data exceptions and managing the investigation process to completion.
• Prioritising work to ensure all SLA’s are adhered too.
• Keeping the client fully informed of progress and liaising with brokers & banks to close any issues.
• Work with multiple teams to provide ideas and input into improving the Smartstream solution.
Key Skills • Derivatives Product knowledge with experience in Listed Brokerage preferred
• Sound knowledge of Investment Banking products predominantly Derivatives
• Sound knowledge of the Trade Lifecycle
• Good knowledge of Excel
• Analytic problem solving skills
• Good numeracy skills.
• Experience of working with SLA environment
• Experience in a data reconciliation or data matching role preferred
• 2-4 years of experience of working in the Banking/finance industry
• Experience of working in a Software House or Development centre is a good to have
• Familiarity with project methodology is a good to have
Desirable Skills • Excellent communication skills both written and verbal
• Effective prioritisation
• Ability to build good relationships with stakeholders
• Focus on Delivery and Customer Service
• Teamworker
• Calm, methodical approach to problem solving
Qualifications • Graduate/Post Graduate in any faculty related to Banking and Financial Services
Experience
Employment Type Permanent
Benefits","SmartStream Technologies
3.2",Mumbai
Technical Analyst II,"Valorem Reply is seeking an Technical Analyst I with technical ability, strong customer service skills and a desire to learn and help others. In this role you will need to possess the ability to effectively diagnose and resolve technical issues across a wide variety of technology platforms and software applications. The successful candidate will have strong troubleshooting and problem-solving abilities, a passion for providing technical solutions to business problems, and a strong desire to learn and grow. The ability to multi-task and a willingness to work in new systems on a frequent basis will be crucial for success. Additionally, you should be comfortable communicating directly with customers on a regular basis by both written and verbal means.
As a Technical Analyst I, you will work with a team of Technical Analysts to facilitate resolution of complex technical issues reported by customers by applying your deep technical and product expertise combined with customer service skills. You will act as a technical escalation point within the team and will collaborate on cross-team and cross-product technical issues by working with resources from other groups as needed to resolve customer issues. You will work together with the Manager, End-User Services, Lead, Service Management and the other Engineering teams to deliver high quality, optimized delivery of solutions.
Placement Criteria & Requirements
5+ years of Application Support experience
Technical understanding of one or more of the tools and technologies; SQL, PowerShell, Visual Studio, .NET, Azure DevOps
Familiarity with cloud networking concepts, connectivity and tools
Ability to handle and own escalated customer situations from end to end with empathy
Passion for resolving customer issues with a demonstrated sense of accountability and a high degree of customer satisfaction.
Sufficient technical depth to communicate with development and other teams at a peer level, while also being able to assess a customer’s level of technical knowledge and communicate at the appropriate level
Strong written and verbal communication skills suitable for a business-to-business customer facing role
Demonstrated ability to self-organize and prioritize multiple time-sensitive tasks on a daily basis
Interested in learning new technologies, creative, open-minded and a great team player
Adept at task switching to handle varying workload, while meeting tight deadlines
Creativity, capacity and a conviction to innovate and deliver best-in-class solutions
Strong collaboration skills, works well with ambiguity, works well across roles and groups
Ability and willingness to take the initiative to facilitate teamwork and serve the client needs first","Valorem Reply
3.8",Kochi
Research Analyst,"Role/Department Description:

Responsibilities:
90% - Collect, analyze and process financial market data from various data sources and into the database utilized by the team. Ensure the integrity of the company's financial market information. Complete, timely and accurate database Accurate and reliable data for the client
10% Audit Resolutions/fix and recommendations for market specific guidelines. Audit resolution sign off. Creation and refinement of market specific guides. Accurate and reliable data for the client
Provide accurate and reliable demographic and statistical financial market data to internal database and to internal/external clientele; Focus on ensuring the integrity of the company's financial market information ; Fulfill the research/analytical/ market study needs, required/ requested by the external clients in order to procure and retain future and current business ; Support clients on data queries ; The job also involves reporting & maintaining records of work done
Required Skills:
Undergraduate degree in Commerce / Business Management/ Finance/Accounting /Economics or equivalent Be able to effectively understand the content/market (s) handled
Computer Literacy Effectively use the database and software for collection and processing of content/data
Numerical skills To ensure understanding of the financial data to be collected and/or processed
Analytical skills and detail orientation To ensure accuracy of data
Knowledge of financial markets and accountancy (as needed) To ensure effective understanding of assigned content/market
Graduate in Commerce / Business Management / Finance / Accounting / Economics or equivalent ;
Computer literate
Good Numerical Skills
Analytical Skills and detail-oriented
Good knowledge of Accountancy
Understanding of Financial Markets
Successfully completed internal department training;
Additional prerequisite for Production Support
Completed on-line training in the use of FactSet workstation","FactSet
3.7",Hyderabad
Research Analyst,"At Amazon, we strive to be Earths most customer-centric company where people can find and discover anything they want to buy online. We hire the worlds brightest minds, offering them an environment in which they can relentlessly improve the experience for customers. Innovation and creativity are built into the DNA of the company and are encouraged at all levels of employment. Every day we solve complex technical and business problems with ingenuity and simplicity. Were making history and the good news is weve only just begun

Job Title: Research Analyst ( ICQA)

Location: Del5


Summary:
Amazon is a highly data driven company highly obsessive about metrics. The Data analysts play a crucial role in creating unique reports from data available in multiple locations and providing vital insights into the root cause of quality defects and inventory adjustments.

Job Deliverables:

· Daily/ weekly/ monthly Research activities: Data mining and understand the reasons for Quality Defects
· Prepare and publish daily/ weekly/ monthly reports on inventory quality ( IRDR/ Large adjustments/ Unmatched X, Top20 reports/ HRV adjustments etc)
· Bin Management and control ( creation/ addition/ deletion/ bin locks)
· Conduct daily training and also will be responsible to conduct daily skill huddles
· Quality Feedback to associates
· Stand-in for Process Associate and the Area Manager

Skills required:
· Knowledge of problem solve tools
· Good in math and data analytics
· Proficiency in MS Excel ( knowledge of macros an added advantage)
· Basic Qualifications
· B.E ( Mech/ Electronics/ Elec/ IP) with min 4-5 yrs experience
· Experience in an analytical role in the Quality Assurance function preferred
· Business analysts in any of the Amazon teams who have a flair for data crunching and generating innovative reports that drive actions
· Prefer candidates with similar experience in Tier1 Auto-component/ Automotive Manufacturing/ Electronics Industry
· Preferred Qualifications
. Experience in troubleshooting/ problem-solving desired
· Strong analytical, math, data analysis, listening & communication skills
· Experience in analyzing shop-floor processes and trends and recommending improvements
· Knowledge of SQL/ Visualbasic is an added advantage
· Use of macros to simplify reports
· Internal Job Description
Job Deliverables:

· Daily/ weekly/ monthly Research activities: Data mining and understand the reasons for Quality Defects
· Prepare and publish daily/ weekly/ monthly reports on inventory quality ( IRDR/ Large adjustments/ Unmatched X, Top20 reports/ HRV adjustments etc)
· Bin Management and control ( creation/ addition/ deletion/ bin locks)
· Conduct daily training and also will be responsible to conduct daily skill huddles
· Quality Feedback to associates
· Stand-in for Process Associate and the Area Manager

Skills required:
· Knowledge of problem solve tools
· Good in math and data analytics
· Proficiency in MS Excel ( knowledge of macros an added advantage)

Daily/ weekly/ monthly Research activities: Data mining and understand the reasons for Quality Defects
· Prepare and publish daily/ weekly/ monthly reports on inventory quality ( IRDR/ Large adjustments/ Unmatched X, Top20 reports/ HRV adjustments etc)
· Bin Management and control ( creation/ addition/ deletion/ bin locks)
· Conduct daily training and also will be responsible to conduct daily skill huddles
· Quality Feedback to associates
· Stand-in for Process Associate and the Area Manager

Basic Qualifications

B.E ( Mech/ Electronics/ Elec/ IP/CSE) with min 3 yrs experience
· Experience in an analytical role in the Quality Assurance function preferred
· Business analysts in any of the Amazon teams who have a flair for data crunching and generating innovative reports that drive actions
· Prefer candidates with similar experience in Tier1 Auto-component/ Automotive Manufacturing/ Electronics Industry
· Use of Excel and Mcros to simplify reports
· Strong analytical & communication skills
· Knowledge of basic SQL


Preferred Qualifications

Experience in troubleshooting/ problem-solving desired
· Experience in analyzing shop-floor processes and trends and recommending improvements
· Knowledge intermediate/advance SQL/ VBA/Visualbasic is an added advantage","Amazon
4.3",Gurgaon
Research Analyst,"We are looking for a detail oriented and enthusiastic research analyst to join us. In this profile, you will be responsible for analysis and insight reporting developed within Numerator.

You will be applying qualitative and quantitative techniques in interpreting data, formulating reports and analyzing the data based on the research findings to produce better recommendations.

Responsibilities Include:
Work on templated reporting conducted within Numerator's Consulting Services group.
Integrating the best practices in researching tools and conventions.
Develop and produce customized analysis of Numerator proprietary data to solve specific business issues our clients are facing.
Proactive and self-motivated; hands-on learner.
Ability to recognize trends in data.
Strong SQL knowledge required.
Attention to details and good analytical skills to provide recommendations.
Strong desire to utilize quantitative information to solve unique business problems
You should be a team player to work with your peers and managers.
Must have Excellent English oral and written communication skills
Strong MS Office skills
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.","Numerator
3.9",Vadodara
Research Analyst I,"Duties & accountabilities
Perform operational and financial research on the portfolios of major refining and chemical companies. Transform that research into clear and compelling insight.
Support activities of senior researchers by producing quick-turnaround analysis and research for publications, consulting projects, and client presentations.
Understanding refinery and chemical trends and relating them to companies to assess their performance. Monitor company websites, annual reports, SEC filings etc.
Under supervision or as part of a team effort, respond to research-related questions from clients by working in a highly collaborative fashion; requires learning the roles and expertise of others on research teams, seeking out help from other colleagues, become familiar with our research products and client request procedures.
Gain knowledge and skills by actively contributing to the above listed activities, pursing activities/work in various disciplines, and staying abreast of current/hot topics.
Collecting and analyzing financial information of refining and chemical companies. Assess trends, key trigger points and link them to companys strategic intent.Review internal IHSM data sources and work on in-house models.
Update IHSM Chemical ChemAssets database to reflect changes. Efficiency, accuracy, and attention to detail are essential.
Ensure that client deliverables are of the highest quality and completed according to schedule.
-----------------------------------------------
IHS Markit is committed to providing equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by the laws and regulations in any of our locations.

We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency Statement

-----------------------------------------------

Current Colleagues

If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.","IHS Markit
3.5",Gurgaon
Technical Support Analyst - L1,"Gainsight is fast growing tech company revolutionizing Customer Success for businesses. The Customer Success company helps businesses grow faster by reducing churn, increasing upsell, and driving customer advocacy. Gainsight provides a complete, end-to-end Customer Success solution through its services and technology. The industry-leading platform helps companies manage customers relationships effectively, track customer health and transform the way organizations orient around the customer. Gainsight is the platform of choice for many leading companies like Box, Adobe and Workday. The company has been recognized as one of the top 100 private cloud companies in the world by Forbes, one of the fastest growing private companies in America by Inc. Magazine, and as one of 20 Great Workplaces in Tech by Fortune Magazine. Gainsight's CEO, Nick Mehta, has been recognized as one of the Top SaaS CEOs in America. The company has offices in California, Phoenix, St. Louis, London and India.

The L1 - Support Engineer is responsible for providing high-quality technical support for the Gainsight platform to customers, developers and prospects across the World through e-mail, phone interactions, desktop sharing with customers and by using incident tracking system. The fundamental goal of this position is to help our customers achieve success using our Gainsight platform. The job involves handling and resolving complex technical and functional queries from customers across the globe.

Responsibilities:
Help resolve software and technical questions for the customer efficiently and effectively
Gather the required information necessary in order to best handle customer software and technical inquiries
Manage customer expectations regarding estimated response times for issue resolution
Meet SLAs like response and resolution times by partnering within L1, L2 and L3 Support organizations
Extensively research and document customer technical issues
Collaborate with Technical Support team members to properly manage customer inquiries and escalate when appropriate.
Partner with Technical Support team members on various strategic projects when needed
Own customer technical issues from initial report to resolution, communicating with customers regularly regarding issue status.
Run monitoring reports for usage, performance, and/or availability.
Document solutions for knowledge-base and bring new ideas for innovation and automation excellence into the Support team.
What We're Looking For
Bachelor's Degree in Computer Science Engineering (or related technical discipline)
3 – 5 years of relevant experience in L1 technical customer support (voice and email), with a strong customer interaction experience
Good debugging skills
Passion to be a part of a hard working and winning team
Ability to multi-task in a fast paced environment
Excellent ability to learn and articulate software-related and technical concepts
Strong active listening skills and excellent written and oral communications skills
Excellent Customer Service Orientation
Strong attention to detail when communicating with customers (verbal & written)
Ability to empathize with customers and convey confidence
Expertise working with Microsoft Excel
Strong documentation skills
Familiarity with Salesforce Apps and Web applications
Working knowledge of SQL, Java related technologies
Shift: 24X7 Shifts (Afternoon & Night shifts)

Individuals seeking employment at Gainsight are considered without regards to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation.","Gainsight
4.3",Hyderabad
Analyst,"The Area: Morningstar Indexes Team leverages its expertise in equity research, manager research, asset allocation, and portfolio construction to create innovative investment solutions. It uses Morningstar`s intellectual property to create indexes that empower investors to achieve their goals at every stage of the investment process - market monitoring, bench marking, and asset allocation. The unit offers a broad suite of global equity, bond, commodity and asset allocation indexes.

The Role: Morningstar Indexes seeks an intelligent and creative professional for its Index Management and Analytics team. The primary function of the team is to maintain Morningstar indexes across asset classes, periodic methodology enhancements and provide research and analytics for client support. The team is also responsible for handling complex corporate events, regulatory compliance, and production automation. We are looking for a team member with basic knowledge of financial markets, statistical packages, data analytics or decision science. This position will be located in Vashi, Navi Mumbai (India).

Responsibilities:

End-to-end ownership of index methodology and index reconstitution/re balancing processes across asset class Be a subject matter expert on Index construction methodologies along their investment thesis and propose enhancements to the methodology Maintain Equity Universe and Management process of combining, normalizing, QA’ing, correcting and finalizing data such as Fundamental Data, Total Outstanding Shares, Float, Security Type, Country of Incorporation, etc. Ensure accurate, timely interpretation and treatment of complex corporate actions per rule books, and general adherence to stated methodologies. Also, work with the calculation agent for the timely and accurate implementation of corporate actions Ensure accurate and timely calculation of index levels and daily portfolios. Also, manage the restatement of indexes in case of any data issues and communicate to the clients. Act as a subject matter expert for the client request on the index Analytics, index methodology and the reconstitution processes. Clearly and thoroughly communicate with internal and external clients, calculation agents, and data/service providers regarding index methodology, data and portfolio compositions, sales and client inquiries, and issue resolution Work collaboratively with internal and external teams to continually identify and implement process improvements, reduce external data dependencies, support new product development, and establish standard operating procedures

Requirements:

A Bachelor’s or Master’s degree in Engineering, Finance, Economics, Management etc. and a strong interest in Finance Some progress towards CFA is mandatory At least 1 years of relevant work experience Comfortable with basics of MS office, SQL and Python Excellent written and verbal communication skills Ability to collaborate with the global team and deliver quality outcomes under tight deadlines The candidate should exhibit a passion for innovation, and harbor a genuine belief in, and acceptance of Morningstar’s core values

Morningstar is an equal opportunity employer.

I10_MstarIndiaPvtLtd Morningstar India Private Ltd. (Delhi) Legal Entity","Morningstar
4.0",Mumbai
Research and Analysis Analyst II,"Summary:

The Research Analyst, Steel Raw Materials position requires a junior to mid-level research analyst with 2 to 3 years of experience in researching steel raw materials. The Research Analyst, Steel Raw Materials is expected to work within the Coal, Metals & Mining team to perform research, insight and data functions, as well as additional analysis as needed, including contributions consulting projects.

Job Duties:
Contribute to and/or maintain supply-demand balance sheets for iron ore, scrap, and minor metals used in the steel making process.
Contribute to and/or maintain price forecasts for these steel raw materials
Contribute to monthly and ad hoc deliverables on the steel raw materials markets
Engage with clients of IHS Markits Steel Raw Materials service, delivering key messages and insights.
Collect data from a wide variety of global sources, with very high accuracy and attention to detail. Maintain data in optimal formats that are accessible by research analysts globally.
Develop new deliverables, including data visualizations in Power BI.
Analysts will be encouraged to contribute to regular reports and original research, collaborating with the broader Coal, Metals & Mining team, and other groups within IHS Markit.
Required Education:

Graduate degree in mathematics, engineering, economics, statistics or industry-related field required. Graduate degree with quantitative skills a plus.

Required Experience:

At least 2 years of experience in a steel raw materials research, or within the steel or steel raw materials industry

Other Skills:
Strong numerical and data analytical skills
Strong writing ability
Effective verbal communication skills
Advanced proficiency with MS Office applications required (Excel, Word and PowerPoint). Knowledge of Power BI, Tableau, VBA advantageous.
What You'll Love About Us Do ask us about these!
Total Rewards. Monetary, beneficial and developmental rewards!
Work Life Balance. You can't do a good job if your job is all you do!
Prepare for the Future. Academy we are all learners; we are all teachers!
Employee Assistance Program. Confidential and Professional Counselling and Consulting.
Diversity & Inclusion. HeForShe!
Internal Mobility. Grow with us!
Company overview

IHS Markit harnesses deep sources of information, analytics and expertise to forge solutions for the industries and markets that drive global economies. Our company partners with clients in business, finance and government to provide the unrivalled insights and perspectives that lead to well-informed, confident decisions. We call this The New Intelligence.

IHS Markit serves more than 50,000 key customers in more than 140 countries, including 80 percent of the Fortune Global 500. We help decision makers apply higher-level thinking to daily tasks and strategic issues across a host of industries and disciplines including energy, finance, automotive, engineering, technology, maritime and trade, chemical, and economics and country risk.

Headquartered in London, IHS Markit (Nasdaq: INFO) is committed to sustainable, profitable growth.

-----------------------------------------------
IHS Markit is committed to providing equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by the laws and regulations in any of our locations.

We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency Statement

-----------------------------------------------

Current Colleagues

If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.","IHS Markit
3.5",Gurgaon
