Title,Location,Company,Salary,Sponsored,Description
Ionic Developer,"Kochi, Kerala",ItAndTechs,"₹20,000 - ₹60,000 a month",Organic,"We are an established IT company based in Dubai-UAE currently expanding our development team in India.
The Position:
We are looking for Ionic hybrid mobile app developer.
Responsibilities:
· Primary responsibility is to code and deliver bug free software according to design documentations and/or user requirements.
· Should be able to design good UI/UX.
· Provide support services to the end users
· Prepare necessary documentation as per the process requirements
· Coordinate with external teams of clients, development professionals, quality analysts, technical architects etc.
· Should have good written and verbal communication skills.
Skills:
· A minimum of 3 years’ experience.
· Excellent abilities in CSS (CSS3), JavaScript & jQuery, AJAX.
· Excellent Ionic / PhoneGap or similar Cordovabased frameworks
· English written and verbal communication skills
· Excellent .Net Entity framework rest api
The Location:
Koratty info park, Thrissur, kerala.
Job Types: Full-time, Contract
Salary: ₹20,000.00 - ₹60,000.00 per month
Experience:
Entity framework: 1 year (Required)
ionic framework : 2 years (Required)
Education:
Bachelor's (Required)"
Software Developer,"Ranchi, Jharkhand",MILDTRIX BUSINESS SOLUTIONS PVT LTD,"₹2,00,000 - ₹5,00,000 a year",Organic,"Mildtrix is looking for Software Developer having 2+ Years of experience in PHP Codeigniter and 1+ Year of experience in Node JS, Angular JS or React JS.
Salary as per experience. Best in Ranchi.
Job Types: Full-time, Contract, Walk-In
Salary: ₹200,000.00 - ₹500,000.00 per year
Experience:
Node Angular or React: 1 year (Preferred)
work: 1 year (Preferred)
total work: 2 years (Preferred)
PHP Codeigniter: 2 years (Preferred)
Education:
Bachelor's (Preferred)"
Professional 1 Product Developer (51005782),"Noida, Uttar Pradesh",DXC,None,Organic,"Job Description:
Minimum 3 - 12 years of Knowledge/experience in Vantage/Vantage-One/WMA is needed.
Strong Experience of development in the following skills (COBOL, VSAM, IBM, DB2 Tools).
Technical skillset Mainframe, COBOL, VSAM, IBM tools, DB2, EZT, JCL.
Domain Life Insurance (LOMA 280 or 290 will be added advantage).
Product #Vantage/Wma is a must."
Mobile App Developer,"Ranchi, Jharkhand",MILDTRIX BUSINESS SOLUTIONS PVT LTD,"₹2,00,000 - ₹6,00,000 a year",Organic,"Full time Mobile App Developer having 2+ Years of experience in Flutter, Node JS, Angular Or React.
Salary as per experience. Best in city.
Job Types: Full-time, Contract, Walk-In
Salary: ₹200,000.00 - ₹600,000.00 per year
Experience:
.Net: 1 year (Preferred)
software development: 1 year (Preferred)
total work: 1 year (Preferred)
Java: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Software Engineer,"Pune, Maharashtra",Apisero,None,Organic,"Hi,
Ready to kickstart your career? We have just the position for you!
MuleSoft Premier Partner, Apisero, is hiring Freshers and Software Developers with 0-3 years experience to join their rapidly growing team across PAN India. Check out the details below and be one of the first to apply by visiting info.apisero.com/mule-blitz.
Requirements:
0-3 years experience (any technology)
BE/B.Tech/BCA/MCA/ME/M.Tech
Ability to work in a fast paced, demanding, and rapidly changing environment
Office Locations:
Bangalore, Hyderabad, Pune, Delhi, Chennai, Chandigarh, Ranchi, Mumbai, and Kolkata
Responsibilities:
Apply integration design patterns such as message routing, content enrichment, batch processing, error handling and reconciliation mechanisms to deliver required functionality
Assist in translating business objectives into technical solutions through the use of MuleSoft Anypoint Platform
Coding, testing, debugging, implementing and documenting MuleSoft based flows and integrations
How to Apply:
Apply online by visiting info.apisero.com/mule-blitz
About Apisero:
At Apisero, we're on a mission to help our clients deliver innovative experiences and drive value for their business. As a MuleSoft Premier Partner, we're enabling integrated, connected experiences that disrupt the status quo and accelerate time-to-market. Become an Apiseroan and discover how together, we can help customers across every industry increase agility and create long-term success.
Regards,
Apisero Team
Job Type: Full-time
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
AI Chat Bot Developer,"Mumbai, Maharashtra",Eccentric Engine,None,Organic,"Role description: Building transactional chat bots for enterprise applications. Using Artificial Intelligence (AI) , Natural- Language Processing (NLP) , and Machine Learning (ML) to build these chat bots.
Skills expected: Python Django MySQL or PostgreSQL or MS SQL Mongodb or Cassandra Rasa or Wit or Diagflow spaCy or MITIE (MIT Information Extraction) or scikit- learn Worked with AWS or Azure Composer Docker GIT XMPP
You should know the following concepts in both AI and Machine Learning with knowledge of Uttrances, Intents.
Should have a strong grasp of Natural Language Processing, Machine Learning and chatbot development tools experience
Strong Experience of hands- on programming/ coding in Python and proficiency in a modern web framework (Django).
Must have experience in Python and integrating Natural Language Processing engines like rasa, wit, dialogflow, etc. and NLP Libraries like spaCy/ MITIE/ sklearn/ scikit- learn Ability to work with large data using any one SQL DB such as PostgreSQL or MySQL
Sound knowledge of Microsoft Luis/Google Dialog Flow/Amazon Lex
Good to have exposure on Multilingual Chatbot.
Ability to work with large data using any one No SQL Db such as Mongo DB, Cassandra Knowledge/Experience with bot integrations like Facebook Messenger, Slack, etc, would be an added advantage
Expertise in Composer, Git, Linux Server, Docker, AWS Services
Educational Qualification & Experience
Qualification/Education: B.E / B.Tech / BCA / MCA .
2-3 yrs of experience
Role: Software Developer
Industry Type: IT-Software, Software Services
Functional Area: IT Software - Application Programming, Maintenance
Employment Type: Full Time, Permanent
Job Type: Full-time
Experience:
integrating NLP engines like Rasa, Wit, Dialogflow: 1 year (Required)
Machine Learning with knowledge of Uttrances, Intents: 1 year (Required)
relevant: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Mumbai, Maharashtra (Preferred)
Language:
English (Required)"
Python Developer - Flask,"Pune, Maharashtra",DevCool Inc.,"₹7,46,872 a year",Organic,"Only candidates who can join Immediately or within 15 days
Required Experience : 3 - 6 years
Must-have technical/ process skills :
- Excellent in Python 2.7 & 3.6
- Good understanding of python libraries
- Hands on experience in Flask
- Expertise in at least one popular Python framework(Django / Web2Py / Webapp2 / web.Py)
- Knowledge of object-relational mapping
- Able to create database schemas that represent and support business processes
- Should have good experience with relational[MySQl, PostgreSQL] & non relational databases[Mongo DB]
- Good understanding of Git, SVN
- Good knowledge Ngnix, Apache, WSGI, JS
- Good in HTML5, CSS3 and Responsive web development.
- Good knowledge of TDD (Test Driven Development)
- Good knowledge of deploying app on Amazon, Heroku etc.
- Experience working in an Agile environment
- Should have awareness of REST and frameworks
- Basic understanding of Unix, Shell, Unix System
Must-have soft skills :
- Excellent communication skills (Verbal & Written)
- Excellent Logical & analysis Skills
- Proven experience of working as part of a cross functional team
Added Advantage :
- Javascript MVC Library
- RabbitMQ, MongoDB, DynamoDB, AngularJS, Backbone.js Mustache templates, MemCache
- Good understanding of Bootstrap, Jenkins, Docker, Microservices Architecture
Job Type: Full-time
Pay: Up to ₹746,872.00 per year"
iOS Developer,"Surat, Gujarat",Bitrix Infotech Pvt Ltd,"₹10,000 - ₹20,000 a month",Organic,"Job Summary
The candidate will be responsible for designing and building iOS application
Cross functioning with the team to analyse, design and build new features
Ensure the performance, quality, and responsiveness of applicants
Help maintain code quality, organisation, and automation
Continuously discover, evaluate, and implement new technologies to maximise development efficiency
Responsibilities and Duties
Focus on code optimisation, code quality, maintainability etc.
Build advanced applications for the iOS platform.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Identify and correct bottlenecks and fix bugs
Required Experience, Skills and Qualifications
Minimum 6 months of experience in design and coding on iOS Programming.
Understanding of Apple’s design principles and interface guidelines.
A deep familiarity with Objective-C and Swift Programming language
Deep understanding of iOS platform.
Should be able to create pixel perfect UI screens on I phone and iPad.
Bug fixes and improved functionality in iOS app.
Experience with third-party libraries and APIs.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development life cycle.
Job Type: Full-time
Salary: ₹10,000.00 - ₹20,000.00 per month
Experience:
iOS: 1 year (Preferred)
Location:
Surat, Gujarat (Preferred)
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
AS400 Developer,India,Larsen & Toubro Infotech Limited,None,Organic,"Primary (Mandatory) Skills : Good hands on experience on AS400 ILE concepts Batch Debugging , DB2400 , CLLE, RPGLE Secondary Skills : SQL 400 • Open mindset, positive attitude, logical thinking, self starter (take initiative) • Ability to work under pressure and proactively in a fast paced environment with tight deadlines • Should be a team player; ability to multi-task, good inter-personal & communication skills. • Experience in Finance and Banking industry would be an advantage. • Worked using SDLC/ AGILE methodology."
Batman Developer,"Pune, Maharashtra",Barclays,None,Organic,"Job Title:Batman Developer
Location: Pune

Proficient C#/.Net developer for designing and developing high performing, scalable and rich GUI components for Market Execution teams.

What will you be doing?
Proficient C#/.Net developer for designing and developing high performing, scalable and rich GUI components for Market Execution teams.
Work within a globally distributed development team to deliver Java application components for use by the electronic trading desks in London, New York and APAC.
Hands on technical design and development of high quality, globally available and sustainable solutions. The development process will include running and analyzing performance and memory usage benchmarks.
Follow the agile development methodology using scrums/sprints etc for software development.
Work closely with the Global BTB teams to gather requirements, design and implement new functionality and features as requested by clients of the system.
L3 production support of components under scope for effective and timely resolutions.
Contribute in optimizing the performance, capacity, monitoring and maintenance model of the current platform.

What we’re looking for:
Application Developer profile with Bachelor’s degree in Computer Science or equivalent technical stream
Experience in GUI development using C#, WPF and related technologies for low latency, multithreaded, concurrent and performance oriented applications
Strong experience of distributed architectures on Linux or Windows
Strong problem-solving, analytical and troubleshooting skills
Results-oriented, self-starter with positive ""can-do"" attitude
Excellent communication skills and ability to work with others, self-starter

Skills that will help you in the role:
Knowledge of GIT or similar version control tool
Investment Banking Domain experience
Experience of working in Agile Development and DevOps
Knowledge of application development using messaging products like Tibco, Solace would be an added advantage
Knowledge of Java or Angular JS would be an added advantage
Where will you be working?
Pune

Barclays recently announced the creation of a new world-class campus at Gera Commerzone located in Kharadi. All Pune based roles will eventually start to move to this new campus starting September 2019. In the run up to that, during the course of 2018, there may be transitory movements of some roles to other temporary sites. Please speak with your recruiter about the specific location plans for your role.

Be More at Barclays
At Barclays, each day is about being more – as a professional, and as a person. ‘Be More @ Barclays’ represents our core promise to all current and future employees. It’s the characteristic that we want to be associated with as an employer, and at the heart of every employee experience. We empower our colleagues to Be More Globally Connected, working on international projects that improve the way millions of customers handle their finances. Be More Inspired by working alongside the most talented people in the industry, and delivering imaginative new solutions that are redefining the future of finance. Be More Impactful by having the opportunity to work on cutting-edge projects, and Be More Valued for who you are.
Interested and want to know more about Barclays? Visit home.barclays/who-we-are/ for more details.

Our Values
Everything we do is shaped by the five values of Respect, Integrity, Service, Excellence and Stewardship. Our values inform the foundations of our relationships with customers and clients, but they also shape how we measure and reward the performance of our colleagues. Simply put, success is not just about what you achieve, but about how you achieve it.

Our Diversity
We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our vision and goals.

Our Benefits
Our customers are unique. The same goes for our colleagues. That's why at Barclays we offer a range of benefits, allowing every colleague to choose the best options for their personal circumstances. These include a competitive salary and pension, health care and all the tools, technology and support to help you become the very best you can be. We are proud of our dynamic working options for colleagues. If you have a need for flexibility, then please discuss this with us."
