Job Title,Job Description,Company Name,Location
Full Stack Developer,"Job Information

IndustryIT Services
CityMohali
Zip/Postal Code140308
State/ProvincePunjab
Work Experience3-5 years
Job Description
SourceFuse is hiring multiple full stack developers to grow a team for it's largest client.

You will work on a high scale production application that does many thousand transactions a day and will re-engineer and add features so it grows to millions of transactions a day. You will also be responsible for creating functional and aesthetic user experiences.

Requirements

What is our stack?

NodeJS

AngularJS and ReactJS

Postgres

Elasticsearch

Redis

Machine Learning (Tensorflow/Sagemaker)

AWS hosted

Microservices and Nanoservices along with a monolith.

Why should you join?

If you want to work on a high scale production grade mission-critical app in a fun, relaxed and sometimes crazy environment :)

Opportunity to work in the region's ONLY AWS Certified Advanced consulting partner with a chance to get trained by AWS solution architects and get certified.

Year of Experience required - 3years+","SourceFuse Technologies
4.1",SAS Nagar
Sr. Mobile Engineer - iOS,"Who We Are:


KeepTruckin is on a mission to modernize the trucking industry. With the leading fleet management platform, we are bringing trucks online and fundamentally changing the way freight is moved on our roads.

At KeepTruckin, we see our hard work rewarded in tangible ways every day and we believe that intelligence is most powerful when paired with humility. We're motivated by the opportunity to impact and improve every facet of a trillion-dollar industry that touches everyone's lives. KeepTruckin is proud to be a Forbes Cloud 100 company and recognized by Glassdoor as a ""Best Place to Work"" in 2019.

We are looking for people from all backgrounds who want to make an impact on the millions of drivers who keep our world moving. Together, we laugh hard, snack harder and work together to drive innovation at the intersection of tech and transportation.

About the Role:


As one of our first mobile engineers in Bangalore, this is a great opportunity to make a significant impact in designing and building our new KeepTruckin Fleet Manager iOS app and as well as grow by working directly with experienced technology professionals with backgrounds from Silicon Valley companies like Google, Twitter, Facebook and Uber (to name a few). Your expertise will be contributed to defining our architecture for the new app and the underlying data sharing framework with our existing Driver app based on personas. We are looking for candidates who have a familiarity with Objective-C and Swift, and a good understanding of system architectures (mvc, mvvm, redux) and a forward thinking mindset aimed at high readability (declarative) code, as well as identifying problems or bottlenecks before they become issues.

Responsibilities:
Develop from scratch our new iOS KeepTruckin Fleet Manager App
Work with product team to refine feature specs
Work with cross functional teams like IoT, Embedded, Data Science/ML, Computer Vision & Motion teams to create fluid user experiences with interactive visualization for a multitude of data from these different teams
Communicate with backend engineers about API requirements or refinements
Mentor junior engineers and help them grow
Help support team to diagnose user problems
Analyze our user's data to identify bugs
Be able to work as part of a small, tightly knit team
Qualifications:


5+ years of experience working on iOS apps
Proficiency in Objective-C, Swift, Storyboards, XIBs, and programmatic view layouts and transitions
An understanding of Apple UI/UX and application design paradigms
An appreciation and understanding of automated app testing
Knowledge or interest in commercial vehicles/trucking is a plus!
As an equal opportunity employer, we are committed to diversity in the workforce. In accordance with applicable law, we prohibit discrimination against any applicant or employee based on any legally recognized basis, including, but not limited to; race, color, religion, sex (including pregnancy, lactation, childbirth or related medical conditions), sexual orientation, gender identity, age (40 and over), national origin or ancestry, physical or mental disability, genetic information (including testing and characteristics), veteran status, uniformed service member status or any other status protected by federal, state or local law.

Please review our Candidate Privacy Notice here.","KeepTruckin
2.9",Bengaluru
Software Engineering-Java developer,"As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:
BS/BA degree or equivalent experience
Advanced knowledge of application, data, and infrastructure architecture disciplines
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Knowledge of industry-wide technology trends and best practices
Ability to work in large, collaborative teams to achieve organizational goals
Passionate about building an innovative culture
Proficiency in one or more modern programming languages
Understanding of software skills such as business analysis, development, maintenance, and software improvement
The Treasury Services Technology group in EMEA / ASIAPAC develops and supports systems for the Treasury Services business. Overall the group supports more than 50 applications across various technology platforms. The role that is available is within the Applications Development team working on Check Engine (CQE).

CQE is a Strategic Payment system which deals with backend processing of paper based payments (Cheques and Cash) for JP Morgan clients. CQE application is used by the operation for performing functions like check clearing, check deposit , check printing, payments, verification, Invoice enrichment and reconciliation services.

The System provides highly interactive and dynamic interfaces to Client facing channels, Back office Staff and Clearing houses to automate end to end Payment life cycle.

This application has global presence from HK to Canada, India to Mexico.

Key Responsibilities

Working on projects as Java Developer

Responsibilities will include:

• Understanding Business Requirements and Functional Specifications.
• Understanding existing program logic.
• Providing and/or agreeing estimates for required development
• Creation/ update of Detailed Design Specifications, Program Specifications, and program Version Control documentation.
• Coding of new programs and changes to existing programs.
• Get the code reviewed by leads and SME's.
• Creation of Unit Test Plans, and execution of Unit Tests
• Preparation and execution of Systems Test Plans and Scripts
• Providing technical support for Quality Assurance (QA) Testing
• Providing technical support for User Acceptance Testing
• Creation of Implementation/ Back out Plans and Support Handover Documents
• Providing technical support for Production Implementations, and post-implementation support during implementation warranty period

Key Skills

• Systems application development skills
• Strong analysis & problem solving skills
• Strong communication skills - both verbal and written
• Ability to work independently with limited supervision
• Proven ability to use own initiative to resolve issues
• Full ownership of projects/tasks
• Ability and willingness to work under pressure, on multiple concurrent tasks, and to deliver to agreed deadlines
• Eagerness to learn
• Strong team working skills
• Understanding of waterfall and Agile methodologies.
• Experience in working with groups that are set-up across globe.

Experience Required

• Proven experience in Java/J2EE ( Tomcat / Struts 2 / JSP)
• Strong experience in Spring Framework / Hibernate.
• Strong experience in using RDBMS (Oracle).
• Experience in working in Eclipse / Maven environments.
• Demonstrate experience in using Junit for unit testing.
• Hand's on experience in Unix / Shell scripting.
• Hand's on experience in fine tuning application response / performance testing.
• Experience in Web Services.
• Experience of MQ / JMS (message transfer process)
• Experience using version control tool GIT.
• Understanding of banking risk and compliances policies.
• Experience in code scanning tools like black duck and tools like Sonar etc.
• Knowledge and experience of Microsoft PROJECT, WORD, EXCEL applications
• Experience of development of financial applications, including financial transaction processing, settlement, and accounting
• Familiarity with SWIFT (Society for Worldwide Interbank Financial Telecommunication) Message formats

Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world's important corporations, governments and institutions. You'll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.

When you work at JPMorgan Chase & Co., you're not just working at a global financial institution. You're an integral part of one of the world's biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.

@2019 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran.JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.","J.P. Morgan
3.9",Bengaluru
Engineer II - Android Developer,"Interested in joining a market leading tech company with a fun, collaborative culture? Shure continues to expand our talented team across the globe. Come join us! We are looking for a Android Developer in Hyderabad, IN. Apply today or refer a friend to our posting! hashtag#shurecareers

Should design, develop, and maintain application individually as well as work in a group.
Must adhere to agile methodologies and the project management followed in the project.
Should maintain quality and security of the assigned development tasks applying the best design and development guidelines as defined in the project.
Should work as per the defined project priorities and project schedules and ensure to complete the assigned projects within allotted timelines.
Interact with team for the day to day development tasks and hurdles.
Attend all the project Meetings, discussion, other sprint meetings etc.

We are looking for Android Developers with 3-5 years of experience.
Required skillset:
Android SDK and java programming, Advanced Apps Development on Android phones/tablets, Android GUI and SQLite database, Kotlin Programming
Competency:
Must Have:
Extensive experience with the Android SDK and java programming language.
Design and build advanced applications for the Android platform and having hands-on mobile application development experience for Android phones/tablets.
Knowledge of Android GUI, Camera, GPS API, Maps API, Services and SQLite database.
Good knowledge in socket programming, device communication.
Good knowledge on Design patterns.
Experience with third-party libraries and APIs.
Good knowledge in In-App purchase, Push Notifications.
Knowledge in writing unit test cases. Knowledge in publishing app to Google Play Store.
Experience in working in projects run as per Agile Methodology.
Experience in interacting with people with different nationalities.
Experience on web services integration (SOAP, REST, JSON, XML).
Experience in Kotlin programming.
Should have good communication Skills.
Good debugging skills.
Good coding standards and documentation skills
Good to have:
Good knowledge in Bluetooth programming.
Good to have knowledge in Audio domain and related frameworks.
Knowledge in HTML5, JavaScript, CSS, Jquery mobile.
Knowledge in Cross platform technologies like PhoneGap.
Experience in C/C++ and Android NDK is a plus.
Desired Tools:
Android IDE.
Experience in using client apps for version controlling system like SVN, Git etc.
Experience in code review tools/applications like gerrit, codecollaborator.
JIRA.
Qualification:
Bachelor’s in Engineering in CS, EE or equivalent","Shure Incorporated
4.1",Hyderabad
SR SOFTWARE DEVELOPER,"BASIC FUNCTION

Responsible
for working on highly technical, complex software projects in order to develop technical
solutions and services which are cost effective while meeting the business
needs of the Company; lead activities throughout the entire software development
life cycle providing consultative advise and direction to development team;
participate in business meetings to identify and understand the company's goals
and objectives in order to develop software that will meet the company's
current and future business needs; analyze and review functional and performance
requirements to support design architecture, providing alternative solutions as
necessary; perform troubleshooting and issue resolution throughout project
ensuring issues are brought to resolution and on-going communication with project
team and Executive Management is maintained; coach and mentor project team
members to ensure thorough understanding of project tasks and company goals

MAJOR JOB ACCOUNTABILITIES

Technical Project Leadership - Lead,
and participate in, complex software projects in order to develop technical
solutions and services which are cost effective while meeting the business needs
of the Company

* Define
project requirements by meeting with management and end users to gain a
thorough understanding of software projects, providing leadership and technical
direction during all stages

* Provide
consultative advise and guidance to project team on Enterprise and individual Business
Unit (BU) software capabilities and interactions

* Analyze
and review functional and performance requirements to support design
architecture, providing alternative architectural solutions as necessary

* Ensure a
thorough understanding of entire application, its usage, technical
architecture, and functionality by project team, end user and management

* Perform
troubleshooting and issue resolution throughout project ensuring issues are
brought to resolution and on-going communication with project team and
Executive Management is maintained

*
Continually review project status to ensure quality development, cost, and time
objectives are met

* Coach and
mentor project team members to ensure thorough understanding of project tasks
and company goals

*
Continually keep up-to-date on new products, development tools, industry
trends, and methodologies for incorporation into software platforms which
includes conducting an assessment of current and future information
technologies and best practices

* Provide
management with status reports detailing status and timelines throughout
assigned projects tasks including project jeopardizes

* Ensure
proper documentation during all stages of the project

Software Development - Lead the
development of software solutions in order to ensure that the solution
architecture is translated into high-quality, maintainable, secure, and
efficient code that follows established development guidelines

*
Participate in activities throughout the entire software development life cycle
providing consultative advise and direction to development team

* Conduct
code reviews to verify design and provide corrective action where necessary

* May code
program based on system enhancements, modification requests, or new design specifications

* Lead and
participate in the activities involved in developing a comprehensive and
logical test plan for systems using appropriate tools to ensure established
standards are utilized

* Lead and
participate in the activities related to performing performance tests to ensure
program modifications do not exhaust resources, causing slow downs and response
time delays

* Monitor
and conduct regression testing in entirety to ensure negative impacts do not
result once program alterations are completed

* Coordinate
and participate in end user acceptance testing, ensuring program alterations
and changes meet end user requirements

* Observe
and monitor activities when program goes live to ensure all problems and issues
are identified and resolved

* Plan
installations that affect other systems with appropriate technical staff and
end users

* May
develop and provide documentation in support of obtaining patents, working with
appropriate legal staff to ensure all necessary steps are taken

Staff Assistance - Provide assistance
to assigned co-workers ensuring adherence to departmental policies and
procedures

* Provide
support by answering questions ensuring functions are efficiently performed in
a quality-oriented manner

* Provide
assistance and guidance to co-workers on best approaches, practices, and
lessons learned

* Keep
up-to-date on current workflow and department procedures in order to answer
questions, provide work direction, or complete tasks

* Train and
mentor assigned co-workers, as necessary

* Provide
departmental support in problem resolution, ensuring issues are resolved in an accurate,
timely, and professional manner

* Assist
staff in striving to ensure highest level of quality, responsive service
possible is provided

* May be required
to support supervisor in responding to inquires and conducting research and analysis

Problem Resolution - Proactively
oversee the activities involved in quality resolution of problems related to
area of responsibility

* Respond
with a sense of urgency to problems escalated to employee's level

* Escalate
to supervisor any situation outside the employee's control that could adversely
impact the services being provided

* Place the
highest priority on providing quality [customer, client, end user] service by
overseeing all activities of staff, ensuring the unique needs of customers are
met

* Ensure
quality resolution and thorough and accurate documentation of customer issues

* Provide
analysis and feedback to management staff and appropriate departments regarding
recurring problems, recommending improvements aimed at reducing future
occurrences of problems

*
Participate in creating, administering, and continuously updating procedures
for resolution of all related issues

Team Interfaces - Establish and maintain
a professional relationship with team members and department contacts

* Cooperate
with team members to meet goals or complete tasks

* Escalate
work flow and communication issues to supervisor

* Treat all
internal/external customers and team members with dignity/respect

Mental and Physical Requirements - -

*This
position will be exposed mainly to an indoor office environment and will be
expected to work near or around computers, telephones, and printers

*The nature
of the work in this position is sedentary and the incumbent will be sitting
most of the time

*Essential
physical functions of the job include typing, grasping, pulling hand over hand,
and repetitive motions to utilize general computer software/hardware
continuously throughout the work day

*Essential
mental functions of this position include concentrating on tasks, reading
information, and verbal/written communication to others continuously throughout
the work day

Related Duties as Assigned - -

* The job
description documents the general nature and level of work but is not intended
to be a comprehensive list of all activities, duties, and responsibilities
required of job incumbents

*
Consequently, job incumbents may be asked to perform other duties as required

* Also note,
that reasonable accommodations may be made to enable individuals with
disabilities to perform the functions outlined above

* Please
contact your local Employee Relations representative to request a review of any
such accommodations

MINIMUM QUALIFICATIONS

Applicant for this job will be expected to meet the following minimum qualifications.

Education

* Bachelor's degree in computer science, MIS, or a related field required

* Equivalent work experience in a similar position may be substituted for educational requirements

Experience

* Minimum five years increasingly responsible programming experience using a standard coding language and/or platform required

* Minimum four years experience writing detailed program designs for medium to large sized projects preferred

* Project management experience preferred

Technical

* Based on area of responsibility and departmental need, knowledge of: one program platform is required (Tandem, Windows(Windows XP, Windows 2000, Windows Vista, Windows 7, Windows Server 2000 - 2003 – 2008, MSSQL 2000 - 2005 – 2008, Microsoft IIS), Unix, or Web) and/or one standard programming language is required (e.g., JAVA, J2EE, .NET, C/C /C#, SQL, Data Comm, Visual Basic, C , COBOL, HTML,XML/VXML, PERL, SOA, XML, SOAP, WS-*, asp.NET, C#.NET)

* A working knowledge of telephony protocols CAS, ISDN, SS7 and voice over IP protocols H.323, SIP is preferred

* Based on area of responsibility and department need: Knowledge of J2EE, Swing and JMS is preferred

* Based on area of responsibility and department need: Knowledge of .NET, ASP.net, MSSQL, C# is preferred

* Based on area of responsibility OLAP may be preferred

* Based on area of responsibility and department need: Knowledge of Ruby on Rails preferred

* Based on area of responsibility and department need: Knowledge of BEA Aqualogic BPM products and software development life cycle is required

* Based on area of responsibility and department need: Oracle database, Weblogic and Linux is preferred

* Based on area of responsibility and departmental experience in one or more of the following platforms may be preferred: Telephony, VXML, Speech Application Development, SMS/MMS, TTS, Nuance Speech Recognition, Nuance Text-to-Speech, PerSay Voice Biometric application development, Relational database design & tuning and messaging systems, MSSQL Server Administration, Data Warehousing, MSSQL Server Integration Services (SSIS), MSSQL Server Reporting Services (SSRS), BizTalk, Business Intelligence, Business Process Management, Business Process Modeling, Enterprise Service Bus, Data mining, F5 Networks, Windows Clustering, Windows Networking, Client Server Architecture, Distributed Architecture, Domain Model Architecture, Fox Pro, Crystal Reports 10 (or higher), Windows Presentation Foundation (WPF), Application monitoring and performance tools

Other

* Intermediate knowledge of Excel, Word and Outlook","Intrado
3.3",Bengaluru
Senior Software Engineer (Frontend),"#L1-NR1

ABOUT KHOROS

Khoros, formerly known as Lithium + Spredfast, is the leading customer engagement platform providing Social Media Marketing, Care and Monitoring Solutions. Khoros Customer Engagement Platform is built to turn siloed knowledge into enterprise value, and customers into contributors. By connecting consumer insights across all departments, Khoros gives companies the ability to run their business with their customers, anticipating their needs and accelerating sales, loyalty, and innovation. With 2,000+ customers, including 52 of the Interbrand 100. Khoros has ten offices globally and powers approximately 500 million digital interactions every day. From social media to online communities and messaging to digital customer care, Khoros helps companies authentically connect with customers throughout their journey.

ROLE

We’re looking to add a Senior Software Engineer to an already awesome engineering team. You will be responsible for building and maintaining multiple SaaS applications in the social media space. You will work in small, cross-functional teams and love delivering value to our customers through shipping code. We deploy as often as we can and would love you to deploy to production in the first few weeks.

WHAT YOU’LL DO ?
Develop and unit test high quality code to implement features
Perform code reviews and improve code quality by applying solid design principles
Exhibit end-to-end ownership of a feature/task/bug
Collaborate with team making sure deliverables are delivered on time with high quality.
Suggest design/code changes to improve Product Features

WHAT WE ARE LOOKING FOR ?
A Graduate in Computer Science or equivalent degree
Experienced in building enterprise grade products for minimum of 7 years, that are built on microservices and are highly scalable
Well versed with the front end programming with minimum of 4 years of experience in Javascript and at least 3 years experience with React framework

WHAT WOULD ADD VALUE ?
Experienced working in the AWS environment
Experience working with javascript and React framework
Experience with Open source technologies like Elasticsearch, Solr
Experience with git, pull requests and good software development practices
A good understanding of Social media domain
Knowledge of practical Agile and Scrum

YOU BELIEVE
Solving user’s problems is more important than anything else and
you take pride in seeing a happy customer
Meaningful user experiences are the focus of teams and the work that they do
Autonomy is awesome and technology will shape the future
Engineering is about getting things done, incrementally and optimally

WHY SHOULD YOU JOIN OUR TEAM ?

Awesome Culture
Performance Driven
Flexible Working hours
Great Benefits
Health, Dental & Visual insurance
Gym Allowance
Well stocked Pantry
Commute and leave allowance
Generous leave policy
Competitive Compensation
Among the best in industry
Annual bonus
Equal employment opportunity
Our employment practises
OUR VALUES

We earn trust through our actions and attitudes

We win and grow as one team

We listen learn and lead to help our customers succeed","Khoros
3.5",Bengaluru
Software Developer,"Job ID: 71869
Required Travel :
[[filter11]]
Who are we?

If you’re a smartphone user then you are part of an ever more connected and digital world. At Amdocs, we are leading the digital revolution into the future. From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are continually evolving our business to help you become more connected. We make sure that when you watch a video on YouTube, message friends on SnapChat or send your images on Instagram, you get a great service anytime, anywhere, and on any device. We are at the heart of the telecommunications industry working with giants such as AT&T, Vodafone, Telstra and Telefonica, helping them create an amazing new world for you where technology is being used in amazing new ways every single day.

In one sentence

Responsible for design, develop, modify, debug and/or maintain software systems.

Responsible for one or more specific modules within a large software system scope

What will your job look like?
You will design, develop, modify, debug and/or maintain software code according to functional, non-functional and technical design specifications.
You will follow Amdocs software engineering standards, applicable software development methodology and release processes, to ensure code is maintainable, scalable , supportable and demo the software products to stakeholders
You will investigate issues by reviewing/debugging code, provides fixes and workarounds, and reviews changes for operability to maintain existing software solutions.
You will work within a team, collaborate and add value through participation in peer code reviews, provide comments and suggestions, work with cross functional teams to achieve goals.
You will assume technical accountability for your specific work products within an application and provide technical support during solution design for new requirements.
You will be encourage to actively look for innovation and continuous improvement, efficiency in all assigned tasks.
All you need is...
Bachelor's degree in Science/IT/Computing or equivalent
2-6 years of experience in writing software code in at least one programming language (Overall 2 - 6 years of Experience)
2-6 years of knowledge in Unix/Linux
Good knowledge in Object Oriented Design and development
Why you will love this job:
You will be challenged with design and develop new software applications
You will have the opportunity to work in a growing organization, with ever growing opportunities for personal growth
You will have the opportunity to work with the industry most advanced technologies","Amdocs
3.8",Pune
Senior Software Engineer - Backend CDP (Bangalore),"The world runs on software. Yet delivering changes to software remains massively complicated, highly manual, and risk-prone. At Harness, our mission is to simplify the entire software delivery process so that software engineering teams can move fast and ship code effortlessly without the fear of breaking things. That's why we're bringing the industry’s first Continuous Delivery-as-a-Service platform to the market.
Harness uses a unique machine learning and AI-based approach to continuously verify the performance, quality and security of highly complex software systems, and automates the entire software delivery process.
Harness is led by technologist and entrepreneur, Jyoti Bansal, who founded AppDynamics and sold it to Cisco for $3.7 Billion. We’re backed with $60M Series-B funding from top-tier VC firms Menlo Ventures, IVP, GV (formerly Google Ventures), and ServiceNow Ventures.
POSITION SUMMARY
This is an amazing opportunity to be an early engineer in a high-growth, high-potential startup starting their Bangalore R&D center. In this role, you will be responsible for designing, developing and delivering the backend infrastructure and services of Harness platform.
As part of Harness platform, you will design and develop solutions to complex problems ranging from deployment automation models for distributed AWS Lambda & Kubernetes/Docker based software, to machine learning algorithms to analyze various data sources to detect anomalies in software behavior.
You will be working with a team of dynamic engineers who take pride in solving complex problems.

We're seeking A players to work with A players. We're a high-growth company on a once-in-a-lifetime journey to revolutionize deployment tools & continuous delivery. Be a part of it.
ABOUT YOU
A desire to build products that solve complex technical problems for end users
4-10 years experience developing highly scalable, distributed applications, products and services in Java or similar languages
Deep understanding of how distributed resilient software is built and deployed
Solid foundation in data structures, algorithms and software design with strong analytical and debugging skills
Comfort in working in short, agile, iterative development cycles
Entrepreneurial spirit, priding yourself on getting things done with a high level of quality
Strong desire to work in an unstructured, fast moving startup environment
B Tech degree in CS or equivalent
WHAT YOU WILL HAVE AT HARNESS
Experience building a transformative product
High learning opportunity
End-to-end ownership of your projects
Fun work environment
Competitive salary, health benefits, early stage Stock Options
A great team who will fight beside you in the trenches to accomplish your goals
HARNESS IN THE NEWS
THE WALLSTREET JOURNAL - AppDynamics Founder Launches New Company, Startup Studio
TechCrunch - AppDynamics founder Jyoti Bansal wastes little time launching a new company
Forbes - After $3.7B Exit, AppDynamics' Founder Launches A Startup Studio With $20M
CIO.com - 10 Hot Startups Targeting Today’s Key IT initiatives
TheNewStack - For Moving Fast and Not Breaking Things
PitchBook - After a $3.7B exit, AppDynamics founder eyes next billion-dollar company
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex or national origin.","Harness
4.7",Bengaluru
Software Developer,"The selected candidate will be responsible for feature development for Enterprise system, Fixing bugs/providing solutions for issues

This role requires a wide variety of strengths and capabilities, including:
BS/BA degree or equivalent experience
Advanced knowledge of application, data and infrastructure architecture disciplines
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Ability to collaborate with high-performing teams and individuals throughout the firm to accomplish common goals
Proficiency in one or more general purpose programming languages:
Core Technologies: Java , React, Maven, Spring, UNIX , Database (Oracle)
UI/Web expertise using JavaScript, HTML, CSS, Frameworks
Framework/Libraries - Bootstrap, React JS, Flyway , Spring Boot , Spring JDBC etc.
Understanding of software skills such as business analysis, development, maintenance and software improvement
Strong understanding of UI, cross-browser compatibility, general web functions and standards; Knowledge in security vulnerability and ensuring the code is clean from security vulnerabilities
Deep functional knowledge or hands on design experience with Services call (REST, SOAP, etc.)
Design skills with knowledge of object modelling, database schemas and design patterns.
Ability to solve complex problems and a proven track record of performance and delivery.
Agile or other development techniques, gained in a Java development environment.
Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world's important corporations, governments and institutions. You'll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.
At JPMorgan Chase & Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.
@2019 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran.JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.","J.P. Morgan
3.9",Mumbai
Software Developer,"Responsibilities
Work with developers to design algorithms and flowcharts
Produce clean, efficient code based on specifications
Integrate software components and third party programs
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software
Gather and evaluate user feedback
Recommend and execute improvements
Create technical documentation for reference and reporting
Requirements
Proven experience as a Software Developer, Software Engineer or similar role
Familiarity with Agile development methodologies
Experience with software design and development in a test driven environment
Knowledge of coding languages e.g. C , Java, JavaScript and frameworks systems e.g. AngularJS, Git
Experience with databases and Object Relational Mapping ORM frameworks e.g. Hibernate
Ability to learn new languages and technologies
Excellent communication skills
Resourcefulness and troubleshooting aptitude
Attention to detail
BSc BA in Computer Science, Engineering or a related field","UST Global
4.1",Thiruvananthapuram
