Title,Location,Company,Salary,Sponsored,Description
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"IT Data & Analytics Developer - Indore, India
The Developer shall work with the analysts to develop and maintain automation tools primarily to facilitate analysis and data-flow. The activities shall cover a wide range. It shall involve extracting, transforming and loading the data from various vendors and resources to databases, maintaining consistency in data sources. The developer shall be part of the initial team and will have an opportunity to design system and schemas from scratch.
Essential Job Functions
Build and Optimize the MS SQL Server Database around 3TB of data.
Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.
Perform data integrity, quality and audit checks.
Prototype and build dashboards integrating multiple data sources.
Performance Tuning of the SQL Server databases and tables.
Write SQL queries and stored procedures to surface data to business owners and applications.
Create, publish and maintain ETL jobs.
Pushing timely data to Tableau Server and prepare Tableau Reports.
Data Mining techniques.
Other Skills & Abilities
Bachelors in Engineering or Technology at a reputed University.
4-6 years’ experience at a major software development company or Team.
Advanced knowledge & experience of programming in SQL Server - stored procedures, views and SSIS.
Knowledge of reporting tools - Tableau Server/ Tableau Desktop/ Power BI.
Entrepreneurial spirit and ability to get things done under pressure.
Desire to work in a team-oriented culture.
BioUrja Group is an EEO employer. All qualified candidates will receive consideration for all positions without regard to race, color, age, religion, sex (including pregnancy), sexual orientation, gender identity, national origin, veteran status, disability, genetic information, or any other characteristic protected by law.
BioUrja Group is not currently accepting unsolicited resumes from search firms for this position. Regardless of past practice, all resumes submitted by search firms to any employee at BioUrja Group via-email, the Internet or directly to hiring managers at BioUrja Group in any form without a valid written agreement in place for that specific position will be deemed the sole property of BioUrja Group. As a result, no fee will be paid in the event the candidate is hired by BioUrja Group.
Job Type: Full-time
Pay: ₹358.00 - ₹438.00 per hour
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Industry:
Information Design & Documentation"
Exp App developer (Android),"Delhi, Delhi",Teleone Consumers Product Pvt. ltd,"₹17,500 - ₹35,000 a month",Organic,"Must be comfortable using any digital art creation tools such as Photoshop, pixelmator, procreate or other commonly used tools, to create digital art ."
PHP Developer,"Jaipur, Rajasthan",Next Big Technology(NBT),"₹10,000 - ₹35,000 a month",Organic,"As a PHP Developer, you will be responsible for developing and coding all server-side logic.Developing back-end portals with an optimized database."
SQL Developer,"Jaipur, Rajasthan",Precise Automation and Robotics,"₹25,000 - ₹35,000 a month",Organic,"The Ideal candidate will have an extensive enterprise background using MS SQL Server and be able to understand complex SQL design concepts, practices and…"
Software Developer,"Vasant Kunj, Delhi",Phicode,"₹20,000 - ₹50,000 a month",Organic,"As a software developer, your job is to understand customers' requirements then research and develop product features based on their feedback."
Corporate Placement Fresher19-20 - Software Developer,"Pune, Maharashtra",ThinkQuotient Software Private Limited,"₹3,00,000 a year",Organic,Candidate should ready to work on any IT technologies.4.Job Location - As per requirement within India.Percentage criteria 50 and above.
Python Developer Requirement,"Jaipur, Rajasthan",Ecstatic India Tours,"₹20,000 - ₹35,000 a month",Organic,"Collaborate with other developers, testers, and system engineers to ensure quality product enhancements.Write clean, maintainable code following best practices…"
Software Developer- Python,India,Talentica Software India,None,Organic,"At Talentica, we transform ideas into successful products, we offer you:
Core product development- We don't take up maintenance projects. Our customers come to us for our technology expertise.
We expect you to continuously keep in touch with the latest in your area of expertise and apply them to make their product better, faster and easier to use.
All developers at Talentica are experienced graduates from India's top 20 engineering colleges the IITs, NITs and few select colleges.
Pay for Performance Our salaries are based on performance, not experience. The only thing that matters is how you perform.
Talentica is the place to be, if you aspire to be part of a dynamic team that thinks and does not just follow. We are looking for Python experts who will help us developing web applications, integrating back end systems and deploying scalable infrastructures.
Desired Skills and Experience BE/BTECH engineering graduates from IIT, NIT, BITS Pilani, COEP (Pune), VJTI, BHU or ISM.
0.6-3 years of Python, Django and Web development Server and back-end code specialist with the ability to jump into front-end code if needed and the ability to wear multiple hats.
Have strong knowledge in Data Structures and Algorithms, problem solving and good aptitude.
Have a positive attitude with a penchant for performance and quality.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies."
Software Developer Trainee,"Madgaon, Goa",Umang Software,None,Organic,"Experience: 0 to 1 year (Freshers may apply).Strong programming and problem solving skills.Good understanding of SDLC, OOPS, Databases, Design and Unit…"
Software Engineer Intern,"Hyderabad, Telangana",AAIC TECHNOLOGIES PVT LTD,"₹25,000 - ₹30,000 a month",Organic,"• Attention to detail and quality, and the ability to work well in and across teams .• Ability to learn new domains and deliver output ."
