Job Title,Job Description,Company Name,Location
Android Engineer,"Who We Are:


KeepTruckin is on a mission to modernize the trucking industry. With the leading fleet management platform, we are bringing trucks online and fundamentally changing the way freight is moved on our roads.

We see our hard work rewarded in tangible ways every day and we believe that intelligence is most powerful when paired with humility. We're motivated by the opportunity to impact and improve every facet of a trillion-dollar industry that touches everyone's lives. KeepTruckin is proud to be a Forbes Cloud 100 company, a 2020 Career-Launching Company by Wealthfront and named a Forbes Best Startup Employer 2020.

About the Role:


As one of our first mobile engineers in Bangalore, this is a great opportunity to make a significant impact in designing and building our new KeepTruckin Fleet Manager Android app and as well as grow by working directly with experienced technology professionals with backgrounds from Silicon Valley companies like Google, Twitter, Facebook and Uber (to name a few). We are looking for candidates who have a familiarity with Java and Kotlin, and a good understanding of system architectures (MVC, MVVM, Redux) and a forward thinking mindset aimed at high readability (declarative) code, as well as identifying problems or bottlenecks before they become issues.

What You'll Do:
Develop from scratch our new Android KeepTruckin Fleet Manager App
Work with product team to refine feature specs, and work with cross functional teams like IoT, Embedded, Data Science/ML, Computer Vision & Motion teams to create fluid user experiences with interactive visualization for a multitude of data from these different teams
Communicate with backend engineers about API requirements or refinements, and engage with the senior engineers for mentorship to learn & grow in your areas of interest
Analyze our user's data to identify bugs, and help support team to diagnose user problems
Be able to work as part of a small, tightly knit team
What We're Looking For:
2-4 years of experience working on Android apps with a deep understanding of Android SDKs
Proficiency in Java, Kotlin, Android lifecycle, custom views, database/persistence
An understanding of Android UI/UX and application design paradigms
An appreciation and understanding of automated app testing
Knowledge in RxJava2, Dagger2, and knowledge or interest in commercial vehicles/trucking is a plus!
Creating a diverse and inclusive workplace is one of KeepTruckin's core values. We are an equal opportunity employer and welcome people of different backgrounds, experiences, abilities and perspectives.

Please review our Candidate Privacy Notice here.","KeepTruckin
2.9",Bengaluru
Engineer II - Android Developer,"Interested in joining a market leading tech company with a fun, collaborative culture? Shure continues to expand our talented team across the globe. Come join us! We are looking for a Android Developer in Hyderabad, IN. Apply today or refer a friend to our posting! hashtag#shurecareers

Should design, develop, and maintain application individually as well as work in a group.
Must adhere to agile methodologies and the project management followed in the project.
Should maintain quality and security of the assigned development tasks applying the best design and development guidelines as defined in the project.
Should work as per the defined project priorities and project schedules and ensure to complete the assigned projects within allotted timelines.
Interact with team for the day to day development tasks and hurdles.
Attend all the project Meetings, discussion, other sprint meetings etc.

We are looking for Android Developers with 3-5 years of experience.
Required skillset:
Android SDK and java programming, Advanced Apps Development on Android phones/tablets, Android GUI and SQLite database, Kotlin Programming
Competency:
Must Have:
Extensive experience with the Android SDK and java programming language.
Design and build advanced applications for the Android platform and having hands-on mobile application development experience for Android phones/tablets.
Knowledge of Android GUI, Camera, GPS API, Maps API, Services and SQLite database.
Good knowledge in socket programming, device communication.
Good knowledge on Design patterns.
Experience with third-party libraries and APIs.
Good knowledge in In-App purchase, Push Notifications.
Knowledge in writing unit test cases. Knowledge in publishing app to Google Play Store.
Experience in working in projects run as per Agile Methodology.
Experience in interacting with people with different nationalities.
Experience on web services integration (SOAP, REST, JSON, XML).
Experience in Kotlin programming.
Should have good communication Skills.
Good debugging skills.
Good coding standards and documentation skills
Good to have:
Good knowledge in Bluetooth programming.
Good to have knowledge in Audio domain and related frameworks.
Knowledge in HTML5, JavaScript, CSS, Jquery mobile.
Knowledge in Cross platform technologies like PhoneGap.
Experience in C/C++ and Android NDK is a plus.
Desired Tools:
Android IDE.
Experience in using client apps for version controlling system like SVN, Git etc.
Experience in code review tools/applications like gerrit, codecollaborator.
JIRA.
Qualification:
Bachelor’s in Engineering in CS, EE or equivalent","Shure Incorporated
4.1",Hyderabad
Senior Software Engineer - Frontend (Bangalore),"The world runs on software. Yet delivering changes to software remains massively complicated, highly manual, and risk-prone. At Harness, our mission is to simplify the entire software delivery process so that software engineering teams can move fast and ship code effortlessly without the fear of breaking things. That's why we're bringing the industry’s first Continuous Delivery-as-a-Service platform to the market.

Harness uses a unique machine learning and AI-based approach to continuously verify the performance, quality and security of highly complex software systems, and automates the entire software delivery process.

We’re backed with $20M Series-A funding from technologist and entrepreneur Jyoti Bansal, who founded AppDynamics and sold it to Cisco for $3.7 Billion, and from top-tier VC firm Menlo Ventures.

POSITION SUMMARY

This is an amazing opportunity to be an early engineer in a high-growth, high-potential startup. In this role, you will be responsible for designing, developing and delivering the frontend user interface of Harness platform.

At Harness, we believe in a UX-first engineering approach across the organization. In this role, you will be responsible for writing clean, killer code to create fantastic and user-friendly experiences. You will be involved in all aspects of product design and user experience and will lead turning wireframes into polished and beautiful user interfaces.

You will be working with a team of dynamic engineers who take pride in solving complex problems.

We're seeking A players to work with A players. We're a high-growth company on a once-in-a-lifetime journey to revolutionize deployment tools & continuous delivery. Be a part of it.
ABOUT YOU
Passion for designing elegant experiences that are approachable and just a bit playful.
Extensive experience with JavaScript and other Front End technologies such as HTML and CSS
Experience with any of ReactJS, AngularJS, BackboneJS, KnockoutJS, or EmberJS.
Experience with responsive design and deep understanding of object-oriented design.
Experience with performance debugging and benchmarking.
Expertise in turning a design into cleanly architected HTML and CSS.
Entrepreneurial spirit, priding yourself on getting things done with a high level of quality
Strong desire to work in an unstructured, fast moving startup environment
B. Tech degree in CS or equivalent with 3-10 years of industry experience
WHAT YOU WILL HAVE AT HARNESS
Experience building a transformative product
High learning opportunity
End-to-end ownership of your projects
Fun work environment
Competitive salary, health benefits, early stage Stock Options
A great team who will fight beside you in the trenches to accomplish your goals
HARNESS IN THE NEWS
THE WALLSTREET JOURNAL - AppDynamics Founder Launches New Company, Startup Studio
TechCrunch - AppDynamics founder Jyoti Bansal wastes little time launching a new company
Forbes - After $3.7B Exit, AppDynamics' Founder Launches A Startup Studio With $20M
CIO.com - 10 Hot Startups Targeting Today’s Key IT initiatives
TheNewStack - For Moving Fast and Not Breaking Things
PitchBook - After a $3.7B exit, AppDynamics founder eyes next billion-dollar company
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex or national origin.","Harness
4.7",Bengaluru
Android Developer,"Who we are

Zinier is a global company headquartered in San Mateo, California, with offices in Latin America, Singapore, Bengaluru, Australia, and Portugal and backed by leading investors including Accel Partners and Founders Fund.

Why we exist

Services shape how we live. Electricity lights up our homes. The Internet opens up our worlds. Cellular phones keep us connected no matter where we are. We take for granted the things we can turn on with the flip of a switch. But when even one of the services we depend on isn't available, the day can quickly start to go sideways.

For organizations that provide these services, some of the most important work happens in the field — in neighborhoods, across open spaces, and along millions of last miles that criss-cross the country. Every moment of downtime matters, which is why Zinier exists. Zinier empowers organizations to work smarter — from the main office to the field — to solve problems quickly, fix things before they break, and keep people in the rhythm of their days.

To do this, Zinier has created a scalable platform powered by AI-driven insights and intelligent automation that helps field service teams work smarter, better, faster, and more efficiently. We help organizations automate routine tasks so the people in the field can focus on putting their expertise to work. We work with customers in telecom and energy.

What we're looking for

As a company, it is our constant endeavour to extend aid to bright young engineers by offering them the opportunity to work with our highly skilled experts and gain foothold in their careers. We are looking for an Android developer to join our rapidly expanding engineering team. The primary focus of this developer will be to build new features and enhance our existing Android applications.

Role Responsibilities:
Translate designs and wireframes into high-quality code.
Design, build and maintain high-performance, reusable and reliable Java code.
Ensure the best possible performance, quality and responsiveness of the application.
Identify and correct bottlenecks and fix bugs.
Help maintain code quality and organization.
Role Requirements:
Bachelor's Degree with at least five years' experience in a professional services.
Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes.
Familiarity with RESTful APIs to connect Android applications to backend services.
Experience with offline storage, threading and performance tuning.
Ability to design applications around natural user interfaces, such as “touch”.
Familiarity with the use of additional sensors, such as gyroscopes and accelerometers.
Familiarity with cloud message APIs and push notifications.
Knack for benchmarking and optimization.
Understanding of Google's design principles and interface guidelines.
Proficient understanding of code versioning tools and bug-tracking system, such as JIRA and GIT.
Experience with Google Maps API & Geo location.","Zinier
4.8",Bengaluru
Android Developer,"Android Developer



Job description

Engineers at Zomato are the backbone of the company. Our passion is anchored in the work that we do, and this is reflected in the impact we make on millions of lives on a daily basis. Our team is empowered by building products and tools that serve millions of customers and restaurants across the globe. Whether it's helping users discover a restaurant virtually or ordering in from their favourite restaurants, there's plenty to sink your teeth into.

Zomato is currently working on interesting problems and solving challenges everyday that take us a step closer to our mission 'Better Food For More People’.

Check out our blogs for all the recent updates!

About the role

The team works on cutting edge stuff such as reactive programming and also all our apps are moving to Kotlin. The team places a heavy emphasis on architectural correctness. Suggestions on new mobile methodologies and technologies is what is sought for from the candidate along with the ability to work and deliver on key components.

Here's what you'll do day-to-day
Own end to end feature development using latest architecture, design patterns and most importantly write secure and performant code by working closely with the product, UX/UI and backend teams
Build reusable libraries, toolkits and developer tools for usage across multiple mobile teams on Zomato
Monitor the performance of the live apps and continuously improve them on both code and user experience level
Constantly raise the bar by reviewing each others code, share knowledge, tips and tricks, and generally help out - within and across teams
Evaluate and suggest new mobile methodologies and technologies
Work with a team of smart, entrepreneurial and highly motivated folks working towards world-changing goals in a fast-paced agile environment
Be an advocate of user experience by maintaining 99.9% crash-free and ANR sessions at all times


Requirements

Who fits the bill?
A degree in computer science, software engineering, information technology or related fields
Up-to-date on the modern Android programming paradigm, including the use of Kotlin, Java, RxJava, MVVM, etc and writing unit and functional tests and TDD
Experience in API design, SDK architecture, and mobile software lifecycle development practices.
Strong UX/UI design exposure and experience in making apps work intuitively and with pixel perfect interfaces
Strong CS fundamentals (with competencies in algorithms, data structures, design patterns, etc.)
Experience building CI/CD pipelines a plus","Zomato
4.0",Gurgaon
Android Mobile App Developer,"Requisition ID: 258094
Work Area: Software-Design and Development
Expected Travel: 0 - 10%
Career Status: Professional
Employment Type: Regular Full Time

COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives.

Ariba, an SAP company, is the world’s business commerce network. We help companies extend their business commerce processes into the Cloud, where they can use our Procurement solutions and the Ariba Network to find opportunities to cut costs, reduce risk, and grow revenue through better collaboration with trading partners. The Ariba Network is the world’s largest trading partner community with more than $600B of commerce flowing through and more than 1.7 million businesses in 190 countries around the world, with a new business joining Ariba Network every two minutes. Together with SAP, we are combining the best of both companies to fuel a whole new way of doing business in today's digital economy.

Curious? Take a peek into Ariba products: https://www.youtube.com/watch?v=TeaUEBvH5UU

The Role
Deliver across the entire app life cycle –concept, design, build, deploy, test, release to app stores and support
Working directly with developers and product managers to conceptualize, build, test and realize products
Gather requirements around functionality and translate those requirements into elegant functional solutions
Build prototypes at tech scoping stage of projects
Working along the web developers to create and maintain a robust framework to support the app and working with the front end developers to build the interface with focus on usability features
Create compelling device specific user interfaces and experiences
Standardizing the platform and in some cases apps to deliver across multiple brands with minimal duplication of effort and optimizing performance for the apps
Keep up to date on the latest industry trends in the mobile technologies
Explain technologies and solutions to technical and non-technical stakeholders
Role Requirements
Bachelor's in computer science or equivalent work experience
3 to 5+ years of development experience developing production grade software
Proven commercial software development experience – desktop and mobile
Published examples of mobile applications on the App store or the Android market
Excellent knowledge in information architecture, human computer interaction and usability design principles
Ability to multi task and good time management skills
Preferred Qualifications
Strong OO design and programming skills in Swift
Familiar with the Android SDK Knowledge of SQLite, MySQL or similar database management system
Familiar with Eclipse / IntelliJ
Experience integrating with RESTful API backends
Good understanding of OO programming and design patterns Good understanding of HTML5, JavaScript, jQuery, Ajax and database queries
Using version control (e.g. Git)
Excellent debugging and optimization skills
WHAT YOU GET FROM US

Success is what you make it. At SAP, we help you make it your own. A career at SAP can open many doors for you. If you’re searching for a company that’s dedicated to your ideas and individual growth, recognizes you for your unique contributions, fills you with a strong sense of purpose, and provides a fun, flexible and inclusive work environment – apply now.

SAP'S DIVERSITY COMMITMENT
To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company.

SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com).

Successful candidates might be required to undergo a background verification with an external vendor.

Additional Locations:","SAP
4.6",Bengaluru
Android Developer (WellDoc INDIA),"Overview
The Opportunity
If you’ve ever wished you had a job that could make a difference in someone’s life, this is your chance to support a new approach to chronic care management. Welldoc is pushing the industry forward – helping health plans, health systems and employers move beyond traditional health coaching and consumer mobile apps. As a pioneer in digital therapeutics, we’re helping to simplify people’s healthcare experience, drive improved self-care and support consumer empowerment.
Welldoc has two randomized clinical trials and 40+ peer-reviewed studies that clearly demonstrate the clinical impact of our solution. Welldoc was the first to receive FDA clearance for a diabetes software solution (Class II Medical Device) and continues to drive market innovation across conditions. In an extremely crowded space, we offer differentiated approaches while ensuring value for our clients through performance-based payments.
Join a winner! In 2019, Welldoc’s precision, real-time feedback solution was recognized as Best Personal Health App (MedTech Breakthrough Awards) and Best Established App (Digital Diabetes Congress). If you are passionate about driving the health care industry forward to better improve the lives of patients, members and employees, let’s talk!

Job Overview:
-Role offered – Android Software Engineer
-Design and build Android products and platform
-Coding using Java/ Android Studio, ensuring quality deliverables, fixing application defects, maintaining code, and implementing application updates.
-Report to Software Engineering Lead or Technical Manager on product team
General Responsibilities & Duties:
Designing, Coding, Documenting designs, Defect free deliverables
Ensure the performance , quality and responsiveness of application
Critical thinking and problem-solving
Identify root cause and work on defect fixing
Be a great team player, Great interpersonal and communication skills
Time-management with regards to work assigned

Minimum Qualification:
3-5 years experience of Android application Development
Bachelor’s Degree in Computer Science, Software Engineering, or equivalent.
Technical Skills required
Proficient with Java/ Android Studio. Strong knowledge of Android SDK, different versions of Android.
Strong knowledge of Android UI design principles, patterns, material Design and best practices
Experience with threading, and performance tuning is must
Understanding of Google’s Android design principles and interface guidelines
Must have programming expertise, data structures, clean coding expertise, experience of using various design patterns such as singleton, MVC, MVP etc.
Must have experience with cloud message APIs and push notifications
Great to have experience with IoT/ BT connection and location management APIs
Proficient in using tools such as SVN, JIRA, Jenkins
Experience of working on products, platforms, SDK will be an added advantage.
Experience of working on Google Wear is considered added advantage.","WellDoc, Inc.
4.0",Bengaluru
Android Developer,"Job Summary
Post: Android Developer
Exp: Min. 2 - Max. 4 Year's
Location: Pune.

Responsibilities and Duties

We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices. Your primary focus will be the development of Android applications and their integration with back-end services. You will be working along-side other engineers and developers working on different layers of the infrastructure. Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and APIs Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Job Type: Full-time

Work Remotely:
Temporarily due to COVID-19",RMNexo Software Pvt. Ltd.,Pune
Android Developer,"Y Media Labs is a creative technology company that helps brands re-imagine their customer experiences. Our mission is to export the Silicon Valley mindset to the rest of the world.

We create digital products with purpose that have a lasting impact on users' lives and clients' businesses. We are a team of dreamers and doers united by a simple idea: If we make a difference for your customers, we will make a difference for your business too. And it works. Since 2009, we have led early-stage startups and top-tier brands to ""wow"" their customers with best-in-class digital products and experiences. The Wall Street Journal calls us “YML is one of the most innovative companies in Silicon Valley.”

Through next-generation technologies and world-class design, we help brands like Apple, PayPal, L'Oreal, Home Depot, Kaiser Permanente, State Farm, First Republic Bank develop solutions that drive major business outcomes. Founded in 2009, Y Media Labs is headquartered in Silicon Valley with four offices worldwide including Atlanta, Indianapolis, Bangalore & Sao Paulo.

We came of age with the invention of the app store. We have mobile in our DNA. We create solutions across the digital ecosystem. Unlike agencies who are born desktop, we are deeply connected to how consumer perception has shifted thanks to the mobile lifestyle. We have built and launched 207 products, delighted over 407 million users, built over 200+ apps, work with 30 Fortune 500 clients, been responsible for over 400 billion transactions through our work and generated over $200 billion in transactions for our clients, and been featured on the app store over 700+ times!

• Portfolio of our work can be found @ ymedialabs.com/work • Live look into our engineering team @ medium.com/ymedialabs-innovation • Live look into our design team @ dribbble.com/ymedialabs

Our team in Bangalore is close to 180 strong, and we are growing in a variety of ways. Our goals include a culture of excellence and we are looking to transform the team to be one of the best tech teams in Bangalore.


We are looking to hire multiple Android Engineers at different levels to help us code the world-class apps we are creating. If you are a mobile engineer looking to build apps that will be used by millions of consumers worldwide, build apps for brands that you can be proud to show to your family and friends – you need to join us!

Key Responsibilities
• Show your passion and develop high-quality, state-of-the-art native Android apps • Ensure the performance, quality, and responsiveness of the applications • Code reviews, automated unit testing, documentation for any code you write • Deal with ambiguity and work in a rapidly evolving environment, with time-sensitive projects • Deadlines matter to us. Plan your work and meet your deadlines, while maintaining code quality. • Lead product initiatives and work on next-generation prototypes • Work with other engineers, product management, QA, and operations teams to develop and meet functional and non-functional requirements on schedule • Work in an environment of an agile, test-driven fast feedback cycle (continuous integration, unit, functional, integration and acceptance testing) • Get involved in client interactions and gathering project requirements • Learn and adapt to new technologies • Bring new ideas and technologies to the team that can improve the product or process. • Depending on your level of skills and maturity (not seniority), mentor other engineers.

What we are looking for
• Strong foundation in Computer Science fundamentals like data structures and algorithms, and software engineering principles • Passionate about creating great code • Multiple years of experience in Android application development, with Java and/or Kotlin. Kotlin's experience is a major advantage. • More than one published application on the Google Play store available for immediate download and review by our team. Please provide the names of all your apps that you've worked with a brief description of your contribution (if not individually developed). • Strong experience in building and publishing commercial applications to Google Play store. • Multiple years of in Java I/O, RDBMS, Networking, Generics, and well-known application frameworks. • Solid Understanding of Android design principles and interface guidelines. • Experience with performance and memory tuning using tools • Experience coding with RESTful APIs to connect applications to back-end services. • Great team player who works well in collaborative situations • Experience with iOS app development is a major plus. Experience with cross-platform tools would be an advantage • Experience with tools like Git, Jira, Basecamp, Bitbucket, Azure DevOps would be an advantage. • Good to have experience working with IoT projects, Bluetooth technologies • Active Open Source, GitHub or Stack Overflow contribution will be a big plus
• Having personal apps in play store will be an added advantage • Working knowledge of the general mobile landscape, architectures, trends & emerging technologies.

Job Perks
• Awesome work environment and opportunity to work with great minds • Work in fun teams on projects that impacts millions of people • 24x7 stocked pantry with snacks and Coffee/Tea","Y Media Labs
3.5",Bengaluru
Android Developer,"We look to onboard Android Developers for our HQ, Hyderabad and Bangalore area. The ideal candidate should have a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications. Android programming works closely with other app development and technical teams.

What we need
Design and build advanced app features for the Android platform.
Independently craft project solutions by applying solid Object-Oriented-Design principles.
Work closely with product management & UX to execute an idea from concept to delivery using excellent software design, coding, & processes.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Identify and correct bottlenecks and fix bugs.
Requirements
3 – 6 years of relevant exp on android development.
Knowledge in core java is preferable.
Expert in UI design and concepts.
Experience in android-fragments.
Expert understanding of networking, local data caching and multitasking.
Good understanding of the full mobile development life cycle.
Experience with third-party libraries and APIs.
Knowledge in Google Mobile Ads SDK and In-App Billing API.
Strong debugging skills.
Troubleshooting of issues and improving application performance.
The ability to work in a fast, agile environment with frequent changes.","Head Digital Works
4.0",Hyderabad
